=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (63.6777N; 291.802E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-22.137,-25.290,-18.564,-12.916,-5.750,0.153,1.350,2.306,-0.148,-7.748,-13.098,-25.755,-10.633,-999,-12.410,1.269,-6.998,-999,-999,-999,-999,-0.418,-999,-3.250,-21.997,-18.923,-6.171,-1.416,1.169,-1.863,-15.534,-999
1941,-23.638,-26.169,-22.410,-18.696,-6.196,0.167,2.978,2.158,-2.335,-6.777,-12.775,-24.327,-11.502,-25.187,-15.768,1.767,-7.296,-11.621,-11.648,-11.729,-22.214,-0.646,-19.645,-4.100,-24.072,-22.425,-8.242,-1.017,0.933,-2.318,-14.626,-20.830
1942,-29.684,-25.957,-17.273,-15.136,-5.441,-0.811,2.366,1.213,-2.511,-6.414,-11.360,-22.581,-11.132,-26.656,-12.617,0.923,-6.762,-11.278,-11.396,-11.426,-22.003,-1.037,-18.847,-3.819,-24.305,-19.455,-7.130,-1.296,0.356,-2.570,-13.452,-22.262
1943,-25.932,-32.337,-25.393,-17.041,-6.948,-0.072,1.798,1.264,-1.407,-6.408,-11.009,-20.240,-11.977,-26.950,-16.461,0.996,-6.275,-12.172,-12.201,-12.202,-23.521,-1.073,-20.151,-4.116,-27.887,-24.924,-8.020,-1.741,0.552,-2.184,-12.552,-19.958
1944,-27.331,-24.632,-24.100,-11.669,-7.568,-0.011,2.301,2.970,-1.691,-6.752,-12.519,-22.556,-11.130,-24.068,-14.446,1.754,-6.987,-10.937,-10.811,-10.782,-21.462,-0.800,-17.913,-3.203,-25.354,-20.134,-6.416,-1.759,1.193,-1.824,-13.942,-19.527
1945,-23.267,-29.974,-20.658,-18.671,-7.332,-0.131,1.853,1.905,-2.045,-5.859,-13.736,-19.050,-11.414,-25.266,-15.554,1.209,-7.213,-11.706,-11.604,-11.679,-21.795,-1.150,-19.200,-4.326,-24.633,-23.101,-8.711,-1.870,0.571,-1.999,-12.882,-19.447
1946,-31.828,-26.808,-19.641,-16.583,-5.244,0.409,1.978,2.743,-1.858,-6.566,-9.668,-21.462,-11.211,-25.895,-13.823,1.710,-6.031,-11.010,-11.349,-11.290,-22.212,-0.394,-19.072,-3.589,-26.092,-21.011,-7.139,-0.952,0.954,-1.894,-12.565,-21.538
1947,-27.247,-16.255,-17.593,-15.677,-6.244,0.054,1.985,1.255,-1.460,-5.939,-8.836,-17.728,-9.474,-21.655,-13.171,1.098,-5.412,-9.785,-9.854,-9.907,-18.445,-0.882,-16.352,-3.718,-20.365,-16.508,-7.289,-1.402,0.593,-2.048,-10.834,-19.459
1948,-28.924,-29.954,-28.320,-17.872,-6.174,0.622,2.417,2.550,0.242,-5.290,-9.704,-23.696,-12.009,-25.535,-17.455,1.863,-4.917,-11.511,-11.439,-11.493,-22.752,-0.069,-19.653,-3.358,-29.066,-25.382,-7.808,-1.045,1.736,-0.833,-12.897,-18.496
1949,-30.617,-35.326,-24.538,-18.960,-8.661,0.784,2.818,1.957,-2.318,-5.676,-12.540,-18.257,-12.611,-29.880,-17.387,1.853,-6.845,-13.064,-12.828,-12.796,-24.776,-1.084,-21.162,-4.294,-30.160,-26.275,-8.946,-1.686,0.819,-2.012,-12.158,-21.339
