=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
Total Precipitation (m)
Values averaged across Specify Point (63.6777N; 291.802E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,0.0154,0.0156,0.0341,0.0381,0.0102,0.0294,0.0878,0.0911,0.0913,0.0318,0.0439,0.0141,0.5027,-999,0.0824,0.2082,0.1670,-999,-999,-999,-999,0.3097,-999,0.3796,0.0651,0.0877,0.0776,0.1274,0.2701,0.2141,0.0898,-999
1941,0.0280,0.0152,0.0329,0.0342,0.0279,0.0426,0.0589,0.1084,0.0470,0.0485,0.0393,0.0279,0.5108,0.0573,0.0950,0.2098,0.1348,0.4970,0.5016,0.4850,0.1341,0.2848,0.2002,0.3675,0.0761,0.0823,0.1047,0.1294,0.2143,0.2039,0.1157,0.0860
1942,0.0248,0.0175,0.0350,0.0398,0.0821,0.0490,0.0594,0.0461,0.0375,0.0598,0.0420,0.0240,0.5169,0.0701,0.1569,0.1545,0.1393,0.5208,0.5181,0.5068,0.1445,0.2741,0.2327,0.3736,0.0772,0.0922,0.1709,0.1905,0.1429,0.1433,0.1258,0.0920
1943,0.0154,0.0079,0.0034,0.0111,0.0791,0.0395,0.0506,0.0429,0.1091,0.0526,0.0505,0.0352,0.4972,0.0473,0.0936,0.1329,0.2122,0.4860,0.4775,0.4847,0.0927,0.3211,0.1636,0.3848,0.0267,0.0224,0.1297,0.1691,0.2025,0.2046,0.1383,0.0815
1944,0.0178,0.0336,0.0229,0.0112,0.0875,0.0758,0.1002,0.0988,0.0283,0.0404,0.0538,0.0205,0.5907,0.0866,0.1216,0.2747,0.1226,0.6054,0.6021,0.6143,0.1600,0.3906,0.2237,0.4421,0.0743,0.0677,0.1744,0.2634,0.2273,0.1675,0.1147,0.1034
1945,0.0464,0.0042,0.0175,0.0395,0.0584,0.0533,0.0637,0.0862,0.0661,0.0717,0.0332,0.0605,0.6009,0.0711,0.1155,0.2033,0.1711,0.5609,0.5815,0.5502,0.1424,0.3278,0.2223,0.4391,0.0681,0.0613,0.1513,0.1755,0.2161,0.2241,0.1655,0.1207
1946,0.0209,0.0381,0.0374,0.0325,0.0241,0.0587,0.0785,0.0872,0.1170,0.0578,0.0788,0.0097,0.6406,0.1196,0.0940,0.2243,0.2535,0.6914,0.6458,0.6598,0.1902,0.3653,0.2944,0.4556,0.0965,0.1081,0.1153,0.1612,0.2826,0.2619,0.1463,0.1147
1947,0.0281,0.0148,0.0342,0.0126,0.0195,0.0538,0.0846,0.0509,0.0628,0.0472,0.0337,0.0136,0.4559,0.0526,0.0663,0.1893,0.1437,0.4520,0.4971,0.5076,0.1656,0.2716,0.2360,0.3315,0.0771,0.0616,0.0859,0.1579,0.1983,0.1610,0.0945,0.1166
1948,0.0076,0.0228,0.0137,0.0098,0.0264,0.0398,0.0455,0.0927,0.0451,0.0740,0.0596,0.0120,0.4491,0.0440,0.0499,0.1780,0.1787,0.4507,0.4248,0.3980,0.0915,0.2495,0.1484,0.3333,0.0441,0.0463,0.0760,0.1118,0.1833,0.2118,0.1457,0.0550
1949,0.0238,0.0090,0.0209,0.0160,0.0283,0.0592,0.0649,0.0357,0.0632,0.0620,0.0307,0.0540,0.4677,0.0449,0.0652,0.1597,0.1559,0.4257,0.4546,0.4666,0.1254,0.2512,0.2154,0.3292,0.0538,0.0459,0.1035,0.1523,0.1637,0.1609,0.1467,0.0955
