=======================================================================================,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECMWF ERA5 (0.5x0.5 deg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m Temperature (deg C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values averaged across Specify Point (63.6777N; 291.802E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=======================================================================================,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,MAF,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-18.943,-21.591,-15.266,-9.953,-2.898,2.993,4.256,5.624,2.629,-4.606,-10.543,-22.706,-7.584,,-999,-9.372,4.291,-4.173,-999,-999,-999,-999,2.521,-999,-0.279,-18.6,-15.603,-3.286,1.45,4.169,1.216,-12.619,-999
1941,-20.686,-22.734,-19.017,-15.099,-3.304,2.963,6.406,5.444,1.23,-4.142,-9.996,-21.249,-8.349,,-22.042,-12.473,4.938,-4.303,-8.47,-8.516,-8.554,-19.137,2.548,-16.485,-0.929,-20.812,-18.95,-5.147,2.022,4.36,0.844,-11.796,-17.979
1942,-26.309,-22.717,-14.264,-11.545,-2.865,1.388,5.753,4.76,1.227,-3.39,-8.619,-19.404,-7.999,,-23.425,-9.558,3.967,-3.594,-8.153,-8.267,-8.33,-18.907,2.053,-15.746,-0.668,-21.097,-16.175,-4.341,1.425,3.913,0.865,-10.471,-19.185
1943,-21.886,-28.961,-21.987,-13.225,-4.055,2.121,5.023,4.104,1.533,-3.645,-7.762,-17.022,-8.814,,-23.417,-13.089,3.749,-3.291,-9.012,-9.083,-9.062,-20.172,1.745,-16.782,-1.163,-24.278,-21.391,-5.053,1.03,3.553,0.664,-9.476,-16.637
1944,-24.236,-21.667,-20.001,-8.497,-4.504,2.241,5.062,6.154,1.731,-3.698,-10.363,-19.645,-8.118,,-20.975,-11.001,4.486,-4.11,-7.9,-7.683,-7.679,-18.137,2.137,-14.69,-0.216,-21.968,-16.721,-3.587,0.933,4.316,1.396,-11.235,-16.34
1945,-20.013,-26.47,-17.242,-14.862,-4.279,1.968,4.875,5.28,1.241,-3.584,-10.656,-16.161,-8.325,,-22.043,-12.128,4.041,-4.333,-8.616,-8.591,-8.601,-18.747,1.817,-16.042,-1.337,-21.242,-19.525,-5.724,0.855,3.799,0.979,-10.134,-16.674
1946,-28.442,-23.131,-16.221,-13.334,-2.479,3.54,5.381,5.532,0.683,-4.097,-6.849,-18.757,-8.181,,-22.578,-10.678,4.818,-3.421,-7.965,-8.282,-8.239,-18.922,2.532,-15.933,-0.682,-22.598,-17.562,-4.091,2.148,3.865,0.706,-9.901,-18.42
1947,-23.611,-12.771,-14.394,-12.11,-3.486,2.827,5.296,4.533,1.726,-3.238,-5.815,-14.739,-6.315,,-18.38,-9.996,4.219,-2.442,-6.65,-6.736,-6.808,-15.276,2.179,-13.227,-0.636,-16.925,-13.092,-4.256,1.546,3.852,1.007,-7.93,-16.405
1948,-25.766,-26.306,-24.483,-14.048,-3.077,4.1,7.276,6.412,3.15,-1.899,-7.094,-20.709,-8.537,,-22.27,-13.869,5.929,-1.948,-8.04,-7.933,-8.044,-19.422,3.572,-16.342,0.273,-25.518,-21.612,-4.341,2.766,5.612,2.554,-9.901,-15.44
1949,-27.325,-31.78,-20.935,-15.07,-5.476,3.785,5.879,6.264,1.071,-2.874,-9.566,-15.305,-9.278,,-26.605,-13.827,5.309,-3.79,-9.728,-9.522,-9.441,-21.569,2.304,-17.83,-0.917,-26.68,-22.595,-5.587,1.396,4.404,1.487,-9.248,-18.376
