=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (67.15N; 309.87E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-23.081,-18.446,-22.687,-11.787,-6.593,-2.627,0.301,-0.100,-3.793,-13.986,-20.983,-20.275,-12.005,-999,-13.689,-0.809,-12.921,-999,-999,-999,-999,-2.562,-999,-5.512,-21.404,-17.640,-7.002,-2.973,-1.197,-5.960,-18.415,-999
1941,-21.858,-21.298,-18.996,-12.759,-4.575,-1.943,-0.202,-1.094,-7.986,-10.720,-22.504,-24.854,-12.399,-21.144,-12.110,-1.080,-13.736,-12.017,-11.891,-12.163,-20.682,-3.160,-18.594,-5.611,-20.718,-17.684,-6.425,-2.240,-3.094,-6.600,-19.359,-21.039
1942,-24.147,-19.336,-23.011,-18.478,-3.838,0.503,1.505,0.692,-5.529,-17.425,-18.669,-22.503,-12.520,-22.779,-15.109,0.900,-13.874,-12.716,-13.035,-12.476,-22.770,-1.333,-20.436,-6.081,-22.165,-20.275,-7.271,-0.610,-1.111,-7.421,-19.532,-23.835
1943,-20.727,-30.395,-26.466,-18.828,-10.290,-3.008,-0.458,-6.031,-5.651,-17.326,-19.710,-21.510,-15.033,-24.542,-18.528,-3.166,-14.229,-15.116,-15.029,-15.038,-23.752,-5.087,-22.145,-8.799,-25.863,-25.230,-10.708,-4.585,-4.047,-9.669,-19.515,-20.633
1944,-28.569,-21.333,-19.884,-14.125,-8.217,-1.874,0.122,-2.174,-6.838,-14.334,-21.075,-26.579,-13.740,-23.804,-14.075,-1.309,-14.082,-13.318,-13.204,-13.453,-22.201,-3.796,-20.351,-6.777,-23.262,-18.447,-8.072,-3.323,-2.963,-7.782,-20.663,-23.263
1945,-21.720,-31.544,-21.373,-17.749,-7.295,-2.405,-0.504,-1.448,-7.910,-9.113,-20.661,-19.724,-13.454,-26.615,-15.472,-1.452,-12.562,-14.025,-14.060,-14.495,-24.458,-3.912,-22.054,-6.632,-24.879,-23.555,-9.150,-3.401,-3.287,-6.157,-16.500,-23.125
1946,-26.443,-22.196,-19.430,-17.226,-5.479,-2.360,-0.428,-0.863,-5.446,-10.767,-16.752,-22.096,-12.457,-22.788,-14.045,-1.217,-10.988,-12.259,-12.585,-12.447,-21.691,-2.915,-19.256,-6.081,-22.690,-19.617,-8.355,-2.756,-2.246,-5.692,-16.538,-22.276
1947,-23.245,-20.196,-18.950,-16.720,-5.811,-1.549,0.348,-1.243,-7.191,-15.571,-18.446,-21.662,-12.520,-21.846,-13.827,-0.815,-13.736,-12.556,-12.415,-12.014,-20.248,-3.089,-18.390,-6.820,-20.797,-18.622,-8.027,-2.337,-2.695,-8.002,-18.559,-20.698
1948,-25.059,-25.343,-28.488,-17.899,-9.844,-1.780,0.921,-0.618,-7.309,-14.538,-21.868,-30.941,-15.230,-24.021,-18.744,-0.493,-14.572,-14.457,-14.172,-14.258,-23.799,-3.726,-21.781,-7.295,-26.297,-23.910,-9.841,-3.568,-2.335,-7.488,-22.449,-21.722
1949,-27.347,-31.863,-21.366,-20.779,-8.159,-1.206,0.672,-2.459,-5.906,-13.059,-19.827,-22.677,-14.498,-30.050,-16.768,-0.998,-12.931,-15.187,-15.357,-15.480,-26.677,-3.412,-24.100,-7.271,-26.859,-24.669,-10.048,-2.898,-2.564,-7.141,-18.521,-26.719
1950,-25.660,-25.733,-17.498,-14.800,-4.553,-1.234,0.411,-0.523,-6.402,-14.979,-16.966,-16.251,-12.016,-24.690,-12.284,-0.449,-12.783,-12.551,-12.790,-12.630,-22.279,-2.461,-19.893,-6.012,-22.964,-19.344,-6.862,-1.792,-2.172,-7.302,-16.066,-22.721
1951,-24.265,-26.987,-18.919,-15.280,-4.044,0.398,1.579,-0.103,-2.273,-15.836,-15.420,-26.984,-12.344,-22.501,-12.748,0.625,-11.176,-11.450,-11.579,-11.508,-20.678,-0.889,-19.093,-5.080,-23.391,-20.395,-6.309,-0.689,-0.266,-6.071,-19.413,-19.161
1952,-24.782,-23.500,-23.491,-14.246,-2.928,0.458,0.636,-1.755,-2.139,-11.461,-13.769,-16.067,-11.087,-25.089,-13.555,-0.220,-9.123,-11.997,-12.134,-12.499,-22.835,-1.146,-20.608,-4.491,-23.924,-20.412,-5.572,-0.611,-1.086,-5.118,-13.765,-22.395
1953,-22.285,-23.130,-24.528,-7.934,-5.060,-0.261,0.112,-2.223,-6.126,-15.769,-21.409,-32.553,-13.431,-20.494,-12.507,-0.791,-14.435,-12.057,-11.420,-11.061,-19.956,-2.712,-17.025,-5.323,-23.314,-18.531,-4.418,-1.736,-2.746,-8.039,-23.244,-17.374
1954,-18.096,-24.463,-17.224,-13.797,-3.040,-0.854,-0.188,-1.985,-7.674,-14.305,-20.018,-27.327,-12.414,-25.037,-11.354,-1.009,-13.999,-12.850,-12.966,-13.088,-22.749,-2.748,-20.473,-5.978,-19.927,-18.495,-5.897,-1.361,-3.282,-7.988,-20.550,-24.019
1955,-27.457,-19.765,-17.804,-20.756,-5.268,-0.971,-1.542,-1.979,-7.788,-11.852,-18.046,-23.495,-13.060,-24.849,-14.609,-1.497,-12.562,-13.379,-13.544,-13.748,-22.474,-3.510,-21.061,-7.165,-21.675,-19.441,-8.998,-2.593,-3.770,-7.206,-17.798,-24.934
1956,-26.587,-21.995,-19.459,-10.967,-8.842,-3.669,-0.070,-1.474,-8.229,-12.423,-22.384,-30.289,-13.866,-24.026,-13.089,-1.738,-14.345,-13.299,-12.938,-12.890,-21.916,-4.457,-18.914,-6.525,-22.680,-17.473,-7.826,-4.194,-3.258,-7.375,-21.699,-22.709
1957,-30.835,-26.485,-22.486,-16.078,-9.419,-1.284,0.011,-1.980,-3.706,-13.916,-17.832,-24.519,-14.044,-29.203,-15.994,-1.084,-11.818,-14.525,-14.904,-14.780,-26.496,-3.276,-22.997,-6.625,-26.602,-21.683,-8.927,-3.564,-1.892,-6.534,-18.756,-27.836
1958,-26.946,-19.425,-21.048,-16.575,-5.129,-2.089,0.911,-6.693,-4.707,-14.676,-24.292,-21.546,-13.518,-23.630,-14.250,-2.624,-14.558,-13.766,-13.227,-13.164,-21.954,-3.541,-20.037,-6.994,-22.473,-19.016,-7.931,-2.102,-3.496,-8.692,-20.171,-23.099
1959,-22.228,-27.796,-29.867,-18.543,-7.139,-4.362,-0.537,-3.567,-9.334,-12.017,-19.083,-27.431,-15.159,-23.857,-18.517,-2.822,-13.478,-14.668,-15.102,-15.324,-25.146,-4.988,-22.707,-7.929,-26.630,-25.402,-10.015,-4.013,-4.479,-8.306,-19.510,-22.689
1960,-23.529,-23.862,-27.236,-22.973,-9.761,-2.006,-1.424,-0.869,-11.484,-8.498,-19.132,-23.926,-14.558,-24.941,-19.990,-1.433,-13.038,-14.850,-14.846,-15.139,-24.228,-5.109,-22.304,-8.145,-24.875,-24.690,-11.580,-4.397,-4.592,-6.950,-17.185,-23.348
1961,-24.913,-31.695,-29.605,-19.913,-7.735,-4.770,-1.933,-3.340,-7.021,-14.247,-23.686,-23.915,-16.065,-26.845,-19.084,-3.348,-14.985,-16.065,-15.686,-15.207,-25.854,-4.960,-22.526,-8.423,-28.738,-27.071,-10.806,-4.813,-4.098,-8.203,-20.616,-22.657
1962,-25.538,-25.269,-18.521,-17.317,-7.642,-4.841,-1.078,-4.055,-6.526,-16.284,-16.717,-22.029,-13.818,-24.908,-14.493,-3.325,-13.176,-13.975,-14.556,-14.386,-23.386,-4.828,-21.213,-8.249,-23.109,-20.369,-9.933,-4.520,-3.886,-8.955,-18.344,-24.380
1963,-18.729,-18.977,-22.285,-17.096,-11.462,-3.400,-2.386,-2.815,-7.306,-18.519,-22.893,-17.812,-13.640,-19.912,-16.948,-2.867,-16.240,-13.992,-13.477,-13.291,-19.748,-5.474,-18.874,-8.998,-19.997,-19.453,-10.653,-5.749,-4.169,-9.547,-19.741,-19.159
1964,-20.532,-18.221,-28.109,-16.274,-11.002,-3.383,-1.725,-3.177,-10.430,-15.765,-22.771,-21.809,-14.433,-18.855,-18.462,-2.762,-16.322,-14.100,-14.110,-14.340,-21.513,-5.943,-20.337,-8.822,-22.287,-20.868,-10.220,-5.370,-5.111,-9.790,-20.115,-20.412
1965,-25.223,-15.663,-19.510,-17.349,-8.526,-2.597,-0.717,-3.545,-9.316,-14.859,-17.487,-25.966,-13.397,-20.898,-15.128,-2.286,-13.887,-13.050,-13.491,-13.566,-20.995,-4.940,-19.727,-8.130,-20.132,-17.507,-9.491,-3.947,-4.526,-9.240,-19.437,-23.268
1966,-27.638,-21.481,-24.998,-17.938,-13.961,-4.447,0.402,-5.216,-7.729,-10.304,-16.231,-24.329,-14.489,-25.028,-18.966,-3.087,-11.422,-14.626,-14.730,-15.110,-23.514,-6.190,-21.481,-8.456,-24.706,-21.472,-12.115,-6.002,-4.181,-7.750,-16.955,-23.697
1967,-13.279,-18.906,-24.931,-19.350,-4.195,-1.966,-0.536,-0.986,-3.313,-12.229,-16.279,-18.544,-11.210,-18.838,-16.159,-1.163,-10.607,-11.692,-11.688,-11.527,-19.535,-2.199,-18.190,-6.082,-19.039,-21.062,-8.504,-2.233,-1.612,-5.509,-15.684,-17.946
1968,-22.452,-15.641,-20.825,-11.907,-3.339,-1.603,0.984,-1.034,-4.126,-10.139,-17.032,-17.556,-10.389,-18.879,-12.024,-0.551,-10.432,-10.471,-10.409,-10.583,-18.748,-1.824,-16.840,-4.452,-19.639,-16.124,-5.616,-1.319,-1.392,-5.100,-14.909,-19.092
1969,-17.653,-14.516,-18.480,-13.778,-4.719,-1.952,-0.204,-1.177,-6.201,-12.754,-11.151,-19.083,-10.139,-16.575,-12.325,-1.111,-10.035,-10.012,-10.502,-10.284,-17.047,-2.851,-15.593,-5.826,-16.883,-15.591,-6.816,-2.292,-2.527,-6.711,-14.330,-17.413
1970,-18.112,-18.874,-16.833,-13.559,-9.087,-3.854,0.003,-1.036,-5.396,-8.775,-15.144,-19.859,-10.877,-18.690,-13.160,-1.629,-9.772,-10.813,-10.480,-10.812,-16.811,-3.874,-15.767,-5.958,-17.940,-16.422,-8.833,-4.313,-2.143,-5.069,-14.593,-16.116
1971,-23.200,-23.874,-22.072,-17.960,-8.275,-0.990,-0.260,-1.883,-5.501,-16.378,-14.781,-32.732,-13.992,-22.311,-16.102,-1.044,-12.220,-12.919,-12.950,-12.316,-20.830,-3.382,-18.698,-7.321,-23.048,-21.302,-9.075,-3.175,-2.548,-7.921,-21.297,-19.401
1972,-22.820,-21.259,-26.017,-20.272,-7.045,-3.101,-0.402,-2.441,-3.234,-9.027,-20.201,-25.241,-13.422,-25.604,-17.778,-1.981,-10.821,-14.046,-13.594,-14.207,-23.522,-3.244,-22.037,-6.503,-23.365,-22.516,-10.139,-3.516,-2.026,-4.901,-18.156,-23.444
1973,-20.661,-26.665,-24.983,-10.661,-8.267,-3.827,-0.871,-3.137,-4.730,-10.815,-17.787,-17.480,-12.490,-24.189,-14.637,-2.612,-11.111,-13.137,-13.338,-13.189,-23.550,-4.167,-19.634,-6.044,-24.103,-20.769,-7.585,-4.322,-2.913,-6.228,-15.360,-22.034
1974,-22.211,-20.416,-16.880,-13.256,-6.107,-2.861,0.229,-1.340,-6.986,-9.239,-16.203,-31.063,-12.194,-20.035,-12.081,-1.324,-10.810,-11.062,-11.194,-11.326,-18.954,-3.413,-16.978,-5.652,-19.835,-16.850,-7.408,-2.913,-2.699,-5.855,-18.835,-19.159
1975,-24.968,-20.284,-21.650,-14.535,-7.801,-1.130,-0.801,-1.689,-6.847,-15.087,-17.441,-21.780,-12.834,-25.438,-14.662,-1.207,-13.125,-13.608,-13.505,-13.018,-22.834,-3.654,-19.706,-6.841,-22.301,-18.823,-7.822,-3.244,-3.112,-7.874,-18.103,-24.078
1976,-25.714,-23.775,-21.681,-15.285,-8.689,-3.014,0.654,-0.566,-1.683,-11.284,-15.731,-17.349,-12.010,-23.757,-15.218,-0.975,-9.566,-12.379,-12.521,-12.838,-22.078,-2.660,-20.109,-5.695,-23.724,-20.247,-8.996,-3.683,-0.532,-4.511,-14.788,-21.645
1977,-17.311,-18.416,-15.760,-12.220,-2.730,0.409,2.747,-0.161,-7.121,-13.757,-10.469,-20.783,-9.631,-17.692,-10.237,0.998,-10.449,-9.345,-9.783,-9.577,-16.913,-1.371,-15.439,-4.690,-17.163,-15.465,-4.847,0.142,-1.512,-7.013,-15.003,-16.797
1978,-23.208,-20.734,-22.223,-11.084,-6.406,-2.875,4.216,1.555,-3.946,-10.512,-23.839,-12.376,-10.953,-21.575,-13.238,0.965,-12.765,-11.653,-10.539,-10.810,-19.483,-1.491,-17.465,-4.150,-22.055,-18.014,-6.788,-1.688,0.608,-4.301,-15.575,-18.153
1979,-18.135,-18.508,-19.016,-9.807,-4.084,-0.832,1.744,-1.136,-6.735,-13.198,-21.210,-22.687,-11.134,-16.340,-10.969,-0.075,-13.714,-10.274,-10.494,-10.270,-18.375,-2.209,-16.027,-4.864,-18.553,-15.777,-4.908,-1.058,-2.043,-7.023,-19.032,-18.117
1980,-15.907,-19.570,-16.444,-15.505,-4.835,-0.891,0.780,-2.696,-6.464,-11.085,-14.596,-20.671,-10.657,-19.388,-12.261,-0.936,-10.715,-10.825,-11.376,-11.552,-19.164,-2.821,-17.789,-5.814,-17.307,-17.173,-7.077,-1.649,-2.794,-6.749,-15.451,-19.935
1981,-22.036,-23.919,-18.956,-12.585,-6.606,-0.492,2.320,1.665,-2.470,-12.271,-19.087,-16.566,-10.917,-22.209,-12.716,1.164,-11.276,-11.259,-10.885,-10.786,-20.036,-1.117,-17.693,-4.349,-21.637,-18.487,-6.561,-1.593,0.505,-4.359,-15.975,-19.101
1982,-20.165,-26.006,-21.036,-13.966,-5.438,-2.367,1.734,-0.195,-8.194,-12.024,-20.623,-23.382,-12.638,-20.912,-13.480,-0.276,-13.614,-12.070,-11.942,-11.963,-20.572,-2.892,-18.442,-5.779,-22.402,-20.336,-7.257,-2.024,-2.218,-6.804,-18.676,-18.606
1983,-36.443,-23.709,-26.885,-13.738,-5.125,-1.916,1.443,-1.144,-5.210,-12.645,-16.907,-19.977,-13.521,-27.845,-15.249,-0.539,-11.588,-13.805,-14.115,-14.063,-26.209,-2.390,-22.401,-5.476,-29.013,-21.444,-6.926,-1.866,-1.637,-6.333,-16.510,-26.816
1984,-30.295,-36.096,-21.332,-18.908,-8.023,-0.776,1.286,1.134,-6.646,-15.022,-16.489,-23.888,-14.588,-28.790,-16.088,0.548,-12.719,-14.262,-14.297,-14.099,-24.922,-2.605,-22.309,-6.708,-29.241,-25.446,-9.236,-2.504,-1.409,-6.845,-18.467,-22.393
1985,-14.818,-23.004,-17.841,-11.257,-4.509,-0.697,-1.131,-1.004,-5.468,-15.906,-13.605,-17.914,-10.596,-20.570,-11.202,-0.944,-11.660,-11.094,-11.334,-11.261,-19.208,-2.562,-17.474,-5.710,-18.554,-17.367,-5.488,-2.113,-2.534,-7.460,-15.808,-18.398
1986,-17.712,-13.927,-21.591,-12.177,-5.607,-4.775,-0.823,1.184,-1.369,-15.098,-23.447,-22.355,-11.475,-16.517,-13.125,-1.472,-13.305,-11.105,-10.285,-10.352,-16.950,-2.278,-16.119,-5.524,-17.743,-15.898,-7.520,-3.735,-0.336,-5.095,-20.300,-16.410
1987,-18.842,-25.727,-21.154,-16.075,-4.943,1.091,1.026,-1.202,-4.074,-11.827,-15.256,-21.585,-11.547,-22.308,-14.057,0.305,-10.386,-11.611,-12.294,-12.567,-22.305,-1.620,-20.386,-5.143,-21.908,-20.985,-6.642,-0.942,-1.417,-5.701,-16.222,-21.548
1988,-22.153,-17.401,-17.799,-13.730,-6.436,-1.285,0.342,-0.069,-6.198,-10.514,-13.650,-20.748,-10.803,-20.380,-12.655,-0.337,-10.121,-10.873,-11.007,-11.116,-18.839,-2.729,-17.107,-5.413,-19.117,-16.310,-7.150,-2.460,-1.975,-5.594,-14.971,-19.664
