=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (69.42N; 211.31E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-30.202,-33.004,-26.552,-9.594,-2.941,2.393,8.424,3.011,-1.001,-11.168,-21.946,-31.150,-12.811,-999,-13.029,4.609,-11.372,-999,-999,-999,-999,1.977,-999,-1.554,-29.919,-23.050,-3.381,2.625,3.478,-3.053,-21.421,-999
1941,-35.980,-30.843,-34.043,-16.864,-4.864,2.337,4.603,4.394,-5.199,-17.011,-28.484,-27.319,-15.773,-32.657,-18.590,3.778,-16.898,-16.092,-15.547,-15.060,-30.792,0.254,-25.999,-4.658,-33.622,-27.250,-6.464,0.692,1.266,-5.939,-24.271,-29.692
1942,-29.217,-29.459,-30.750,-15.757,-5.394,2.122,6.040,2.684,-1.814,-15.474,-29.255,-37.964,-15.353,-28.665,-17.300,3.615,-15.514,-14.466,-14.402,-14.530,-29.046,0.728,-25.428,-3.942,-29.808,-25.322,-6.343,0.923,2.304,-4.868,-27.564,-28.340
1943,-38.807,-26.143,-26.153,-15.144,-0.973,5.719,7.728,3.918,-3.584,-13.473,-20.773,-32.623,-13.359,-34.305,-14.090,5.788,-12.610,-13.804,-14.511,-14.678,-31.664,2.561,-26.992,-2.259,-30.368,-22.480,-3.466,4.158,2.687,-4.380,-22.289,-35.342
1944,-32.706,-26.970,-26.048,-13.998,-3.818,5.685,7.938,3.130,-3.121,-11.963,-30.731,-29.171,-13.481,-30.766,-14.621,5.584,-15.272,-13.769,-12.939,-13.065,-27.824,1.963,-23.798,-2.307,-28.574,-22.338,-4.044,3.268,2.649,-3.985,-23.955,-28.700
1945,-30.120,-30.503,-30.998,-13.458,-5.621,3.154,6.824,2.566,-4.191,-13.293,-29.275,-34.493,-14.951,-29.932,-16.692,4.181,-15.586,-14.507,-14.629,-14.518,-30.305,0.546,-25.278,-3.431,-30.540,-24.986,-5.308,1.452,1.733,-4.973,-25.687,-30.008
1946,-30.828,-33.255,-29.338,-22.101,-3.316,6.220,6.279,3.571,-6.100,-13.402,-23.758,-36.294,-15.194,-32.859,-18.252,5.357,-14.420,-15.043,-15.503,-15.494,-31.438,1.331,-27.512,-4.121,-31.140,-28.231,-6.399,3.061,1.250,-5.310,-24.484,-31.532
1947,-34.040,-33.098,-27.944,-17.046,-3.715,2.681,6.953,2.210,-3.751,-17.208,-26.971,-28.929,-15.072,-34.477,-16.235,3.948,-15.977,-15.685,-15.418,-15.100,-31.027,0.876,-26.512,-4.268,-31.694,-26.030,-6.027,1.973,1.804,-6.250,-24.369,-31.364
1948,-32.189,-26.991,-27.291,-15.694,-6.032,2.706,6.428,2.255,-6.617,-15.702,-27.155,-37.224,-15.292,-29.370,-16.339,3.796,-16.492,-14.601,-14.586,-14.711,-28.474,-0.252,-25.039,-4.665,-28.824,-23.325,-6.340,1.034,0.689,-6.688,-26.694,-29.363
1949,-30.632,-32.609,-21.027,-24.126,-7.320,1.708,5.803,8.013,0.516,-11.805,-20.151,-30.515,-13.512,-33.488,-17.491,5.175,-10.480,-14.071,-14.655,-14.980,-29.729,1.744,-26.925,-3.887,-28.089,-25.921,-9.913,0.064,4.777,-1.092,-20.824,-31.670
1950,-21.995,-37.413,-25.058,-16.767,-4.577,4.783,9.385,6.924,-0.902,-12.505,-18.351,-30.269,-12.229,-29.975,-15.467,7.031,-10.586,-12.249,-12.399,-12.341,-27.027,3.123,-23.386,-1.951,-28.156,-26.413,-5.520,3.197,5.136,-2.161,-20.375,-24.221
1951,-41.244,-35.064,-33.321,-15.323,-5.210,3.113,8.218,7.522,-0.335,-13.064,-16.924,-28.685,-14.193,-35.525,-17.951,6.284,-10.108,-14.325,-14.444,-14.397,-31.650,2.661,-26.582,-2.154,-36.543,-27.903,-5.807,2.040,5.135,-1.959,-19.558,-29.954
1952,-33.807,-39.137,-30.014,-21.289,-9.557,2.868,7.919,5.731,-5.807,-12.474,-18.146,-33.301,-15.584,-33.876,-20.287,5.506,-12.143,-15.200,-15.098,-15.147,-29.713,0.231,-26.131,-4.658,-34.319,-30.147,-9.326,0.410,2.614,-4.183,-21.307,-26.472
1953,-36.472,-35.436,-30.253,-15.655,-5.269,5.573,5.513,3.504,-2.204,-16.090,-25.595,-35.813,-15.683,-35.070,-17.059,4.863,-14.630,-15.474,-14.853,-14.552,-30.722,1.423,-25.962,-3.518,-34.054,-27.115,-5.117,1.939,2.271,-4.930,-25.832,-29.307
1954,-32.650,-34.889,-25.062,-18.131,-6.755,2.310,7.105,9.173,-2.274,-13.822,-24.080,-34.637,-14.476,-34.451,-16.649,6.196,-13.392,-14.574,-14.700,-14.889,-30.802,1.912,-26.890,-3.199,-30.867,-26.027,-7.525,0.887,4.668,-2.308,-24.180,-31.353
1955,-29.398,-38.480,-32.239,-20.844,-6.311,2.949,8.980,2.667,-2.755,-15.188,-28.564,-32.976,-16.013,-34.172,-19.798,4.865,-15.502,-16.152,-15.778,-15.664,-31.767,1.106,-27.643,-4.357,-33.372,-30.521,-8.068,1.873,2.964,-5.092,-25.576,-29.372
1956,-33.546,-37.444,-25.011,-16.590,-3.434,2.835,7.249,2.528,-2.043,-20.472,-30.607,-31.342,-15.656,-34.655,-15.012,4.204,-17.707,-15.793,-15.622,-15.182,-31.508,1.427,-27.045,-4.275,-32.001,-26.348,-5.730,2.216,2.578,-6.662,-27.474,-31.695
1957,-23.978,-34.219,-29.270,-12.768,-5.104,3.075,6.859,8.200,-4.040,-10.619,-27.762,-38.894,-14.043,-29.846,-15.714,6.045,-14.141,-13.414,-13.651,-14.472,-29.883,1.798,-26.094,-2.057,-29.156,-25.419,-4.932,1.610,3.673,-2.153,-25.758,-28.642
