=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (69.42N; 211.31E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-26.620,-29.741,-23.516,-7.756,-0.306,5.734,15.715,6.719,1.834,-9.081,-17.938,-27.783,-9.395,-999,-10.526,9.389,-8.395,-999,-999,-999,-999,5.939,-999,1.837,-26.626,-20.338,-0.776,7.047,8.089,-0.176,-18.267,-999
1941,-32.465,-27.703,-30.681,-14.576,-2.830,6.809,8.045,6.906,-3.032,-14.503,-25.272,-23.697,-12.750,-29.317,-16.029,7.253,-14.269,-13.090,-12.479,-12.027,-27.314,3.180,-22.889,-1.883,-30.283,-24.320,-3.532,4.008,3.973,-3.543,-21.157,-26.062
1942,-26.063,-26.111,-27.278,-13.266,-3.515,3.931,9.319,5.049,0.297,-13.105,-26.084,-34.326,-12.596,-25.290,-14.686,6.100,-12.964,-11.710,-11.643,-11.759,-25.684,3.016,-22.313,-1.613,-26.484,-22.218,-4.283,3.245,4.888,-2.586,-24.505,-25.010
1943,-34.709,-22.662,-22.608,-12.423,0.781,9.146,10.849,6.003,-2.039,-11.305,-17.488,-29.289,-10.479,-30.566,-11.416,8.666,-10.277,-10.898,-11.615,-11.765,-28.078,4.948,-23.702,0.145,-26.660,-19.231,-0.832,6.925,4.938,-2.447,-19.361,-31.706
1944,-29.363,-23.456,-22.690,-11.243,-1.944,8.888,10.570,5.869,-1.003,-9.663,-27.730,-25.247,-10.584,-27.369,-11.959,8.442,-12.799,-10.921,-10.068,-10.205,-24.457,4.476,-20.691,0.211,-25.170,-19.130,-1.433,5.838,5.145,-1.599,-20.880,-25.380
1945,-26.156,-27.064,-27.902,-10.413,-3.751,5.458,10.697,5.497,-2.402,-10.802,-25.605,-30.966,-11.951,-26.155,-14.022,7.217,-12.937,-11.474,-11.651,-11.556,-26.820,3.100,-22.025,-0.817,-27.041,-21.793,-2.902,4.135,4.597,-2.569,-22.458,-26.378
1946,-27.590,-29.580,-25.935,-19.345,-1.518,9.359,11.137,7.790,-3.815,-10.960,-20.116,-32.757,-11.944,-29.379,-15.600,9.429,-11.631,-11.795,-12.252,-12.239,-27.935,4.591,-24.261,-1.050,-27.702,-24.954,-3.835,6.326,5.037,-2.328,-21.278,-28.054
1947,-30.271,-29.701,-24.982,-14.090,-1.929,5.134,10.722,5.078,-1.628,-14.859,-23.924,-25.952,-12.200,-30.910,-13.667,6.978,-13.470,-12.767,-12.450,-12.125,-27.565,3.475,-23.268,-1.653,-28.318,-22.924,-3.629,4.642,4.724,-3.803,-21.578,-27.715
1948,-28.459,-23.320,-23.530,-12.307,-4.585,5.549,11.508,5.572,-4.071,-13.321,-23.913,-33.453,-12.027,-25.910,-13.474,7.543,-13.768,-11.402,-11.403,-11.531,-25.037,2.795,-21.764,-1.665,-25.103,-19.719,-3.781,4.158,4.336,-3.940,-23.562,-26.112
1949,-26.589,-29.149,-17.823,-21.044,-5.564,4.777,9.312,12.646,2.714,-8.444,-17.490,-27.029,-10.307,-29.730,-14.811,8.912,-7.740,-10.842,-11.378,-11.784,-26.185,4.777,-23.613,-0.800,-24.521,-22.672,-7.277,2.842,8.224,2.305,-17.654,-27.985
1950,-18.871,-33.507,-21.816,-13.886,-2.506,8.519,13.972,11.009,2.123,-9.775,-14.654,-26.847,-8.853,-26.469,-12.736,11.167,-7.435,-8.868,-9.105,-8.994,-23.743,6.624,-20.149,1.351,-24.731,-23.070,-2.624,6.662,9.035,1.119,-17.092,-21.130
1951,-37.073,-31.041,-29.613,-12.557,-2.994,7.693,13.609,12.864,1.716,-10.095,-14.206,-24.750,-10.537,-31.654,-15.054,11.389,-7.528,-10.712,-10.749,-10.723,-27.845,6.578,-23.080,1.462,-32.576,-24.404,-2.619,6.103,9.397,1.495,-16.350,-26.191
1952,-29.753,-35.556,-26.786,-18.470,-7.393,4.699,12.914,8.900,-4.290,-10.259,-15.668,-30.044,-12.642,-30.020,-17.550,8.838,-10.072,-12.201,-12.079,-12.066,-26.210,2.966,-22.802,-1.986,-30.699,-26.938,-7.054,3.407,5.841,-1.883,-18.657,-22.903
1953,-32.623,-32.068,-26.835,-13.257,-4.057,8.927,9.264,6.337,-0.264,-13.955,-22.387,-32.590,-12.792,-31.578,-14.716,8.176,-12.202,-12.580,-12.020,-11.712,-27.447,4.041,-22.965,-1.001,-30.508,-24.053,-2.796,4.711,5.112,-2.627,-22.977,-26.111
1954,-28.893,-31.257,-21.391,-15.245,-4.997,5.307,11.382,13.494,1.072,-11.767,-20.841,-30.999,-11.178,-30.913,-13.878,10.061,-10.512,-11.310,-11.439,-11.622,-27.304,5.252,-23.674,-0.108,-27.180,-22.631,-4.978,3.897,8.650,0.933,-21.203,-27.957
1955,-26.104,-34.720,-29.050,-18.042,-4.628,5.483,11.843,5.418,-0.046,-12.922,-25.218,-29.408,-13.116,-30.608,-17.240,7.581,-12.729,-13.249,-12.884,-12.788,-28.343,3.614,-24.503,-1.842,-29.958,-27.270,-5.729,4.233,5.738,-2.517,-22.516,-25.982
1956,-29.567,-33.973,-21.670,-13.823,-1.071,6.041,11.921,4.829,0.768,-17.487,-27.457,-27.988,-12.456,-30.983,-12.188,7.597,-14.725,-12.575,-12.388,-12.008,-27.967,4.498,-23.797,-1.260,-28.403,-23.155,-2.951,5.630,5.839,-3.963,-24.311,-28.064
1957,-20.070,-30.784,-25.907,-10.113,-3.580,6.934,10.369,11.174,-2.233,-8.212,-24.736,-35.211,-11.031,-26.281,-13.200,9.493,-11.727,-10.429,-10.656,-11.428,-26.441,4.533,-22.829,0.620,-25.587,-22.268,-2.253,4.574,6.437,0.243,-22.720,-25.172
1958,-32.505,-31.531,-22.359,-14.565,-3.501,11.278,13.617,11.073,2.036,-14.359,-20.029,-26.836,-10.640,-33.082,-13.475,11.989,-10.784,-11.338,-11.730,-11.218,-29.268,6.900,-24.160,0.797,-28.798,-22.818,-2.263,7.131,8.909,-0.417,-20.408,-30.817
1959,-30.098,-21.038,-33.216,-16.239,-3.240,8.093,8.720,6.151,-0.126,-11.714,-26.991,-33.723,-12.785,-25.991,-17.565,7.654,-12.944,-12.211,-11.631,-11.852,-26.243,3.919,-23.117,-1.194,-28.117,-23.498,-3.796,4.524,4.915,-1.897,-24.143,-25.655
1960,-35.488,-24.492,-24.344,-18.857,-1.030,7.105,8.559,6.472,-3.034,-13.025,-27.552,-20.755,-12.203,-31.234,-14.744,7.379,-14.537,-13.284,-13.237,-13.128,-29.008,3.614,-25.087,-1.973,-28.108,-22.564,-4.261,4.878,3.999,-3.196,-20.444,-32.067
1961,-26.345,-34.735,-31.674,-19.322,-0.911,7.582,10.766,7.616,3.172,-13.519,-23.069,-30.705,-12.596,-27.278,-17.303,8.654,-11.139,-11.766,-12.140,-12.099,-28.212,5.645,-24.773,-0.660,-30.918,-28.577,-4.217,5.812,7.185,-0.910,-22.431,-24.884
1962,-20.798,-19.442,-25.700,-16.844,-5.928,7.880,11.475,11.362,-1.874,-12.624,-20.949,-24.254,-9.808,-23.649,-16.157,10.239,-11.816,-10.346,-10.522,-10.597,-23.943,4.583,-21.440,-0.936,-21.980,-20.662,-4.964,4.476,6.988,-1.045,-19.276,-24.858
1963,-22.140,-27.250,-27.286,-14.435,-1.437,6.623,10.211,8.578,0.696,-14.599,-26.074,-20.543,-10.638,-24.548,-14.386,8.471,-13.326,-10.947,-10.520,-10.356,-24.376,4.934,-21.277,-0.623,-25.558,-22.990,-3.083,5.132,6.495,-1.775,-20.405,-22.448
1964,-32.087,-34.942,-30.563,-19.482,-4.176,5.951,10.296,7.900,1.203,-10.283,-20.949,-33.694,-13.402,-29.191,-18.074,8.049,-10.010,-12.306,-12.733,-13.093,-28.842,4.235,-25.470,-1.227,-32.531,-28.329,-5.902,4.024,6.466,-0.393,-21.642,-26.235
1965,-33.483,-38.350,-18.571,-14.049,-5.166,5.474,10.333,8.205,1.722,-16.243,-14.159,-27.559,-11.820,-35.175,-12.595,8.004,-9.560,-12.332,-12.897,-12.401,-29.009,4.114,-24.197,-1.389,-30.134,-23.656,-4.580,3.547,6.754,-2.105,-19.320,-29.375
1966,-29.971,-31.152,-33.105,-19.239,-6.441,7.314,11.610,7.199,1.613,-10.066,-17.693,-28.068,-12.333,-29.561,-19.595,8.707,-8.715,-12.291,-11.996,-12.511,-27.189,4.259,-24.490,-1.144,-31.409,-27.832,-6.122,4.161,6.807,-0.418,-18.609,-23.896
1967,-24.666,-30.867,-23.503,-13.410,-3.456,7.218,10.391,6.898,-1.045,-13.947,-20.511,-23.819,-10.893,-27.867,-13.456,8.169,-11.834,-11.247,-11.012,-10.689,-24.959,4.001,-21.182,-1.050,-26.345,-22.593,-3.216,4.718,5.415,-2.698,-19.426,-23.476
1968,-24.187,-36.097,-24.676,-19.389,-3.392,5.561,16.054,10.755,-0.835,-14.693,-23.924,-25.722,-11.712,-28.034,-15.819,10.790,-13.151,-11.553,-11.269,-11.207,-25.858,5.629,-23.232,-0.848,-28.320,-26.720,-5.740,6.074,8.658,-1.591,-21.447,-22.839
