=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (65.071N; 221.845E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-25.395,-24.522,-20.821,-7.516,-2.173,4.531,7.410,3.396,0.469,-9.246,-24.481,-23.265,-10.134,-999,-10.170,5.112,-11.086,-999,-999,-999,-999,2.727,-999,-0.447,-23.580,-17.620,-1.719,3.256,3.758,-1.794,-18.997,-999
1941,-28.212,-21.636,-19.414,-7.616,-2.696,4.292,6.078,3.953,-6.449,-14.863,-25.550,-27.858,-11.664,-24.371,-9.909,4.774,-15.621,-11.282,-11.193,-10.724,-23.402,1.035,-19.124,-2.472,-23.087,-16.222,-2.007,2.558,1.194,-5.786,-22.757,-25.319
1942,-21.539,-19.379,-20.189,-11.437,-0.142,4.841,5.946,4.374,-0.527,-7.562,-30.329,-37.064,-11.084,-22.925,-10.590,5.054,-12.806,-10.317,-9.919,-10.527,-22.903,2.898,-20.116,-0.644,-20.369,-17.002,-2.246,3.548,3.264,-1.238,-24.985,-24.983
1943,-32.214,-22.036,-24.737,-10.115,-1.893,4.127,5.421,3.603,-1.149,-9.689,-15.288,-20.935,-10.409,-30.438,-12.248,4.384,-8.709,-11.753,-13.006,-12.829,-29.276,2.022,-23.437,-1.385,-26.329,-18.963,-2.627,2.552,2.625,-2.412,-15.304,-33.202
1944,-21.254,-21.226,-20.688,-13.277,-2.123,4.583,6.835,3.500,-2.924,-10.190,-23.841,-22.607,-10.268,-21.139,-12.029,4.972,-12.318,-10.128,-9.416,-9.374,-19.878,1.974,-17.480,-1.942,-21.056,-18.397,-3.606,3.098,2.470,-3.205,-18.879,-19.159
1945,-23.894,-22.359,-21.676,-15.386,-3.672,2.615,5.412,4.044,-2.334,-10.217,-29.724,-28.575,-12.147,-22.953,-13.578,4.024,-14.091,-11.650,-11.159,-11.157,-22.875,1.213,-19.993,-2.791,-22.643,-19.807,-5.481,1.452,2.374,-2.835,-22.839,-23.447
1946,-29.701,-29.948,-22.541,-12.341,-0.981,6.544,6.490,2.534,-3.475,-10.361,-25.617,-33.911,-12.776,-29.408,-11.954,5.189,-13.151,-12.331,-12.673,-12.661,-28.098,2.222,-23.293,-1.656,-27.397,-21.610,-2.259,4.018,1.849,-3.768,-23.296,-29.333
1947,-34.140,-27.606,-14.399,-12.789,-2.252,1.652,6.635,0.239,-3.171,-11.890,-17.998,-22.630,-11.529,-31.886,-9.813,2.842,-11.020,-12.469,-13.104,-12.977,-27.135,0.621,-22.689,-3.082,-25.382,-18.265,-4.463,2.012,1.234,-4.941,-17.506,-31.223
1948,-26.445,-31.897,-24.369,-16.155,-3.133,3.958,6.438,1.470,-4.402,-11.272,-27.126,-34.671,-13.967,-26.991,-14.552,3.955,-14.267,-12.964,-12.203,-12.255,-24.668,0.866,-21.626,-3.300,-27.571,-24.141,-5.110,2.421,1.169,-4.735,-24.356,-22.358
1949,-27.845,-32.947,-16.054,-12.009,-5.652,0.913,6.039,5.576,1.403,-10.914,-16.352,-30.130,-11.498,-31.821,-11.238,4.176,-8.621,-11.876,-12.774,-12.804,-27.729,1.656,-23.132,-2.092,-25.615,-20.337,-5.582,0.433,4.339,-1.312,-19.132,-29.881
1950,-25.535,-37.566,-18.615,-13.366,-2.731,5.254,6.202,3.375,0.514,-12.934,-27.960,-26.099,-12.455,-31.077,-11.571,4.944,-13.460,-12.791,-11.824,-11.655,-25.639,2.523,-21.783,-1.955,-27.238,-23.182,-3.614,2.908,3.363,-3.015,-22.331,-24.006
1951,-33.742,-28.103,-28.595,-10.450,-2.368,1.751,6.132,5.412,0.052,-16.457,-20.084,-28.597,-12.921,-29.314,-13.804,4.432,-12.163,-12.712,-13.369,-13.075,-28.900,2.196,-23.983,-2.275,-30.146,-22.382,-3.689,1.838,3.865,-3.664,-21.713,-29.267
1952,-37.442,-27.018,-22.293,-13.162,-6.039,3.386,6.474,3.046,-3.878,-9.322,-15.058,-25.471,-12.231,-31.019,-13.831,4.302,-9.419,-12.492,-12.911,-13.505,-27.087,0.598,-23.579,-2.785,-28.918,-20.824,-5.272,1.274,1.881,-3.385,-16.617,-28.708
1953,-36.101,-21.887,-22.167,-9.762,-1.474,5.561,6.616,4.521,-1.284,-13.785,-23.952,-25.957,-11.639,-27.820,-11.134,5.566,-13.007,-11.599,-10.858,-10.486,-24.137,2.788,-19.967,-1.372,-26.718,-17.939,-1.892,3.568,3.284,-3.516,-21.232,-25.543
1954,-31.858,-31.611,-18.767,-18.805,-2.880,3.421,6.285,5.173,-2.170,-10.824,-18.231,-32.395,-12.722,-29.809,-13.484,4.960,-10.408,-12.185,-12.662,-12.909,-26.429,1.966,-23.534,-2.829,-27.412,-23.061,-6.088,2.275,3.096,-2.607,-20.483,-27.256
1955,-25.195,-30.032,-24.689,-14.592,-4.571,2.939,7.259,2.079,-2.593,-13.785,-31.026,-32.161,-13.864,-29.208,-14.617,4.093,-15.802,-13.883,-12.817,-12.570,-26.108,1.023,-22.280,-3.323,-26.639,-23.104,-5.408,1.876,2.248,-4.766,-25.658,-25.274
1956,-34.800,-31.829,-25.556,-13.783,-2.885,3.235,6.075,4.618,-3.350,-18.431,-21.687,-33.315,-14.309,-32.930,-14.075,4.643,-14.489,-14.213,-14.991,-14.604,-31.075,1.539,-26.134,-3.503,-30.728,-23.723,-4.478,2.142,2.448,-5.721,-24.477,-32.663
1957,-24.655,-28.362,-19.881,-11.291,-3.417,3.954,5.339,5.940,-1.050,-11.268,-18.887,-32.882,-11.372,-28.777,-11.530,5.078,-10.402,-11.408,-11.641,-12.238,-25.580,2.153,-22.517,-1.685,-24.299,-19.845,-3.585,1.959,3.410,-2.126,-21.012,-26.552
1958,-24.387,-31.214,-21.024,-7.747,-2.238,5.331,7.042,4.090,-2.799,-16.682,-22.165,-29.173,-11.747,-29.495,-10.336,5.488,-13.882,-12.056,-11.783,-11.332,-25.679,2.285,-21.059,-1.857,-25.542,-19.995,-1.551,3.378,2.778,-5.130,-22.673,-25.385
1959,-37.347,-21.267,-27.401,-14.982,-4.716,3.073,4.047,1.515,-3.222,-15.064,-22.290,-26.420,-13.673,-29.262,-15.700,2.878,-13.525,-13.902,-13.892,-14.027,-27.470,0.139,-24.145,-4.193,-28.671,-21.216,-5.542,0.801,0.780,-5.590,-21.258,-29.562
1960,-25.951,-22.635,-27.226,-14.660,-3.798,3.193,6.397,2.834,-2.664,-13.844,-25.915,-21.488,-12.146,-25.002,-15.228,4.141,-14.141,-12.557,-12.255,-12.357,-24.904,1.192,-22.035,-3.220,-25.271,-21.507,-5.088,1.931,2.189,-4.558,-20.416,-24.887
