=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (65.071N; 221.845E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-21.583,-21.630,-18.405,-4.914,1.708,8.310,12.097,7.704,4.045,-7.497,-20.770,-20.884,-6.818,-999,-7.204,9.370,-8.074,-999,-999,-999,-999,6.773,-999,3.065,-20.539,-14.983,1.701,7.372,7.949,1.417,-16.384,-999
1941,-25.237,-18.721,-16.732,-5.510,1.168,8.625,10.715,7.565,-2.636,-13.033,-22.971,-24.865,-8.469,-21.614,-7.024,8.968,-12.880,-8.137,-7.954,-7.493,-20.469,5.088,-16.478,0.985,-20.230,-13.654,1.428,6.836,5.215,-2.701,-20.289,-22.297
1942,-18.491,-16.975,-17.533,-8.789,3.063,10.134,10.391,8.113,1.944,-5.562,-27.463,-34.430,-7.966,-20.110,-7.753,9.546,-10.360,-7.169,-6.795,-7.418,-20.167,6.729,-17.522,2.756,-17.666,-14.433,1.469,7.863,6.816,1.498,-22.485,-22.109
1943,-28.900,-19.020,-21.551,-7.446,1.600,9.582,10.710,7.352,1.282,-7.881,-12.938,-18.479,-7.141,-27.450,-9.133,9.215,-6.513,-8.470,-9.680,-9.487,-26.273,6.105,-20.625,2.171,-23.157,-16.006,1.245,7.297,6.448,0.251,-13.099,-30.264
1944,-18.390,-18.204,-17.559,-9.935,1.673,10.169,11.353,7.535,0.311,-8.338,-21.525,-19.962,-6.906,-18.358,-8.607,9.686,-9.851,-6.782,-6.067,-6.029,-17.114,6.208,-14.769,1.824,-18.051,-15.233,0.636,7.732,6.400,-0.164,-16.608,-16.602
1945,-21.388,-19.421,-18.865,-12.050,-0.156,7.808,9.694,8.079,-0.261,-8.488,-27.310,-26.054,-9.034,-20.257,-10.357,8.527,-12.020,-8.527,-8.045,-8.032,-20.232,5.033,-17.364,0.661,-19.891,-16.779,-1.466,5.782,5.837,-0.224,-20.617,-20.958
1946,-26.793,-27.025,-19.887,-9.049,2.978,12.152,11.108,8.069,-0.067,-8.302,-21.606,-31.261,-9.140,-26.624,-8.652,10.443,-9.992,-8.706,-9.182,-9.197,-25.414,6.848,-20.658,2.413,-24.568,-18.653,2.027,8.746,6.370,-0.100,-20.390,-26.719
1947,-31.230,-24.783,-12.146,-10.417,1.704,7.423,11.792,5.314,-0.306,-10.265,-15.854,-20.305,-8.256,-29.091,-6.953,8.177,-8.808,-9.169,-9.648,-9.485,-24.205,5.186,-19.963,0.749,-22.720,-15.782,-0.430,6.973,5.600,-1.752,-15.475,-28.032
1948,-23.897,-28.060,-21.004,-12.354,-1.067,7.934,10.696,5.248,-1.659,-9.462,-24.569,-31.521,-10.810,-24.087,-11.475,7.959,-11.897,-9.875,-9.149,-9.216,-21.824,4.230,-18.820,-0.095,-24.320,-20.473,-1.829,5.854,4.762,-1.958,-21.851,-20.019
1949,-24.636,-29.888,-12.554,-9.757,-2.699,4.972,9.945,9.480,5.024,-8.284,-14.541,-27.465,-8.367,-28.682,-8.337,8.133,-5.934,-8.705,-9.540,-9.639,-24.633,5.345,-20.341,1.240,-22.359,-17.400,-2.495,4.073,8.150,2.074,-16.763,-26.909
