=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (68.69N; 210.92E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-27.372,-28.061,-24.440,-9.389,-3.836,3.014,6.199,1.741,-3.714,-13.260,-23.364,-26.816,-12.441,-999,-12.555,3.652,-13.446,-999,-999,-999,-999,0.681,-999,-2.749,-26.624,-20.630,-3.403,1.793,1.409,-5.078,-21.146,-999
1941,-29.671,-24.783,-27.926,-14.440,-6.190,-0.411,2.960,1.978,-8.265,-19.372,-28.203,-25.579,-14.992,-27.090,-16.186,1.509,-18.613,-15.095,-14.692,-14.182,-26.512,-1.986,-22.894,-6.249,-27.460,-22.383,-7.014,-1.214,-1.109,-8.553,-24.385,-26.617
1942,-27.297,-25.783,-29.421,-15.828,-7.512,1.321,3.130,1.149,-3.941,-16.181,-29.003,-32.909,-15.190,-26.220,-17.587,1.867,-16.375,-14.579,-14.512,-14.778,-27.257,-1.170,-24.498,-5.409,-27.501,-23.677,-7.339,-1.020,0.113,-6.324,-26.031,-27.026
1943,-34.208,-24.309,-27.249,-15.443,-4.372,3.582,5.353,1.203,-5.022,-15.496,-20.091,-26.877,-13.577,-30.475,-15.688,3.379,-13.536,-14.080,-14.823,-14.880,-29.536,0.149,-25.615,-4.314,-28.589,-22.334,-5.411,1.521,0.511,-6.438,-20.821,-32.040
1944,-27.028,-23.302,-26.301,-15.908,-4.519,3.872,6.292,0.164,-6.330,-14.131,-27.388,-26.894,-13.456,-25.736,-15.576,3.442,-15.950,-13.455,-12.847,-12.960,-24.720,-0.104,-22.143,-4.366,-25.544,-21.837,-5.518,1.882,0.042,-6.766,-22.804,-24.665
1945,-26.240,-26.370,-27.211,-17.398,-8.230,0.181,4.838,0.329,-5.957,-15.266,-28.757,-26.939,-14.752,-26.501,-17.613,1.783,-16.660,-14.748,-14.634,-14.539,-26.820,-1.768,-23.662,-5.929,-26.607,-23.660,-8.482,-1.070,-0.263,-6.964,-23.654,-26.840
1946,-27.217,-30.151,-27.533,-20.120,-4.842,4.212,5.105,0.684,-8.143,-15.498,-25.933,-33.514,-15.246,-28.102,-17.499,3.334,-16.525,-14.698,-14.933,-14.914,-28.119,-0.597,-25.140,-5.515,-28.300,-25.935,-6.917,1.492,-0.785,-7.652,-24.982,-27.638
1947,-35.206,-26.294,-21.208,-19.220,-3.600,2.332,6.327,-1.118,-7.136,-18.751,-23.559,-23.915,-14.279,-31.671,-14.676,2.513,-16.482,-15.079,-15.277,-15.006,-28.431,-0.639,-25.268,-5.881,-27.569,-22.241,-6.829,1.686,-0.643,-9.002,-22.075,-31.551
1948,-28.199,-28.522,-27.930,-19.651,-6.686,2.497,3.382,-1.124,-10.053,-18.265,-27.261,-32.683,-16.208,-26.879,-18.089,1.585,-18.526,-15.477,-15.169,-15.209,-26.425,-2.397,-24.361,-7.129,-28.217,-25.368,-7.947,-0.269,-2.598,-9.814,-26.069,-25.224
1949,-28.302,-30.750,-19.880,-22.480,-8.236,-1.403,5.332,4.480,-1.304,-14.848,-18.501,-29.222,-13.759,-30.578,-16.865,2.803,-11.551,-14.048,-14.778,-15.063,-27.775,-0.226,-25.660,-5.494,-26.311,-24.370,-10.706,-1.436,2.836,-3.891,-20.857,-29.415
1950,-23.201,-35.581,-21.166,-16.423,-5.831,2.221,6.567,3.574,-3.508,-16.374,-23.212,-27.919,-13.404,-29.335,-14.473,4.121,-14.365,-13.513,-13.120,-12.993,-25.534,0.605,-22.706,-4.253,-26.649,-24.390,-6.678,0.986,2.211,-5.436,-22.502,-23.641
1951,-36.123,-32.804,-31.276,-14.516,-5.013,0.829,4.798,4.518,-2.790,-17.068,-20.287,-28.541,-14.856,-32.282,-16.935,3.382,-13.382,-14.804,-15.048,-14.990,-30.267,0.468,-26.032,-4.177,-33.401,-26.199,-6.233,0.205,2.175,-5.114,-21.965,-29.085
1952,-32.901,-31.365,-26.510,-19.670,-10.937,1.944,5.347,1.917,-8.760,-15.363,-18.158,-26.295,-15.063,-30.936,-19.039,3.069,-14.094,-15.250,-15.427,-15.569,-27.921,-2.098,-25.192,-6.503,-30.259,-25.848,-9.554,-1.215,-0.499,-7.402,-19.939,-27.243
1953,-34.982,-27.534,-27.657,-14.643,-5.050,4.217,4.302,1.850,-5.036,-18.021,-23.696,-27.475,-14.477,-29.604,-15.783,3.456,-15.585,-14.379,-13.917,-13.696,-26.925,0.056,-23.519,-4.626,-30.058,-23.278,-5.159,1.156,0.372,-7.069,-23.064,-26.478
1954,-32.123,-33.619,-23.585,-20.178,-6.444,1.683,3.607,4.484,-6.329,-16.834,-22.262,-34.178,-15.482,-31.072,-16.736,3.258,-15.142,-14.923,-15.043,-15.141,-28.100,-0.600,-25.528,-5.716,-29.776,-25.794,-8.313,-0.385,0.587,-6.226,-24.425,-27.765
1955,-26.285,-34.808,-26.698,-21.420,-6.746,0.814,6.031,0.501,-5.732,-17.315,-28.792,-31.671,-16.010,-31.757,-18.288,2.449,-17.280,-16.219,-15.675,-15.635,-28.846,-1.026,-26.069,-6.267,-29.264,-27.642,-9.117,0.033,0.267,-7.515,-25.926,-27.575
1956,-33.507,-33.368,-25.423,-16.515,-6.336,1.464,4.350,1.118,-5.990,-22.044,-27.038,-31.901,-16.266,-32.849,-16.092,2.311,-18.358,-16.247,-16.393,-15.999,-30.552,-1.079,-26.656,-6.279,-30.766,-25.102,-7.129,-0.174,-0.174,-8.972,-26.994,-31.323
1957,-24.860,-30.796,-24.084,-14.584,-5.426,2.018,4.699,4.891,-5.245,-13.666,-22.961,-31.701,-13.476,-29.186,-14.698,3.869,-13.958,-13.493,-13.833,-14.531,-27.736,0.187,-25.044,-3.902,-26.580,-23.155,-5.997,0.430,1.448,-4.673,-22.776,-27.933
1958,-28.780,-31.261,-23.083,-14.692,-7.054,4.819,6.284,3.911,-5.148,-20.235,-24.780,-29.929,-14.162,-30.581,-14.943,5.005,-16.721,-14.310,-14.158,-13.611,-27.557,0.562,-23.735,-4.588,-27.708,-23.012,-5.642,1.350,1.682,-7.157,-24.981,-27.814
1959,-31.497,-24.560,-34.246,-20.400,-7.362,2.257,1.812,1.806,-6.074,-17.269,-25.608,-32.121,-16.105,-28.662,-20.670,1.958,-16.317,-15.923,-15.854,-16.101,-29.002,-1.512,-26.521,-6.461,-30.101,-26.402,-8.502,-1.098,-0.819,-7.179,-24.999,-28.735
1960,-29.193,-26.038,-28.734,-21.153,-5.028,0.199,3.574,1.840,-7.277,-19.086,-30.300,-22.717,-15.326,-29.117,-18.305,1.871,-18.888,-16.110,-15.719,-15.567,-28.339,-1.338,-25.731,-6.704,-27.988,-25.308,-8.661,-0.418,-0.621,-8.174,-24.034,-28.974
1961,-27.061,-33.498,-30.933,-21.706,-4.811,3.117,3.949,2.078,-2.887,-19.991,-28.516,-32.976,-16.103,-27.759,-19.150,3.048,-17.131,-15.248,-15.397,-15.321,-28.902,0.289,-26.472,-5.750,-30.498,-28.712,-7.800,0.752,1.047,-6.933,-27.161,-26.693
1962,-27.114,-23.484,-27.864,-19.583,-8.871,0.248,5.178,5.034,-7.409,-16.298,-24.538,-25.814,-14.209,-27.858,-18.773,3.487,-16.081,-14.806,-15.138,-15.445,-27.991,-1.164,-25.647,-5.957,-26.154,-23.644,-9.402,-1.148,0.935,-6.224,-22.217,-29.535
1963,-25.179,-27.496,-29.414,-18.100,-5.028,0.322,3.717,2.044,-5.908,-17.988,-29.524,-23.380,-14.661,-26.163,-17.514,2.028,-17.807,-14.864,-14.448,-14.308,-26.488,-0.970,-23.834,-5.849,-27.363,-25.003,-7.602,-0.330,-0.049,-7.284,-23.631,-25.177
1964,-30.962,-29.121,-32.742,-21.342,-11.914,0.894,3.550,2.592,-4.240,-13.880,-24.941,-35.872,-16.498,-27.821,-21.999,2.346,-14.354,-15.457,-15.839,-16.181,-29.146,-1.824,-26.437,-6.334,-30.942,-27.735,-10.787,-2.490,0.634,-5.176,-24.897,-27.955
1965,-31.344,-35.474,-19.414,-18.246,-9.729,1.268,4.394,1.309,-4.429,-21.931,-20.321,-28.220,-15.178,-34.230,-15.796,2.324,-15.561,-15.816,-16.201,-15.530,-29.409,-1.438,-25.596,-6.766,-28.744,-24.378,-8.902,-1.356,0.424,-8.351,-23.491,-30.719
1966,-35.300,-29.475,-31.059,-21.782,-9.402,1.105,3.447,1.765,-3.137,-16.990,-24.161,-28.584,-16.131,-30.998,-20.748,2.106,-14.763,-16.101,-15.781,-16.193,-28.875,-1.245,-26.870,-6.428,-31.945,-27.438,-10.026,-1.617,0.691,-6.121,-23.245,-27.947
1967,-29.115,-30.855,-26.972,-15.980,-9.856,-0.845,2.956,0.809,-3.354,-18.170,-23.733,-25.195,-15.026,-29.518,-17.603,0.973,-15.086,-15.308,-15.344,-15.246,-27.938,-2.058,-24.665,-6.349,-28.981,-24.603,-8.894,-2.582,0.137,-6.905,-22.366,-27.287
1968,-28.512,-30.123,-23.999,-19.642,-9.144,0.977,5.181,3.473,-7.766,-19.916,-25.819,-29.216,-15.375,-27.943,-17.595,3.211,-17.834,-15.040,-14.866,-14.721,-26.312,-1.456,-24.196,-6.691,-27.545,-24.588,-9.269,-0.995,0.296,-8.070,-24.984,-25.813
1969,-31.039,-30.404,-27.671,-14.246,-6.551,2.763,2.696,-4.404,-3.559,-11.969,-28.071,-21.460,-14.493,-30.220,-16.156,0.352,-14.533,-15.139,-14.952,-15.614,-28.830,-1.811,-25.473,-5.038,-29.705,-24.107,-6.011,-0.364,-1.755,-6.644,-20.500,-28.691
1970,-32.202,-27.148,-26.529,-18.372,-6.712,0.085,5.380,3.089,-11.230,-20.916,-23.300,-29.855,-15.642,-26.937,-17.204,2.851,-18.482,-14.943,-15.340,-14.595,-27.082,-1.878,-23.679,-6.954,-28.626,-24.016,-8.333,-0.416,-0.921,-9.686,-24.691,-27.245
1971,-35.889,-33.591,-32.556,-20.850,-6.130,2.051,4.068,0.910,-6.036,-18.826,-25.406,-28.228,-16.707,-33.112,-19.846,2.343,-16.756,-16.843,-16.667,-16.841,-31.038,-1.027,-28.137,-6.402,-34.012,-28.999,-8.310,-0.004,-0.352,-7.984,-24.153,-29.682
1972,-32.904,-33.578,-33.507,-22.592,-6.908,2.315,6.679,4.946,-6.613,-14.497,-23.025,-25.817,-15.458,-31.570,-21.002,4.646,-14.712,-15.659,-15.858,-16.218,-30.724,0.084,-27.863,-5.239,-33.330,-29.892,-9.062,0.695,1.670,-5.388,-21.113,-28.846
1973,-31.204,-30.618,-30.090,-17.360,-5.042,1.325,3.388,1.999,-2.810,-17.301,-25.236,-27.294,-15.020,-29.213,-17.497,2.238,-15.116,-14.897,-14.713,-14.479,-28.151,-0.228,-24.659,-5.114,-30.637,-26.023,-7.026,-0.110,0.859,-6.037,-23.277,-26.682
1974,-31.803,-38.199,-29.596,-19.748,-7.000,-0.182,3.764,4.168,-1.185,-21.534,-29.330,-33.606,-17.021,-32.432,-18.781,2.584,-17.350,-16.495,-16.154,-15.801,-30.426,-0.087,-27.025,-5.960,-33.199,-29.181,-8.976,-1.139,2.249,-6.184,-28.157,-28.111
1975,-31.950,-28.632,-25.398,-21.053,-6.949,2.825,5.578,2.938,-7.210,-18.064,-29.605,-31.589,-15.759,-31.396,-17.800,3.780,-18.293,-15.927,-15.904,-16.193,-29.783,-0.564,-27.358,-5.991,-28.660,-25.027,-8.392,0.485,0.435,-7.445,-26.419,-31.629
1976,-32.293,-33.355,-28.691,-16.154,-5.954,0.525,4.795,5.141,-1.901,-17.778,-19.262,-30.398,-14.610,-32.412,-16.933,3.487,-12.980,-14.710,-15.572,-15.595,-31.106,0.521,-27.107,-4.475,-31.446,-26.067,-7.194,-0.212,2.678,-4.846,-22.479,-31.162
1977,-21.997,-24.268,-31.546,-21.149,-6.427,2.542,4.198,6.269,-3.045,-15.743,-27.805,-27.690,-13.888,-25.554,-19.707,4.336,-15.531,-14.114,-13.402,-13.572,-25.494,0.707,-23.771,-4.765,-25.937,-25.654,-8.345,0.104,2.474,-4.173,-23.746,-23.886
