=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
Total Precipitation (m)
Values averaged across Specify Point (68.69N; 210.92E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,0.0133,0.0046,0.0030,0.0040,0.0430,0.0934,0.0812,0.0543,0.0520,0.0245,0.0183,0.0180,0.4096,-999,0.0500,0.2289,0.0948,-999,-999,-999,-999,0.3239,-999,0.3525,0.0209,0.0116,0.1404,0.2176,0.1875,0.1308,0.0608,-999
1941,0.0129,0.0161,0.0131,0.0152,0.0292,0.0721,0.1210,0.1050,0.0534,0.0287,0.0188,0.0189,0.5045,0.0470,0.0575,0.2981,0.1010,0.5036,0.5030,0.4988,0.0784,0.3807,0.1181,0.4246,0.0422,0.0444,0.1165,0.2223,0.2794,0.1872,0.0665,0.0492
1942,0.0108,0.0143,0.0206,0.0172,0.0660,0.0807,0.1233,0.1036,0.0695,0.0400,0.0185,0.0065,0.5709,0.0439,0.1038,0.3076,0.1279,0.5833,0.5837,0.5725,0.0833,0.4432,0.1293,0.5004,0.0456,0.0521,0.1640,0.2701,0.2964,0.2131,0.0649,0.0485
1943,0.0113,0.0215,0.0422,0.0142,0.0374,0.1357,0.1514,0.1567,0.0954,0.0215,0.0164,0.0196,0.7234,0.0392,0.0939,0.4439,0.1333,0.7103,0.7124,0.7309,0.0999,0.5767,0.1542,0.6125,0.0750,0.0780,0.1873,0.3245,0.4036,0.2737,0.0575,0.0362
1944,0.0245,0.0352,0.0339,0.0094,0.0345,0.0851,0.1382,0.1569,0.0874,0.0299,0.0125,0.0282,0.6758,0.0792,0.0779,0.3803,0.1298,0.6672,0.6711,0.6627,0.1295,0.5022,0.1605,0.5415,0.0936,0.0786,0.1291,0.2579,0.3826,0.2742,0.0705,0.0604
1945,0.0092,0.0275,0.0088,0.0278,0.0530,0.1131,0.1445,0.1258,0.0438,0.0409,0.0325,0.0046,0.6314,0.0648,0.0896,0.3835,0.1172,0.6551,0.6351,0.6241,0.0861,0.4803,0.1438,0.5489,0.0455,0.0641,0.1939,0.3106,0.3142,0.2105,0.0779,0.0498
1946,0.0159,0.0047,0.0193,0.0295,0.0411,0.0671,0.0971,0.0792,0.0834,0.0326,0.0122,0.0133,0.4954,0.0252,0.0898,0.2435,0.1281,0.4866,0.5069,0.5152,0.0769,0.3680,0.1472,0.4300,0.0399,0.0534,0.1377,0.2054,0.2597,0.1952,0.0580,0.0529
1947,0.0154,0.0220,0.0185,0.0124,0.0265,0.1192,0.1365,0.1260,0.0559,0.0222,0.0148,0.0127,0.5821,0.0507,0.0574,0.3817,0.0929,0.5827,0.5801,0.5905,0.0814,0.4641,0.1263,0.4987,0.0559,0.0529,0.1581,0.2822,0.3184,0.2041,0.0497,0.0409
1948,0.0307,0.0290,0.0176,0.1193,0.0169,0.1047,0.0691,0.1245,0.0324,0.0261,0.0126,0.0128,0.5956,0.0724,0.1538,0.2982,0.0711,0.5955,0.5977,0.5938,0.1047,0.3476,0.2462,0.4930,0.0772,0.1659,0.2409,0.1906,0.2260,0.1830,0.0514,0.0581
1949,0.0195,0.0165,0.0174,0.0159,0.0572,0.1040,0.0748,0.0686,0.0339,0.0205,0.0211,0.0117,0.4610,0.0488,0.0904,0.2474,0.0754,0.4620,0.4536,0.4592,0.0787,0.3385,0.1207,0.3748,0.0534,0.0498,0.1771,0.2359,0.1773,0.1230,0.0533,0.0449
1950,0.0782,0.0090,0.0050,0.0141,0.0305,0.1100,0.0642,0.0556,0.0454,0.0106,0.0518,0.0159,0.4903,0.0990,0.0495,0.2298,0.1078,0.4861,0.4554,0.4652,0.1250,0.3057,0.1595,0.3304,0.0922,0.0280,0.1546,0.2047,0.1652,0.1116,0.0783,0.1110
1951,0.0112,0.0113,0.0106,0.0151,0.0164,0.0945,0.1057,0.0966,0.0504,0.0200,0.0177,0.0385,0.4880,0.0384,0.0421,0.2968,0.0881,0.4654,0.4995,0.4900,0.1008,0.3635,0.1265,0.3987,0.0331,0.0370,0.1260,0.2166,0.2526,0.1670,0.0762,0.0789
1952,0.0266,0.0015,0.0132,0.0196,0.0237,0.0900,0.1051,0.0744,0.0378,0.0460,0.0376,0.0100,0.4854,0.0666,0.0565,0.2694,0.1214,0.5139,0.4939,0.4680,0.0975,0.3308,0.1371,0.3964,0.0413,0.0343,0.1332,0.2187,0.2172,0.1581,0.0936,0.0828
1953,0.0064,0.0216,0.0098,0.0148,0.0257,0.1381,0.0845,0.0889,0.0784,0.0254,0.0128,0.0089,0.5153,0.0380,0.0502,0.3115,0.1166,0.5164,0.5413,0.5618,0.0855,0.4156,0.1462,0.4558,0.0379,0.0462,0.1786,0.2483,0.2518,0.1927,0.0471,0.0540
1954,0.0308,0.0168,0.0147,0.0175,0.0157,0.0711,0.1230,0.0631,0.0719,0.0278,0.0122,0.0164,0.4811,0.0564,0.0480,0.2573,0.1119,0.4736,0.4741,0.4718,0.0839,0.3449,0.1269,0.3902,0.0623,0.0490,0.1044,0.2099,0.2581,0.1628,0.0564,0.0524
1955,0.0079,0.0174,0.0156,0.0130,0.0380,0.1136,0.1138,0.0829,0.0505,0.0196,0.0215,0.0559,0.5497,0.0417,0.0666,0.3103,0.0916,0.5102,0.5009,0.5091,0.0696,0.3987,0.1103,0.4313,0.0409,0.0460,0.1646,0.2654,0.2471,0.1529,0.0970,0.0365
1956,0.0208,0.0147,0.0121,0.0051,0.0474,0.0566,0.1521,0.1576,0.0365,0.0215,0.0276,0.0183,0.5702,0.0913,0.0646,0.3663,0.0856,0.6078,0.6018,0.5999,0.1250,0.4502,0.1496,0.4768,0.0475,0.0318,0.1091,0.2561,0.3462,0.2157,0.0674,0.0982
1957,0.0434,0.0320,0.0081,0.0118,0.0345,0.0913,0.1332,0.0661,0.1062,0.0455,0.0144,0.0097,0.5962,0.0937,0.0544,0.2906,0.1661,0.6048,0.6180,0.5940,0.1294,0.4313,0.1627,0.4886,0.0835,0.0519,0.1376,0.2590,0.3055,0.2178,0.0696,0.0893
1958,0.0215,0.0051,0.0204,0.0339,0.0394,0.1210,0.1091,0.0574,0.0496,0.0368,0.0215,0.0048,0.5204,0.0362,0.0937,0.2876,0.1078,0.5253,0.5182,0.5269,0.0710,0.3765,0.1504,0.4472,0.0469,0.0593,0.1943,0.2696,0.2161,0.1438,0.0631,0.0455
1959,0.0035,0.0231,0.0082,0.0186,0.0468,0.0611,0.1724,0.0998,0.0347,0.0387,0.0108,0.0138,0.5315,0.0313,0.0736,0.3333,0.0842,0.5225,0.5331,0.5313,0.0610,0.4149,0.1164,0.4722,0.0347,0.0498,0.1265,0.2804,0.3070,0.1732,0.0633,0.0297
1960,0.0235,0.0138,0.0106,0.0274,0.0180,0.0616,0.0882,0.0840,0.0757,0.0162,0.0046,0.0127,0.4362,0.0511,0.0560,0.2338,0.0965,0.4373,0.4435,0.4660,0.0725,0.3275,0.1385,0.3710,0.0479,0.0518,0.1069,0.1678,0.2479,0.1759,0.0334,0.0481
1961,0.0068,0.0110,0.0101,0.0153,0.0413,0.0935,0.1497,0.1031,0.0702,0.0280,0.0102,0.0118,0.5510,0.0305,0.0667,0.3462,0.1084,0.5518,0.5461,0.5343,0.0451,0.4576,0.0767,0.5010,0.0279,0.0364,0.1501,0.2844,0.3229,0.2012,0.0501,0.0240
1962,0.0407,0.0213,0.0156,0.0307,0.0417,0.0469,0.1491,0.1288,0.0768,0.0168,0.0065,0.0274,0.6023,0.0738,0.0880,0.3248,0.1001,0.5867,0.5905,0.6017,0.0996,0.4434,0.1583,0.4909,0.0775,0.0675,0.1193,0.2377,0.3547,0.2225,0.0507,0.0627
1963,0.0659,0.0116,0.0297,0.0428,0.0215,0.0924,0.1678,0.1267,0.0090,0.0455,0.0102,0.0185,0.6416,0.1049,0.0940,0.3869,0.0647,0.6505,0.6468,0.6181,0.1411,0.4174,0.2007,0.5056,0.1073,0.0841,0.1566,0.2816,0.3036,0.1812,0.0742,0.0998
1964,0.0105,0.0182,0.0033,0.0187,0.0345,0.0684,0.0747,0.0984,0.0506,0.0325,0.0201,0.0315,0.4616,0.0472,0.0566,0.2416,0.1032,0.4485,0.4386,0.4515,0.0607,0.3267,0.1248,0.3779,0.0320,0.0402,0.1216,0.1776,0.2238,0.1816,0.0842,0.0392
1965,0.0097,0.0030,0.0398,0.0494,0.0263,0.0700,0.1440,0.1264,0.0605,0.0278,0.0273,0.0388,0.6230,0.0442,0.1155,0.3404,0.1157,0.6158,0.6086,0.6133,0.1041,0.4272,0.1861,0.5044,0.0525,0.0922,0.1457,0.2403,0.3309,0.2147,0.0939,0.0614
