=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (68.69N; 210.92E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-23.298,-24.030,-20.282,-5.217,-0.300,6.087,11.429,4.844,-1.718,-11.006,-17.848,-23.572,-8.743,-999,-8.600,7.454,-10.191,-999,-999,-999,-999,4.068,-999,0.588,-22.537,-16.510,0.190,5.739,4.852,-2.627,-17.475,-999
1941,-26.245,-21.256,-23.372,-11.916,-3.742,3.039,5.355,4.733,-5.061,-16.859,-25.031,-21.493,-11.821,-23.691,-13.010,4.376,-15.651,-11.994,-11.395,-10.908,-22.458,0.865,-19.316,-3.493,-23.624,-18.848,-4.206,1.551,1.676,-5.729,-21.128,-22.555
1942,-23.987,-22.182,-25.545,-12.788,-4.781,3.091,6.178,3.361,-1.966,-13.531,-25.398,-29.293,-12.237,-22.554,-14.371,4.210,-13.632,-11.587,-11.556,-11.833,-23.648,1.177,-21.126,-2.919,-23.905,-20.171,-4.826,1.496,2.524,-4.045,-22.741,-23.504
1943,-29.472,-21.338,-23.596,-11.649,-1.826,6.867,8.724,3.106,-3.601,-13.399,-16.639,-23.379,-10.517,-26.701,-12.357,6.232,-11.213,-11.010,-11.740,-11.751,-25.820,2.654,-22.040,-1.683,-24.802,-18.861,-2.203,4.588,2.743,-4.631,-17.806,-28.055
1944,-23.591,-19.629,-23.063,-11.696,-1.760,7.144,9.186,2.470,-4.442,-11.786,-24.000,-21.675,-10.237,-22.200,-12.173,6.267,-13.409,-10.379,-9.766,-9.900,-21.260,2.519,-18.771,-1.555,-22.095,-18.130,-2.104,4.856,2.405,-4.586,-19.153,-21.203
1945,-19.443,-22.796,-23.271,-13.941,-5.161,2.150,8.178,2.959,-4.392,-12.994,-24.390,-21.608,-11.226,-21.305,-14.124,4.429,-13.925,-11.231,-11.199,-11.098,-22.237,0.747,-19.559,-3.314,-21.837,-20.003,-5.651,1.722,2.248,-4.809,-19.664,-21.706
1946,-23.522,-25.308,-23.568,-16.970,-2.563,7.388,9.131,3.810,-6.393,-12.441,-20.591,-30.288,-11.776,-23.480,-14.367,6.776,-13.142,-11.053,-11.370,-11.416,-23.679,2.275,-21.195,-2.577,-24.133,-21.949,-4.048,4.652,2.182,-5.008,-21.107,-23.174
1947,-32.294,-22.142,-18.712,-14.786,-1.048,4.636,9.232,1.295,-5.056,-16.066,-20.238,-20.743,-11.327,-28.242,-11.515,5.054,-13.787,-12.122,-12.152,-11.850,-24.806,1.812,-21.608,-3.113,-24.383,-18.547,-3.733,4.273,1.824,-6.609,-19.016,-27.724
1948,-24.033,-23.415,-22.508,-16.477,-3.962,5.132,7.487,1.519,-8.225,-16.061,-23.995,-29.312,-12.821,-22.731,-14.316,4.713,-16.094,-12.107,-11.794,-11.794,-22.188,0.390,-20.497,-4.370,-23.319,-20.800,-5.102,2.886,0.260,-7.589,-23.123,-21.671
1949,-24.712,-25.745,-15.683,-18.743,-5.840,1.252,8.570,8.551,0.538,-11.872,-15.693,-25.195,-10.381,-26.590,-13.422,6.124,-9.009,-10.724,-11.416,-11.765,-23.889,2.614,-22.036,-2.506,-22.047,-20.057,-7.777,1.327,5.886,-0.928,-17.587,-26.006
1950,-19.597,-30.126,-16.529,-13.160,-3.074,5.535,11.980,7.986,-1.130,-13.041,-18.457,-23.868,-9.457,-24.973,-10.921,8.500,-10.876,-9.567,-9.337,-9.240,-21.428,4.259,-18.882,-0.701,-22.084,-19.939,-3.566,4.814,6.278,-2.062,-18.455,-20.162
1951,-30.761,-27.527,-25.925,-11.378,-1.949,4.754,9.392,8.489,-0.426,-12.007,-17.441,-24.289,-10.756,-27.385,-13.084,7.545,-9.958,-10.720,-10.805,-10.891,-25.308,4.052,-21.565,-0.446,-28.071,-21.610,-2.857,4.066,5.818,-1.315,-17.912,-24.362
1952,-26.452,-26.283,-23.458,-16.275,-8.229,4.092,9.463,5.321,-6.812,-12.712,-15.726,-23.042,-11.676,-25.675,-15.987,6.292,-11.750,-11.780,-11.923,-11.864,-23.585,0.767,-20.886,-3.593,-25.398,-22.005,-6.804,1.776,2.658,-4.734,-17.160,-22.727
1953,-29.068,-24.266,-23.825,-11.298,-3.147,7.044,7.559,4.634,-3.667,-15.986,-19.530,-24.371,-11.327,-25.458,-12.756,6.412,-13.061,-11.216,-10.899,-10.626,-23.185,2.485,-19.991,-2.123,-25.719,-19.796,-2.467,3.819,2.842,-5.006,-19.962,-22.612
1954,-25.803,-30.062,-19.256,-16.010,-3.393,5.270,7.572,8.670,-3.506,-14.019,-18.011,-29.855,-11.534,-26.745,-12.887,7.171,-11.845,-11.077,-11.203,-11.367,-23.804,2.922,-21.574,-2.202,-25.040,-21.776,-4.711,3.149,4.245,-2.952,-20.628,-23.235
1955,-22.901,-30.407,-22.466,-18.116,-3.962,3.387,10.314,3.730,-3.480,-14.648,-24.499,-27.225,-12.523,-27.721,-14.848,5.810,-14.209,-12.742,-12.201,-12.149,-24.728,1.998,-22.254,-3.254,-25.258,-23.663,-6.230,3.246,3.521,-4.799,-22.124,-23.589
1956,-28.631,-30.026,-21.373,-11.661,-2.864,4.591,8.528,3.288,-3.046,-17.911,-24.529,-27.877,-12.626,-28.627,-11.966,5.469,-15.162,-12.572,-12.569,-12.297,-26.351,2.099,-22.580,-2.725,-26.677,-21.020,-3.311,3.418,2.923,-5.890,-23.439,-26.785
1957,-20.080,-27.171,-19.583,-11.111,-2.518,5.741,8.133,8.561,-3.457,-10.978,-18.055,-28.214,-9.894,-25.043,-11.070,7.478,-10.830,-9.866,-10.406,-10.983,-23.848,3.292,-21.180,-0.804,-22.278,-19.288,-2.629,3.785,4.412,-1.958,-19.082,-24.162
1958,-24.269,-23.556,-19.467,-11.809,-4.296,8.819,10.398,7.792,-3.048,-17.102,-21.647,-22.301,-10.040,-25.346,-11.857,9.003,-13.932,-10.533,-10.234,-9.724,-22.712,3.933,-19.478,-1.321,-22.431,-18.277,-2.429,4.974,5.047,-4.119,-20.350,-23.513
1959,-25.057,-19.963,-29.624,-16.116,-4.377,6.517,4.845,4.373,-3.408,-14.613,-21.622,-28.963,-12.334,-22.441,-16.706,5.245,-13.214,-11.779,-11.781,-11.988,-23.718,1.590,-21.687,-3.254,-24.881,-21.901,-4.659,2.328,1.937,-4.549,-21.733,-23.002
