=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (60.302N; 225.008E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-23.700,-20.930,-14.509,-6.326,-2.519,0.613,6.459,3.114,2.637,-2.459,-15.052,-15.458,-7.344,-999,-7.785,3.396,-4.958,-999,-999,-999,-999,2.061,-999,0.217,-19.713,-13.922,-2.744,1.518,4.070,1.098,-10.990,-999
1941,-21.108,-18.189,-9.621,-3.946,-2.425,2.700,3.521,4.386,-0.679,-4.095,-13.252,-21.663,-7.031,-18.252,-5.331,3.536,-6.009,-6.514,-6.664,-6.528,-15.886,1.501,-12.262,-0.077,-16.306,-10.585,-1.224,1.265,2.409,-0.129,-13.003,-17.206
1942,-14.118,-12.695,-11.316,-5.978,0.164,1.573,4.306,5.036,2.673,-2.150,-17.456,-28.120,-6.507,-16.158,-5.710,3.638,-5.644,-5.969,-5.618,-5.780,-14.609,2.750,-11.874,0.803,-12.709,-9.996,-1.414,2.014,4.005,1.853,-15.909,-16.344
1943,-27.696,-18.219,-15.038,-5.519,-1.776,3.018,3.507,3.228,1.425,-3.652,-5.944,-9.418,-6.340,-24.679,-7.444,3.251,-2.724,-7.899,-8.858,-8.733,-21.306,1.881,-16.314,0.033,-20.318,-12.926,-1.426,1.583,2.720,0.334,-6.338,-24.424
1944,-13.155,-14.441,-12.641,-7.513,-1.228,3.421,4.339,3.880,2.662,-0.758,-10.196,-14.993,-5.052,-12.338,-7.128,3.880,-2.764,-4.587,-4.233,-4.474,-11.120,2.615,-9.538,0.686,-13.412,-11.532,-1.773,2.177,3.627,1.928,-8.649,-9.506
1945,-14.578,-16.075,-10.303,-9.646,-1.830,0.568,3.416,2.862,0.254,-3.654,-18.734,-19.458,-7.265,-15.215,-7.260,2.282,-7.378,-6.893,-6.181,-5.940,-13.229,1.054,-10.936,-1.147,-13.652,-12.008,-3.636,0.718,2.178,-0.179,-13.949,-13.256
1946,-19.268,-17.147,-12.539,-7.310,-0.586,4.663,4.533,3.030,0.487,-4.330,-16.781,-27.694,-7.745,-18.624,-6.812,4.075,-6.874,-7.059,-7.222,-7.165,-17.429,2.426,-14.016,0.070,-16.318,-12.332,-1.078,2.870,2.683,-0.271,-16.268,-19.153
1947,-25.821,-21.553,-8.061,-6.050,-1.299,1.795,5.147,3.270,1.721,-2.860,-6.850,-14.021,-6.215,-25.023,-5.137,3.404,-2.663,-7.355,-8.182,-8.305,-19.982,2.127,-15.756,0.246,-18.479,-11.888,-1.852,1.881,3.379,0.710,-7.910,-23.432
1948,-18.652,-27.128,-19.680,-12.854,-1.969,1.460,3.886,2.478,-0.865,-5.724,-18.268,-30.068,-10.615,-19.934,-11.501,2.608,-8.286,-9.278,-8.327,-8.088,-17.266,0.998,-14.578,-1.941,-21.820,-19.887,-4.454,1.125,1.833,-1.370,-18.020,-13.174
1949,-22.031,-27.623,-11.722,-6.947,-4.224,-0.444,4.267,3.789,2.182,-5.922,-7.573,-26.478,-8.560,-26.574,-7.631,2.537,-3.771,-8.860,-9.751,-9.734,-21.942,1.114,-17.483,-1.043,-20.458,-15.430,-3.872,-0.134,3.413,0.016,-13.324,-23.456
1950,-27.650,-25.610,-13.390,-9.985,-2.495,4.053,3.206,3.916,1.609,-6.335,-22.583,-17.892,-9.430,-26.579,-8.623,3.725,-9.103,-10.145,-8.894,-8.860,-20.140,2.058,-16.658,-0.862,-22.217,-16.329,-2.809,1.588,2.910,-0.270,-15.603,-20.567
1951,-27.547,-22.831,-19.337,-5.784,-1.345,2.661,7.163,4.072,1.423,-8.211,-13.898,-25.212,-9.070,-22.756,-8.822,4.632,-6.895,-8.460,-9.184,-9.028,-22.038,2.795,-17.473,-0.003,-23.238,-15.984,-1.489,2.827,4.219,-0.905,-15.774,-22.674
1952,-31.251,-16.432,-13.348,-7.842,-2.760,1.841,4.980,3.762,1.466,-1.824,-5.652,-16.266,-6.944,-24.298,-7.983,3.528,-2.003,-7.689,-8.376,-8.909,-20.028,1.858,-16.599,-0.054,-20.344,-12.541,-2.920,1.354,3.403,1.135,-7.914,-23.454
1953,-31.605,-12.757,-14.950,-5.401,-0.173,4.522,7.091,6.019,0.659,-3.574,-12.927,-15.688,-6.565,-20.209,-6.841,5.877,-5.281,-6.613,-6.007,-5.861,-16.246,3.624,-12.636,1.306,-19.771,-11.036,-0.351,3.813,4.590,1.035,-10.730,-17.841
1954,-26.805,-21.709,-13.163,-12.977,-1.058,2.761,4.204,4.857,0.988,-4.129,-7.168,-21.120,-7.943,-21.400,-9.066,3.941,-3.436,-7.491,-7.970,-7.924,-18.058,2.351,-15.263,-0.765,-20.559,-15.950,-3.758,1.969,3.350,0.572,-10.806,-18.473
1955,-16.857,-17.628,-16.833,-8.988,-3.770,0.476,5.509,3.122,0.245,-6.166,-23.683,-27.349,-9.327,-18.535,-9.864,3.036,-9.868,-8.808,-7.431,-7.262,-15.921,1.117,-13.246,-1.367,-17.106,-14.483,-4.094,0.739,2.959,-0.933,-19.066,-15.048
1956,-27.230,-22.642,-16.584,-7.056,-1.992,1.059,5.835,4.940,0.365,-6.941,-7.349,-25.088,-8.557,-25.740,-8.544,3.945,-4.641,-8.745,-10.106,-10.042,-23.497,2.041,-18.673,-0.542,-22.152,-15.427,-2.663,1.634,3.713,-0.545,-13.126,-26.087
1957,-24.782,-19.122,-11.721,-6.992,-0.079,4.331,4.376,5.714,3.524,-4.170,-7.018,-19.576,-6.293,-22.997,-6.264,4.807,-2.555,-6.752,-6.780,-7.011,-17.612,3.573,-14.571,0.958,-18.542,-12.612,-0.913,2.876,4.538,1.689,-10.254,-19.073
1958,-15.796,-20.789,-13.358,-5.042,-0.775,4.296,4.753,3.473,-0.990,-5.975,-12.100,-19.294,-6.800,-18.720,-6.392,4.174,-6.355,-6.823,-6.400,-6.249,-15.307,2.151,-12.250,-0.037,-16.647,-13.063,-0.507,2.758,2.412,-1.164,-12.456,-14.130
1959,-30.380,-15.749,-14.836,-8.232,-2.130,4.759,3.146,3.358,0.953,-7.218,-11.770,-14.882,-7.748,-21.808,-8.399,3.754,-6.012,-8.116,-8.144,-8.040,-18.472,2.017,-15.224,-0.766,-20.322,-12.939,-1.868,1.925,2.486,-0.969,-11.290,-20.592
1960,-20.044,-15.309,-16.406,-7.432,-2.505,1.437,3.918,3.623,0.537,-3.969,-12.769,-14.037,-6.913,-16.745,-8.781,2.993,-5.400,-6.983,-6.900,-7.171,-15.682,1.402,-13.295,-0.627,-17.253,-13.049,-2.833,0.950,2.693,0.064,-10.258,-15.566
1961,-18.372,-19.187,-13.818,-8.042,-3.790,1.320,4.596,3.736,-0.564,-6.960,-17.399,-27.695,-8.848,-17.199,-8.550,3.217,-8.308,-7.710,-7.324,-7.075,-15.637,1.060,-12.885,-1.386,-17.126,-13.682,-3.504,0.709,2.589,-1.263,-17.351,-15.059
1962,-21.546,-19.392,-15.870,-8.079,-4.486,0.848,4.915,4.320,-0.748,-3.972,-10.805,-18.693,-7.792,-22.878,-9.478,3.361,-5.175,-8.543,-9.092,-9.341,-20.380,0.970,-16.706,-1.029,-18.936,-14.447,-3.905,0.426,2.829,-0.134,-11.157,-22.213
1963,-18.220,-13.719,-15.412,-10.436,-3.729,-0.344,4.321,4.591,2.865,-3.539,-20.872,-15.900,-7.533,-16.877,-9.859,2.856,-7.182,-7.765,-6.927,-6.963,-15.370,1.541,-13.037,-0.896,-15.784,-13.189,-4.836,0.083,3.926,1.306,-13.437,-15.906
1964,-22.038,-12.975,-19.529,-10.188,-5.701,2.416,3.882,3.002,-0.279,-3.919,-15.054,-31.503,-9.324,-16.971,-11.806,3.100,-6.417,-8.023,-8.508,-8.477,-18.263,0.664,-15.006,-1.541,-18.180,-14.230,-4.491,0.199,2.202,-0.399,-16.825,-19.603
1965,-24.797,-23.464,-10.709,-8.738,-5.208,-0.839,3.636,1.801,1.541,-4.742,-17.241,-21.208,-9.164,-26.588,-8.218,1.533,-6.814,-10.022,-9.840,-9.771,-21.105,0.186,-16.883,-1.793,-19.657,-14.304,-4.928,-0.804,2.326,-0.467,-14.397,-23.785
1966,-35.679,-16.907,-14.883,-9.375,-4.314,0.992,4.331,2.470,0.654,-6.701,-20.565,-22.657,-10.220,-24.598,-9.524,2.598,-8.871,-10.099,-9.822,-9.659,-21.184,0.827,-17.148,-1.706,-22.490,-13.722,-4.233,0.336,2.485,-1.192,-16.641,-24.709
1967,-27.209,-19.605,-18.910,-9.094,-2.447,2.881,4.351,4.561,1.783,-3.873,-11.299,-18.394,-8.105,-23.157,-10.150,3.931,-4.463,-8.460,-9.232,-9.468,-21.789,2.226,-17.820,-0.263,-21.908,-15.870,-2.887,1.595,3.565,0.823,-11.189,-23.477
1968,-23.772,-16.512,-9.682,-8.568,-2.216,1.124,5.410,4.569,0.822,-6.035,-11.102,-27.641,-7.800,-19.559,-6.822,3.701,-5.439,-7.030,-7.046,-6.866,-15.932,1.942,-13.157,-0.699,-16.655,-11.587,-3.220,1.439,3.600,-0.215,-14.926,-17.822
1969,-35.112,-20.107,-11.265,-5.518,-2.084,3.636,4.311,2.384,1.418,-3.240,-12.974,-13.410,-7.663,-27.620,-6.289,3.444,-4.932,-8.849,-8.693,-8.926,-21.046,1.933,-16.683,0.130,-22.161,-12.297,-1.322,1.955,2.704,0.187,-9.874,-24.618
1970,-23.022,-10.546,-8.839,-6.815,-2.354,0.517,2.690,2.608,0.231,-5.533,-13.570,-23.152,-7.315,-15.659,-6.003,1.938,-6.291,-6.504,-6.454,-6.263,-13.758,0.738,-11.264,-1.237,-14.136,-8.733,-2.884,0.284,1.843,-0.898,-14.085,-16.469
1971,-32.391,-15.393,-15.679,-7.663,-4.009,2.135,5.844,5.222,0.628,-6.595,-14.545,-25.567,-9.001,-23.646,-9.117,4.400,-6.837,-8.800,-8.719,-8.630,-20.037,1.964,-16.197,-0.634,-21.154,-12.912,-3.179,1.323,3.898,-0.248,-15.569,-23.038
1972,-30.996,-25.523,-16.327,-11.785,-3.285,1.157,5.165,5.543,-0.949,-6.562,-10.935,-22.500,-9.750,-27.362,-10.466,3.955,-6.149,-10.005,-10.306,-10.309,-22.592,1.526,-18.763,-1.531,-24.282,-17.879,-4.638,1.012,3.253,-0.656,-13.332,-23.703
1973,-27.110,-21.376,-11.532,-6.501,-3.193,1.176,4.166,2.915,-0.209,-4.862,-23.881,-20.097,-9.208,-23.662,-7.075,2.753,-9.650,-9.409,-8.330,-8.472,-18.691,0.971,-15.216,-0.929,-20.006,-13.136,-2.839,0.717,2.291,-0.718,-16.280,-20.182
1974,-30.994,-18.234,-18.319,-6.742,-2.187,0.856,4.071,5.301,1.432,-3.421,-8.484,-12.487,-7.434,-23.108,-9.083,3.409,-3.491,-8.068,-9.351,-9.471,-22.305,1.894,-17.590,-0.099,-22.516,-14.432,-2.691,0.913,3.601,1.104,-8.131,-24.990
1975,-24.163,-22.735,-15.240,-6.869,-2.889,0.872,5.166,4.127,2.245,-5.492,-17.966,-25.934,-9.073,-19.795,-8.332,3.388,-7.071,-7.953,-7.162,-6.990,-16.622,1.904,-13.343,-0.406,-20.713,-14.948,-2.962,1.050,3.846,0.294,-16.464,-15.045
1976,-19.828,-21.724,-13.982,-6.824,-3.298,2.683,4.445,4.032,1.132,-4.385,-6.407,-15.673,-6.652,-22.495,-8.035,3.720,-3.220,-7.508,-8.471,-8.563,-19.887,1.799,-15.964,-0.316,-18.511,-14.177,-2.480,1.277,3.203,0.259,-8.822,-21.243
1977,-12.819,-8.008,-12.165,-6.024,-3.030,2.380,5.958,6.175,1.190,-3.878,-17.801,-28.848,-6.406,-12.167,-7.073,4.837,-6.830,-5.308,-4.358,-4.401,-11.014,2.534,-9.354,0.396,-10.997,-8.732,-2.225,1.769,4.441,1.162,-16.842,-11.633
1978,-21.995,-17.121,-13.383,-7.301,-2.882,2.363,4.390,4.745,1.212,-2.240,-13.534,-18.069,-6.985,-22.655,-7.856,3.832,-4.854,-7.883,-8.238,-8.375,-19.830,1.965,-15.761,0.041,-17.500,-12.602,-2.607,1.290,3.449,1.239,-11.281,-22.881
1979,-25.925,-32.799,-9.825,-7.262,-2.368,2.695,6.492,5.219,2.496,-2.175,-7.630,-20.549,-7.636,-25.597,-6.485,4.802,-2.436,-7.429,-7.921,-7.927,-20.030,2.907,-15.665,0.728,-22.849,-16.628,-2.311,2.273,4.735,1.847,-10.118,-19.176
1980,-25.930,-13.481,-12.504,-4.999,-2.146,3.169,5.016,4.022,0.725,-2.082,-6.551,-30.800,-7.130,-19.987,-6.550,4.069,-2.636,-6.276,-6.366,-6.373,-16.019,2.157,-12.467,0.530,-17.305,-10.328,-1.325,2.013,3.255,0.889,-13.144,-18.036
1981,-9.202,-15.306,-8.243,-9.094,-0.024,2.246,5.521,5.001,0.740,-3.051,-9.278,-21.745,-5.203,-18.436,-5.787,4.256,-3.863,-5.957,-5.730,-5.649,-14.020,2.697,-11.611,0.191,-10.917,-10.881,-2.291,2.581,3.754,0.897,-11.358,-15.518
