=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (60.302N; 225.008E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-20.964,-18.017,-11.036,-1.713,1.671,6.962,12.084,7.862,5.842,-0.836,-12.922,-13.802,-3.739,-999,-3.693,8.969,-2.639,-999,-999,-999,-999,6.884,-999,4.553,-16.672,-10.255,2.307,6.905,8.596,4.289,-9.187,-999
1941,-18.838,-15.182,-6.507,-0.348,2.686,9.494,10.822,11.496,3.192,-2.410,-11.375,-19.517,-3.040,-15.941,-1.389,10.604,-3.531,-2.564,-2.693,-2.562,-13.450,7.538,-9.776,4.991,-13.509,-7.345,3.944,7.668,8.504,4.093,-11.100,-15.188
1942,-12.346,-10.483,-8.135,-1.823,5.020,9.497,10.776,10.049,6.583,-0.367,-15.332,-25.521,-2.674,-14.115,-1.646,10.107,-3.039,-2.173,-1.843,-2.014,-12.371,8.385,-9.441,5.676,-10.321,-6.813,4.232,8.431,9.136,5.421,-13.740,-14.413
1943,-24.496,-15.446,-11.180,-1.438,2.262,8.929,10.112,8.987,4.992,-1.395,-4.785,-7.809,-2.606,-21.821,-3.452,9.343,-0.396,-4.082,-4.960,-4.875,-18.395,7.057,-13.397,4.636,-17.040,-9.355,3.251,7.101,8.031,4.195,-4.663,-21.783
1944,-11.288,-11.866,-8.909,-2.944,3.263,9.862,12.336,9.726,5.786,0.646,-8.779,-13.141,-1.276,-10.321,-2.863,10.642,-0.782,-0.831,-0.499,-0.669,-8.931,8.195,-7.000,5.525,-10.688,-7.906,3.394,8.487,9.283,5.386,-7.091,-7.961
1945,-12.760,-13.251,-7.083,-5.140,3.409,7.601,9.346,10.088,4.204,-1.679,-16.560,-17.487,-3.276,-13.051,-2.938,9.012,-4.679,-2.914,-2.265,-2.072,-11.003,6.929,-8.501,3.975,-11.031,-8.491,1.957,6.785,7.879,4.204,-11.909,-11.560
1946,-17.241,-14.693,-8.920,-2.908,4.957,12.448,11.057,8.899,5.191,-2.302,-13.931,-24.968,-3.534,-16.474,-2.290,10.802,-3.681,-2.911,-3.130,-3.078,-14.980,8.510,-11.356,5.335,-13.618,-8.840,4.832,9.487,8.382,3.929,-13.734,-17.096
1947,-23.029,-18.761,-4.993,-2.290,3.604,8.626,12.681,8.529,4.872,-0.996,-5.533,-12.587,-2.490,-22.253,-1.226,9.945,-0.552,-3.521,-4.221,-4.330,-17.136,7.663,-12.896,5.004,-15.595,-8.681,3.314,8.304,8.694,4.135,-6.372,-20.642
1948,-16.561,-23.191,-15.477,-7.595,2.290,9.483,11.299,7.880,2.148,-3.905,-16.050,-26.988,-6.389,-17.446,-6.927,9.554,-5.936,-5.189,-4.312,-4.070,-14.670,6.620,-11.706,3.086,-18.410,-15.421,1.393,7.691,7.109,2.041,-15.648,-11.560
1949,-19.372,-23.745,-7.710,-3.025,0.565,4.984,9.429,8.600,5.751,-4.085,-6.541,-24.027,-4.931,-23.368,-3.390,7.671,-1.625,-5.178,-5.970,-5.956,-18.773,5.866,-14.399,3.174,-16.942,-11.493,0.841,4.993,7.927,3.422,-11.551,-20.803
1950,-24.658,-22.421,-9.650,-4.992,2.021,11.660,10.679,10.744,5.305,-3.769,-19.703,-16.020,-5.067,-23.702,-4.207,11.028,-6.056,-5.734,-4.637,-4.664,-17.460,8.082,-13.768,4.521,-18.910,-12.355,2.897,8.120,8.909,4.093,-13.164,-18.409
1951,-24.530,-19.635,-15.341,-1.581,4.260,9.004,14.771,11.401,7.306,-5.837,-12.115,-22.521,-4.568,-20.062,-4.220,11.725,-3.548,-4.026,-4.659,-4.486,-19.046,9.349,-14.368,5.618,-19.835,-12.185,3.895,9.345,11.160,4.290,-13.491,-20.085
1952,-28.093,-14.244,-10.065,-3.783,1.695,7.764,11.913,10.030,3.833,-0.103,-4.316,-14.608,-3.331,-21.619,-4.051,9.902,-0.196,-3.991,-4.641,-5.119,-17.408,7.047,-13.808,4.478,-17.467,-9.364,1.892,7.124,8.592,4.587,-6.343,-20.910
1953,-28.638,-10.484,-11.249,-0.956,4.504,10.882,11.781,9.848,4.230,-2.126,-11.495,-13.941,-3.137,-17.910,-2.567,10.837,-3.130,-3.193,-2.594,-2.426,-13.859,8.249,-10.051,5.452,-16.790,-7.563,4.810,9.056,8.620,3.984,-9.187,-15.854
1954,-23.856,-18.574,-9.174,-7.589,3.450,10.041,10.013,11.625,5.375,-1.076,-5.939,-18.708,-3.701,-18.790,-4.437,10.560,-0.547,-3.304,-3.767,-3.854,-15.408,8.101,-12.393,4.549,-17.201,-11.779,1.968,7.835,9.004,5.308,-8.574,-16.431
1955,-14.936,-14.859,-12.589,-4.036,1.200,6.471,12.581,8.080,4.309,-4.066,-20.921,-24.557,-5.277,-16.168,-5.142,9.044,-6.893,-4.789,-3.541,-3.292,-13.406,6.528,-10.306,3.506,-14.128,-10.494,1.212,6.751,8.324,2.774,-16.515,-13.194
1956,-24.598,-19.467,-12.494,-2.098,2.946,7.693,11.848,10.380,4.282,-5.112,-5.547,-22.550,-4.560,-22.874,-3.882,9.974,-2.126,-4.727,-6.008,-5.921,-20.407,7.430,-15.457,4.277,-18.853,-11.353,2.847,7.496,8.837,3.183,-11.070,-23.359
1957,-21.377,-15.747,-8.186,-2.435,3.654,10.495,11.119,12.963,8.640,-0.747,-5.559,-17.599,-2.065,-19.891,-2.322,11.526,0.778,-2.477,-2.476,-2.840,-14.681,9.374,-11.565,6.241,-15.103,-8.789,3.905,8.423,10.908,6.952,-7.968,-16.491
1958,-13.900,-18.029,-9.455,-0.096,4.270,12.852,13.957,8.926,3.262,-3.793,-10.443,-17.325,-2.481,-16.509,-1.760,11.912,-3.658,-2.504,-2.097,-1.843,-12.908,8.654,-9.341,5.626,-13.794,-9.193,5.675,10.360,8.715,2.799,-10.520,-12.352
1959,-27.551,-13.237,-11.317,-3.081,2.590,10.327,10.278,8.207,4.307,-3.644,-9.940,-13.039,-3.842,-19.371,-3.936,9.604,-3.092,-4.199,-4.241,-4.253,-15.975,7.142,-12.393,4.141,-17.368,-9.212,3.279,7.732,7.598,2.957,-8.875,-18.440
1960,-17.851,-13.148,-12.772,-2.197,3.292,6.904,9.399,9.173,3.999,-2.346,-11.073,-12.505,-3.260,-14.680,-3.892,8.492,-3.140,-3.305,-3.210,-3.319,-13.350,6.554,-10.370,4.032,-14.590,-9.372,2.667,6.532,7.524,3.609,-8.641,-13.610
