=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (60.852N; 224.282E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-25.055,-21.772,-14.739,-6.217,-1.953,0.930,7.121,3.214,2.500,-2.510,-16.973,-17.390,-7.737,-999,-7.636,3.755,-5.661,-999,-999,-999,-999,2.363,-999,0.441,-20.522,-14.243,-2.413,2.033,4.279,1.068,-12.291,-999
1941,-22.523,-18.273,-10.213,-4.499,-2.194,3.276,3.808,4.855,-0.318,-4.890,-15.949,-23.364,-7.524,-19.395,-5.635,3.980,-7.052,-7.026,-7.111,-6.913,-17.074,1.885,-13.197,0.005,-17.003,-10.995,-1.139,1.630,2.782,-0.118,-14.734,-18.962
1942,-15.737,-13.257,-11.716,-6.093,0.334,1.675,4.411,5.006,2.811,-2.619,-19.885,-30.054,-7.094,-17.453,-5.825,3.697,-6.564,-6.536,-6.208,-6.397,-16.005,2.848,-13.001,0.789,-13.570,-10.356,-1.361,2.140,4.076,1.733,-17.519,-18.350
1943,-30.114,-19.215,-15.354,-5.801,-1.579,3.416,3.874,3.519,1.388,-3.689,-8.040,-11.848,-6.954,-26.461,-7.578,3.603,-3.447,-8.471,-9.458,-9.369,-22.925,2.124,-17.578,0.161,-21.561,-13.457,-1.321,1.904,2.927,0.406,-7.859,-26.684
1944,-15.358,-15.435,-13.069,-7.668,-1.183,3.800,4.950,4.113,2.465,-1.088,-12.456,-17.163,-5.674,-14.213,-7.307,4.288,-3.693,-5.231,-4.863,-5.080,-12.750,2.829,-10.729,0.770,-14.621,-12.057,-1.684,2.522,3.842,1.830,-10.236,-11.749
1945,-17.230,-17.017,-10.687,-9.755,-1.506,0.740,3.904,3.216,0.330,-3.900,-19.861,-20.534,-7.692,-17.137,-7.316,2.620,-7.810,-7.411,-6.794,-6.559,-14.911,1.337,-12.200,-0.996,-14.978,-12.486,-3.507,1.046,2.484,-0.118,-14.765,-15.616
1946,-21.281,-17.878,-13.309,-7.677,-0.479,4.150,4.613,2.923,0.319,-5.175,-19.906,-29.679,-8.615,-19.898,-7.155,3.895,-8.254,-7.853,-7.849,-7.743,-18.573,2.305,-14.920,-0.189,-17.489,-12.955,-1.335,2.761,2.618,-0.644,-18.253,-20.559
1947,-28.573,-23.378,-8.153,-6.080,-1.071,1.810,5.116,3.122,1.479,-3.122,-8.199,-16.142,-6.933,-27.210,-5.101,3.349,-3.281,-8.061,-9.036,-9.207,-21.938,2.091,-17.278,0.179,-20.035,-12.537,-1.780,1.952,3.239,0.493,-9.155,-26.053
1948,-20.152,-27.894,-19.690,-12.559,-1.698,1.962,4.137,2.931,-0.656,-6.550,-20.194,-32.128,-11.041,-21.396,-11.315,3.010,-9.133,-9.709,-8.709,-8.424,-18.415,1.335,-15.394,-1.776,-22.578,-20.047,-4.098,1.467,2.137,-1.425,-19.624,-14.831
1949,-23.365,-28.840,-11.892,-7.173,-3.935,-0.235,4.953,4.533,2.360,-6.477,-9.735,-29.144,-9.079,-28.111,-7.667,3.084,-4.617,-9.328,-10.199,-10.205,-23.284,1.535,-18.592,-0.853,-21.365,-15.968,-3.781,0.261,3.949,0.139,-15.119,-25.229
1950,-28.326,-26.870,-13.211,-10.056,-2.491,4.299,3.948,4.391,1.703,-6.095,-24.070,-19.427,-9.684,-28.113,-8.586,4.212,-9.487,-10.493,-9.299,-9.331,-21.457,2.370,-17.688,-0.614,-22.802,-16.712,-2.749,1.919,3.347,-0.000,-16.530,-22.402
1951,-29.209,-23.583,-19.558,-6.248,-1.193,2.650,6.945,4.020,1.440,-8.943,-15.947,-26.603,-9.686,-24.073,-9.000,4.538,-7.817,-9.088,-9.765,-9.527,-23.169,2.772,-18.313,-0.190,-24.116,-16.463,-1.597,2.801,4.135,-1.161,-17.164,-24.235
1952,-32.926,-17.785,-13.797,-7.826,-3.143,2.167,5.040,3.715,1.222,-2.039,-7.470,-18.078,-7.577,-25.772,-8.255,3.641,-2.762,-8.287,-8.993,-9.569,-21.412,1.800,-17.690,-0.123,-21.503,-13.136,-2.934,1.355,3.326,0.966,-9.196,-25.159
1953,-33.761,-14.206,-15.563,-5.752,0.170,5.022,7.487,5.814,0.598,-4.250,-16.267,-18.311,-7.418,-22.015,-7.048,6.108,-6.639,-7.399,-6.666,-6.481,-17.816,3.818,-13.839,1.299,-21.177,-11.840,-0.187,4.227,4.633,0.721,-12.942,-19.770
1954,-28.426,-23.949,-13.372,-12.739,-0.747,2.882,4.755,5.748,1.335,-4.342,-8.861,-23.911,-8.469,-23.562,-8.953,4.462,-3.956,-8.002,-8.619,-8.612,-20.065,2.795,-16.759,-0.444,-21.916,-16.687,-3.535,2.297,3.946,0.914,-12.371,-21.001
1955,-19.449,-19.583,-16.868,-9.053,-4.006,0.363,5.515,3.302,0.237,-6.717,-24.999,-28.145,-9.950,-20.981,-9.976,3.060,-10.493,-9.597,-8.253,-8.055,-17.735,1.082,-14.581,-1.480,-18.633,-15.168,-4.232,0.624,3.018,-1.059,-19.954,-17.407
1956,-28.691,-23.460,-16.929,-7.644,-2.354,1.481,5.838,4.756,0.187,-7.939,-9.704,-28.405,-9.405,-26.765,-8.976,4.025,-5.819,-9.384,-10.658,-10.556,-24.445,1.982,-19.512,-0.810,-23.027,-16.011,-2.839,1.655,3.594,-0.998,-15.349,-27.278
1957,-26.800,-19.985,-11.725,-6.947,0.040,5.206,5.015,6.481,3.292,-4.244,-7.867,-22.091,-6.635,-25.063,-6.211,5.567,-2.940,-7.162,-7.315,-7.623,-19.324,4.007,-15.929,1.263,-19.503,-12.886,-0.567,3.420,4.929,1.843,-11.401,-21.636
1958,-17.600,-22.398,-13.636,-4.981,-0.761,3.962,4.216,3.487,-1.078,-7.588,-14.882,-21.987,-7.771,-20.696,-6.459,3.888,-7.849,-7.779,-7.195,-6.916,-16.718,1.965,-13.260,-0.392,-17.878,-13.672,-0.594,2.472,2.208,-1.726,-14.819,-15.853
1959,-33.322,-16.493,-16.041,-8.588,-1.776,5.061,3.244,3.519,1.000,-7.981,-13.530,-17.252,-8.513,-23.934,-8.802,3.941,-6.837,-8.908,-9.021,-8.988,-20.545,2.210,-16.986,-0.789,-21.952,-13.707,-1.768,2.176,2.588,-1.154,-12.921,-23.397
1960,-21.820,-16.120,-16.627,-7.645,-2.241,1.871,4.174,3.998,0.264,-4.937,-15.614,-16.221,-7.576,-18.397,-8.838,3.348,-6.763,-7.662,-7.489,-7.742,-17.070,1.613,-14.425,-0.645,-18.189,-13.464,-2.672,1.268,2.812,-0.225,-12.258,-17.534
