=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (60.852N; 224.282E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-22.294,-18.782,-11.028,-0.959,3.673,8.136,12.705,8.635,6.495,-0.325,-14.746,-15.460,-3.663,-999,-2.772,9.825,-2.859,-999,-999,-999,-999,7.929,-999,5.480,-17.368,-10.256,3.616,8.171,9.278,4.935,-10.177,-999
1941,-20.045,-15.385,-6.620,0.059,4.452,10.244,11.568,12.225,3.978,-2.796,-13.977,-21.175,-3.123,-16.964,-0.703,11.346,-4.265,-2.647,-2.711,-2.505,-14.451,8.493,-10.360,5.676,-14.017,-7.315,4.918,8.755,9.257,4.469,-12.649,-16.751
1942,-13.770,-11.022,-8.078,-1.395,6.657,10.661,11.698,10.676,7.042,-0.379,-17.644,-27.449,-2.750,-15.322,-0.939,11.012,-3.661,-2.227,-1.922,-2.123,-13.604,9.347,-10.316,6.423,-10.957,-6.832,5.308,9.672,9.805,5.780,-15.157,-16.307
1943,-26.824,-16.356,-11.514,-1.184,3.740,10.240,10.896,9.735,5.657,-0.452,-6.604,-9.977,-2.720,-23.543,-2.986,10.290,-0.466,-4.176,-5.096,-5.090,-19.957,8.053,-14.479,5.519,-18.231,-9.685,4.265,8.292,8.762,4.980,-5.677,-23.972
1944,-13.017,-12.901,-9.167,-2.642,4.429,11.575,12.852,10.312,6.581,1.084,-10.853,-15.235,-1.415,-11.965,-2.460,11.580,-1.063,-0.977,-0.623,-0.751,-10.333,9.150,-7.823,6.313,-11.695,-8.236,4.454,9.619,9.915,5.992,-8.335,-9.866
1945,-15.156,-14.077,-7.074,-4.605,4.671,8.798,10.309,10.832,4.588,-1.068,-17.609,-18.450,-3.237,-14.823,-2.336,9.980,-4.696,-2.969,-2.406,-2.226,-12.479,7.840,-9.417,4.789,-12.102,-8.585,2.955,7.926,8.577,4.784,-12.376,-13.748
1946,-19.047,-15.183,-9.150,-2.588,6.648,13.765,12.168,9.993,5.904,-2.941,-17.185,-26.925,-3.712,-17.560,-1.697,11.975,-4.741,-3.005,-3.041,-2.885,-15.888,9.696,-11.871,6.136,-14.460,-8.974,5.942,10.860,9.355,4.319,-15.683,-18.369
1947,-25.894,-20.515,-4.697,-1.725,5.376,9.622,13.640,9.170,5.054,-0.648,-6.772,-14.405,-2.649,-24.445,-0.349,10.811,-0.789,-3.693,-4.561,-4.752,-19.043,8.572,-14.269,5.784,-17.035,-8.979,4.424,9.546,9.288,4.525,-7.275,-23.334
1948,-17.914,-23.982,-15.336,-6.977,3.620,10.217,11.682,8.644,3.216,-4.081,-17.876,-29.111,-6.491,-18.767,-6.231,10.181,-6.247,-5.266,-4.341,-4.055,-15.682,7.476,-12.291,3.760,-19.077,-15.432,2.287,8.507,7.847,2.593,-17.023,-13.030
1949,-20.718,-24.956,-7.683,-2.515,1.858,6.091,10.129,9.375,6.251,-4.481,-8.541,-26.498,-5.141,-24.928,-2.780,8.532,-2.257,-5.358,-6.136,-6.103,-20.069,6.741,-15.277,3.815,-17.786,-11.718,1.811,6.026,8.585,3.715,-13.173,-22.568
1950,-25.332,-23.539,-9.236,-4.623,3.234,12.641,11.441,11.580,6.274,-2.738,-21.033,-17.393,-4.894,-25.123,-3.542,11.887,-5.832,-5.652,-4.611,-4.757,-18.629,9.034,-14.607,5.401,-19.369,-12.466,3.751,9.105,9.765,5.039,-13.722,-20.123
1951,-26.110,-20.320,-15.259,-1.364,5.743,9.604,15.236,12.308,7.861,-6.183,-13.953,-23.900,-4.695,-21.275,-3.627,12.382,-4.091,-4.153,-4.743,-4.456,-20.023,10.150,-14.888,6.172,-20.563,-12.314,4.661,10.194,11.801,4.662,-14.678,-21.512
1952,-29.773,-15.271,-10.149,-3.181,2.494,9.045,12.555,10.579,4.217,0.262,-5.927,-16.075,-3.435,-22.981,-3.612,10.727,-0.483,-4.087,-4.756,-5.293,-18.609,7.778,-14.630,5.139,-18.398,-9.534,2.786,8.031,9.117,5.020,-7.247,-22.542
1953,-30.814,-11.621,-11.522,-0.761,6.500,11.788,12.699,10.573,4.696,-2.267,-14.545,-16.342,-3.468,-19.503,-1.928,11.687,-4.039,-3.446,-2.728,-2.517,-15.192,9.251,-10.923,6.176,-17.986,-7.968,5.842,10.329,9.323,4.334,-11.051,-17.606
1954,-25.481,-20.513,-9.168,-7.003,4.927,11.147,10.494,11.928,5.846,-0.896,-7.474,-21.464,-3.972,-20.778,-3.748,11.189,-0.841,-3.545,-4.134,-4.248,-17.210,8.868,-13.617,5.206,-18.387,-12.228,3.024,8.856,9.422,5.626,-9.945,-18.789
