=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (68.5N; 210.5E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-27.997,-28.272,-24.321,-8.814,-3.414,3.237,6.430,1.982,-3.476,-12.974,-23.384,-27.083,-12.341,-999,-12.183,3.883,-13.278,-999,-999,-999,-999,0.952,-999,-2.433,-26.863,-20.469,-2.997,2.084,1.645,-4.823,-21.147,-999
1941,-30.271,-25.140,-28.549,-14.694,-5.972,-0.036,3.197,2.472,-7.566,-18.868,-28.187,-25.772,-14.949,-27.498,-16.405,1.877,-18.207,-15.058,-14.658,-14.167,-26.885,-1.581,-23.156,-5.924,-27.986,-22.794,-6.901,-0.937,-0.632,-7.987,-24.276,-26.913
1942,-27.442,-25.976,-29.755,-15.789,-7.422,1.443,3.360,1.460,-3.695,-16.334,-29.003,-33.394,-15.212,-26.397,-17.655,2.087,-16.344,-14.577,-14.509,-14.720,-27.427,-0.971,-24.541,-5.282,-27.724,-23.840,-7.256,-0.873,0.375,-6.190,-26.243,-27.134
1943,-35.136,-24.440,-27.175,-15.267,-3.971,4.039,5.570,1.449,-4.799,-15.021,-20.216,-27.779,-13.562,-30.990,-15.471,3.686,-13.346,-14.030,-14.762,-14.872,-29.829,0.457,-25.821,-4.000,-28.917,-22.294,-5.067,1.879,0.740,-6.124,-21.005,-32.511
1944,-27.278,-23.464,-26.467,-15.533,-4.396,4.325,6.692,0.418,-6.053,-13.561,-27.667,-27.163,-13.346,-26.174,-15.465,3.812,-15.760,-13.397,-12.776,-12.898,-25.041,0.197,-22.251,-4.015,-25.736,-21.821,-5.201,2.207,0.352,-6.399,-22.797,-25.091
1945,-26.802,-26.650,-27.375,-16.964,-8.090,0.459,5.197,0.618,-5.652,-15.006,-29.003,-27.443,-14.726,-26.872,-17.476,2.091,-16.554,-14.703,-14.591,-14.471,-27.131,-1.494,-23.740,-5.634,-26.942,-23.663,-8.198,-0.811,0.055,-6.680,-23.817,-27.211
1946,-27.459,-30.417,-27.838,-20.302,-4.760,4.388,5.416,0.864,-7.921,-14.679,-26.064,-33.964,-15.228,-28.439,-17.633,3.556,-16.221,-14.685,-14.930,-14.957,-28.432,-0.403,-25.353,-5.285,-28.571,-26.186,-6.891,1.681,-0.547,-7.245,-24.902,-27.968
1947,-35.126,-26.960,-21.708,-19.048,-3.334,2.619,6.551,-0.671,-6.718,-18.491,-24.061,-24.507,-14.288,-32.017,-14.697,2.833,-16.423,-15.076,-15.243,-14.925,-28.764,-0.311,-25.364,-5.585,-27.931,-22.572,-6.588,1.945,-0.279,-8.627,-22.353,-31.718
1948,-28.582,-28.345,-27.940,-19.139,-6.543,2.843,3.567,-0.704,-9.729,-18.124,-26.989,-32.839,-16.044,-27.145,-17.874,1.902,-18.281,-15.349,-15.105,-15.136,-26.687,-2.113,-24.438,-6.833,-28.289,-25.141,-7.613,-0.045,-2.288,-9.519,-25.984,-25.717
1949,-28.497,-30.957,-19.767,-22.601,-7.968,-0.911,5.726,4.685,-1.006,-14.195,-18.596,-29.121,-13.601,-30.764,-16.779,3.167,-11.266,-13.910,-14.610,-14.937,-27.810,0.105,-25.682,-5.181,-26.407,-24.441,-10.493,-1.051,3.135,-3.505,-20.637,-29.442
