=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (68.5N; 210.5E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-23.917,-24.415,-20.360,-5.168,0.239,6.318,11.929,5.186,-1.373,-10.950,-18.405,-23.855,-8.731,-999,-8.430,7.811,-10.242,-999,-999,-999,-999,4.460,-999,0.883,-22.898,-16.648,0.463,6.162,5.248,-2.379,-17.736,-999
1941,-26.909,-21.850,-24.026,-12.172,-3.572,3.477,5.645,5.153,-4.729,-16.398,-24.986,-21.693,-11.838,-24.204,-13.257,4.758,-15.371,-12.019,-11.470,-11.016,-23.009,1.195,-19.738,-3.228,-24.262,-19.349,-4.089,1.850,2.023,-5.325,-21.026,-23.056
1942,-24.284,-22.414,-25.936,-12.723,-4.738,3.130,6.507,3.726,-1.683,-13.883,-25.551,-29.793,-12.303,-22.797,-14.465,4.454,-13.705,-11.628,-11.581,-11.791,-23.863,1.388,-21.205,-2.809,-24.211,-20.358,-4.777,1.633,2.850,-3.946,-23.075,-23.654
1943,-30.443,-21.256,-23.370,-11.608,-1.359,7.316,9.095,3.383,-3.371,-12.999,-16.967,-24.301,-10.490,-27.164,-12.112,6.598,-11.112,-10.948,-11.663,-11.737,-26.082,3.013,-22.272,-1.363,-25.023,-18.745,-1.884,5.017,3.036,-4.329,-18.089,-28.596
1944,-23.962,-19.651,-23.089,-11.409,-1.686,7.626,9.629,2.828,-4.144,-11.368,-24.519,-22.378,-10.177,-22.638,-12.061,6.694,-13.343,-10.337,-9.708,-9.844,-21.594,2.851,-18.911,-1.218,-22.234,-18.050,-1.823,5.190,2.771,-4.228,-19.421,-21.743
1945,-20.719,-23.224,-23.546,-13.530,-4.992,2.491,8.649,3.311,-4.035,-12.732,-24.848,-22.489,-11.305,-22.107,-14.023,4.817,-13.871,-11.296,-11.269,-11.155,-22.877,1.085,-19.898,-2.977,-22.496,-20.100,-5.343,2.050,2.642,-4.485,-20.023,-22.538
1946,-23.846,-25.640,-23.953,-17.189,-2.479,7.616,9.506,4.052,-6.169,-11.933,-21.188,-30.575,-11.817,-23.992,-14.540,7.058,-13.097,-11.143,-11.448,-11.514,-24.155,2.505,-21.528,-2.371,-24.480,-22.261,-4.017,4.881,2.463,-4.683,-21.232,-23.728
1947,-31.956,-23.027,-19.144,-14.844,-0.865,4.802,9.548,1.900,-4.671,-15.988,-20.891,-21.456,-11.383,-28.520,-11.618,5.417,-13.850,-12.143,-12.167,-11.829,-25.178,2.143,-21.810,-2.874,-24.709,-19.005,-3.636,4.495,2.259,-6.253,-19.445,-27.907
1948,-24.449,-23.245,-22.536,-15.762,-3.934,5.380,7.862,1.933,-7.929,-15.964,-23.729,-29.246,-12.635,-23.050,-14.077,5.058,-15.874,-11.986,-11.749,-11.751,-22.515,0.662,-20.618,-4.059,-23.410,-20.515,-4.772,3.102,0.622,-7.320,-22.980,-22.265
1949,-24.845,-26.038,-15.657,-18.908,-5.666,1.675,8.908,8.785,0.833,-11.526,-15.902,-25.197,-10.295,-26.710,-13.410,6.456,-8.865,-10.632,-11.284,-11.654,-23.903,2.907,-22.055,-2.271,-22.180,-20.201,-7.633,1.639,6.175,-0.636,-17.542,-25.940
1950,-19.480,-30.554,-16.586,-13.111,-2.824,6.082,12.396,8.513,-0.433,-12.230,-18.141,-24.087,-9.205,-25.077,-10.840,8.997,-10.268,-9.297,-9.111,-9.052,-21.544,4.747,-18.908,-0.230,-22.207,-20.084,-3.284,5.218,6.825,-1.383,-18.153,-20.193
1951,-31.620,-27.451,-26.284,-11.208,-1.753,5.211,9.810,8.657,-0.325,-12.087,-17.169,-24.226,-10.704,-27.719,-13.082,7.893,-9.860,-10.692,-10.773,-10.785,-25.517,4.320,-21.574,-0.242,-28.452,-21.648,-2.583,4.423,6.048,-1.251,-17.827,-24.616
1952,-27.365,-27.388,-23.692,-16.316,-7.945,4.256,9.870,5.687,-6.728,-12.523,-15.845,-23.663,-11.804,-26.326,-15.985,6.604,-11.699,-11.851,-11.962,-11.925,-23.968,1.028,-21.178,-3.386,-26.148,-22.466,-6.668,2.060,2.943,-4.521,-17.344,-22.920
1953,-29.443,-24.869,-24.028,-11.093,-3.082,7.392,7.877,4.841,-3.468,-15.654,-19.963,-24.664,-11.346,-25.992,-12.734,6.703,-13.028,-11.263,-10.920,-10.659,-23.570,2.712,-20.209,-1.884,-26.113,-19.997,-2.261,4.062,3.083,-4.760,-20.094,-22.984
1954,-26.127,-30.144,-19.155,-15.663,-3.339,5.473,7.984,9.084,-2.967,-13.828,-18.409,-30.033,-11.427,-26.978,-12.719,7.514,-11.735,-10.980,-11.109,-11.261,-24.011,3.247,-21.624,-1.894,-25.142,-21.654,-4.510,3.373,4.700,-2.570,-20.757,-23.585
1955,-23.344,-30.765,-22.524,-18.101,-3.939,3.831,10.644,4.117,-2.872,-14.472,-24.657,-27.192,-12.440,-28.047,-14.854,6.197,-14.001,-12.676,-12.156,-12.102,-25.015,2.356,-22.429,-2.970,-25.544,-23.797,-6.069,3.512,3.963,-4.409,-22.107,-23.929
1956,-29.163,-30.090,-21.354,-11.655,-2.487,4.880,8.934,3.517,-2.691,-17.880,-24.777,-28.095,-12.572,-28.815,-11.832,5.777,-15.116,-12.496,-12.486,-12.202,-26.491,2.431,-22.655,-2.483,-26.869,-21.033,-3.087,3.776,3.254,-5.684,-23.584,-27.004
1957,-20.162,-27.501,-20.210,-10.771,-2.332,6.358,8.539,8.835,-3.229,-10.567,-18.861,-28.527,-9.869,-25.253,-11.104,7.911,-10.886,-9.833,-10.326,-10.935,-24.149,3.634,-21.342,-0.453,-22.624,-19.494,-2.248,4.188,4.715,-1.654,-19.319,-24.345
1958,-25.089,-24.388,-19.348,-11.823,-4.232,9.331,10.785,8.036,-2.591,-17.127,-21.686,-23.129,-10.105,-26.001,-11.801,9.384,-13.801,-10.555,-10.319,-9.773,-23.243,4.266,-19.800,-1.089,-22.942,-18.519,-2.241,5.295,5.410,-3.894,-20.647,-24.159
1959,-26.176,-19.674,-29.782,-15.866,-4.107,6.927,5.216,4.856,-3.148,-14.371,-22.723,-29.340,-12.349,-22.993,-16.585,5.666,-13.414,-11.832,-11.745,-11.975,-24.090,1.949,-21.920,-2.928,-25.211,-21.774,-4.349,2.678,2.308,-4.221,-22.145,-23.664
1960,-26.039,-20.966,-23.421,-17.968,-1.391,4.894,7.216,4.540,-5.644,-15.404,-24.866,-18.904,-11.496,-25.448,-14.260,5.550,-15.305,-12.366,-12.187,-12.101,-24.498,1.923,-22.118,-3.394,-23.475,-20.785,-4.822,3.573,2.037,-5.503,-19.725,-26.034
1961,-21.882,-28.340,-25.042,-17.061,-0.288,6.996,8.260,5.457,0.005,-16.909,-23.546,-29.295,-11.804,-23.042,-14.130,6.904,-13.484,-10.938,-11.048,-10.922,-23.807,4.086,-21.643,-1.934,-25.088,-23.481,-3.451,4.989,4.574,-3.816,-23.250,-21.884
1962,-21.785,-18.856,-22.993,-15.719,-5.367,4.306,9.576,8.702,-5.276,-13.782,-20.197,-22.081,-10.289,-23.312,-14.693,7.528,-13.085,-10.891,-11.170,-11.430,-23.295,2.388,-21.300,-2.509,-21.211,-19.189,-5.593,2.838,4.334,-3.452,-18.687,-24.875
1963,-20.525,-23.916,-24.438,-14.806,-1.596,4.105,7.551,5.840,0.315,-15.722,-25.377,-18.437,-10.584,-22.174,-13.613,5.832,-13.595,-10.887,-10.456,-10.294,-22.231,3.243,-19.963,-2.045,-22.959,-21.053,-4.099,3.354,4.568,-3.189,-19.846,-20.934
1964,-26.644,-26.363,-26.606,-17.681,-7.787,4.232,7.683,6.045,-1.367,-11.537,-21.092,-31.420,-12.712,-23.815,-17.358,5.986,-11.332,-11.630,-11.987,-12.336,-24.686,1.761,-22.404,-2.916,-26.538,-23.550,-7.079,1.376,4.120,-2.287,-21.350,-23.486
