=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (68.042N; 226.511E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-27.968,-29.557,-23.349,-9.078,-2.605,2.336,8.068,5.155,3.649,-7.445,-22.331,-28.464,-10.966,-999,-11.677,5.187,-8.709,-999,-999,-999,-999,3.321,-999,0.012,-26.958,-20.661,-3.116,2.600,5.624,0.453,-19.413,-999
1941,-30.573,-25.693,-27.748,-13.536,-1.856,2.337,7.218,3.929,-5.081,-14.089,-25.871,-31.290,-13.521,-28.243,-14.380,4.495,-15.014,-13.286,-12.991,-12.437,-26.962,1.309,-22.256,-3.011,-28.005,-22.326,-4.352,2.566,2.022,-5.081,-23.750,-27.123
1942,-26.975,-29.082,-26.056,-13.271,-1.625,6.571,8.265,5.174,-1.064,-8.056,-28.036,-36.278,-12.536,-29.116,-13.651,6.670,-12.385,-12.120,-11.940,-12.443,-27.855,3.464,-23.805,-0.572,-27.371,-22.803,-2.775,4.404,4.125,-1.315,-24.124,-28.045
1943,-35.907,-24.450,-24.044,-9.594,0.257,5.131,8.753,7.502,0.501,-5.820,-16.638,-28.353,-10.222,-32.212,-11.127,7.129,-7.319,-10.882,-11.832,-12.018,-29.743,4.429,-23.766,0.962,-28.134,-19.362,-1.402,4.714,5.586,0.728,-16.937,-33.407
1944,-27.120,-27.167,-23.870,-9.863,-2.041,5.827,8.053,4.794,-1.570,-7.180,-24.470,-26.837,-10.954,-27.547,-11.924,6.225,-11.073,-11.080,-10.427,-10.314,-24.630,3.013,-19.833,-0.283,-26.052,-20.300,-2.025,3.947,3.759,-1.319,-19.496,-24.037
1945,-29.956,-27.411,-24.961,-13.230,-3.471,6.580,8.150,5.396,-1.625,-7.252,-27.269,-30.558,-12.134,-28.068,-13.887,6.709,-12.048,-11.824,-11.591,-11.585,-26.727,3.006,-22.006,-0.779,-27.443,-21.867,-3.374,3.753,3.974,-1.160,-21.693,-27.088
1946,-33.646,-34.798,-22.895,-13.038,-0.998,6.304,6.148,5.339,-2.989,-8.644,-23.027,-35.409,-13.138,-33.001,-12.310,5.930,-11.553,-12.734,-13.087,-12.971,-29.833,2.761,-24.208,-1.126,-30.446,-23.577,-2.578,3.818,2.832,-2.098,-22.360,-30.491
1947,-31.224,-34.952,-19.839,-14.033,-2.438,3.549,7.282,2.929,-1.226,-8.810,-20.580,-25.859,-12.100,-33.862,-12.103,4.586,-10.205,-12.896,-13.100,-13.086,-28.890,2.019,-23.875,-1.821,-28.671,-22.941,-4.307,2.798,2.995,-2.369,-18.416,-29.887
1948,-29.324,-28.181,-25.586,-15.440,-2.149,4.546,10.009,4.556,-2.293,-12.216,-24.595,-36.622,-13.108,-27.788,-14.392,6.370,-13.034,-12.211,-11.876,-11.593,-25.906,2.934,-21.969,-1.855,-27.697,-23.069,-4.348,4.135,4.090,-3.318,-24.478,-25.254
1949,-30.548,-33.486,-18.366,-15.286,-4.935,2.577,7.439,9.133,4.270,-8.629,-15.030,-29.234,-11.008,-33.552,-12.863,6.383,-6.463,-11.624,-12.421,-12.720,-28.723,3.697,-24.446,-0.776,-27.467,-22.380,-5.881,1.694,6.947,1.591,-17.631,-30.588
1950,-26.829,-35.423,-21.726,-13.243,-1.876,6.465,6.620,4.711,2.035,-10.106,-20.917,-28.233,-11.544,-30.495,-12.282,5.932,-9.663,-11.627,-11.136,-11.013,-25.648,3.591,-21.445,-0.771,-27.993,-23.464,-2.885,3.736,4.455,-1.120,-19.752,-23.698
1951,-37.519,-31.749,-30.190,-14.161,-2.587,2.527,8.868,9.654,1.938,-11.703,-18.949,-30.080,-12.829,-32.501,-15.646,7.016,-9.571,-12.675,-12.839,-12.706,-29.722,4.080,-24.697,-0.780,-33.153,-25.367,-4.740,2.936,6.820,-0.037,-20.244,-28.890
1952,-37.096,-35.059,-25.393,-14.302,-4.562,3.554,8.005,5.618,-2.545,-7.752,-14.675,-28.338,-12.712,-34.078,-14.753,5.726,-8.324,-12.857,-13.214,-13.543,-29.315,2.014,-24.655,-1.712,-32.516,-24.918,-5.104,2.332,3.692,-1.560,-16.922,-28.708
1953,-36.549,-29.759,-23.520,-10.049,-1.816,6.137,8.173,6.904,2.563,-8.693,-22.499,-31.192,-11.692,-31.548,-11.795,7.071,-9.543,-11.454,-10.802,-10.723,-26.568,4.392,-21.520,0.460,-29.942,-21.109,-1.909,4.165,5.880,0.258,-20.795,-26.521
1954,-35.856,-31.984,-21.019,-19.457,-4.775,4.519,9.390,10.207,1.007,-9.397,-20.074,-33.124,-12.547,-33.010,-15.084,8.038,-9.488,-12.386,-12.588,-12.529,-28.510,4.070,-24.386,-1.215,-29.620,-24.153,-6.571,3.045,6.868,0.606,-20.865,-29.849
1955,-30.004,-37.060,-29.368,-13.303,-2.858,7.121,10.513,3.857,0.389,-8.041,-28.312,-32.142,-13.267,-33.396,-15.176,7.164,-11.988,-13.349,-12.663,-12.776,-29.926,3.804,-24.618,-0.332,-32.144,-26.577,-3.013,4.925,4.920,-1.265,-22.831,-27.734
1956,-33.216,-36.448,-22.689,-14.527,-3.203,4.618,9.133,4.954,-0.295,-14.531,-23.864,-32.660,-13.561,-33.935,-13.473,6.235,-12.897,-13.518,-13.888,-13.347,-30.561,3.041,-25.054,-1.979,-30.784,-24.555,-4.371,3.516,4.597,-3.291,-23.685,-31.223
1957,-24.526,-32.794,-21.936,-10.314,-3.962,2.472,8.212,11.020,1.233,-7.942,-25.822,-34.527,-11.574,-29.993,-12.071,7.235,-10.844,-11.418,-11.255,-11.804,-27.156,3.795,-22.947,0.103,-26.419,-21.681,-3.935,2.241,6.822,1.437,-22.764,-27.017
1958,-31.254,-35.650,-22.886,-13.700,-2.215,6.594,9.847,9.272,1.838,-11.170,-22.829,-30.987,-11.928,-33.810,-12.933,8.571,-10.720,-12.223,-12.473,-12.204,-30.028,5.067,-24.540,0.067,-29.930,-24.079,-3.107,4.742,6.986,-0.020,-21.662,-30.534
1959,-35.476,-23.034,-30.237,-16.430,-5.727,2.255,5.765,3.753,-0.806,-11.382,-26.476,-29.970,-13.980,-29.833,-17.464,3.924,-12.888,-14.065,-13.761,-13.744,-28.513,1.048,-24.309,-3.225,-29.582,-23.233,-6.634,0.764,2.904,-2.812,-22.609,-29.764
1960,-35.929,-27.756,-26.802,-17.307,-2.728,6.662,6.483,5.832,-0.127,-10.408,-28.109,-24.926,-12.926,-31.219,-15.612,6.326,-12.881,-13.347,-13.211,-13.292,-29.387,3.224,-25.089,-1.656,-30.163,-23.955,-4.458,3.472,4.063,-1.568,-21.148,-30.792
1961,-31.524,-34.498,-29.087,-21.460,-3.932,6.844,8.955,6.302,1.209,-13.577,-24.869,-33.640,-14.106,-30.316,-18.160,7.367,-12.412,-13.380,-13.650,-13.386,-29.629,3.876,-25.716,-2.237,-31.703,-28.348,-6.183,3.956,5.489,-2.022,-24.029,-28.186
1962,-26.247,-26.119,-27.060,-15.407,-5.876,4.987,7.893,8.657,-0.619,-5.792,-23.428,-25.599,-11.218,-28.669,-16.114,7.179,-9.947,-11.888,-12.008,-12.656,-27.587,3.008,-23.846,-0.880,-26.475,-22.862,-5.432,2.334,5.310,0.749,-18.273,-28.252
1963,-31.735,-31.805,-26.541,-9.879,-1.923,5.035,7.235,6.978,-2.170,-11.713,-27.641,-24.919,-12.423,-29.713,-12.781,6.416,-13.841,-12.480,-12.129,-11.635,-27.822,3.031,-22.111,-0.920,-30.027,-22.742,-2.256,3.449,4.014,-2.302,-21.424,-26.921
