=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (67.15N; 309.92E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-19.029,-12.534,-17.565,-8.029,-2.536,1.622,3.222,2.704,-0.795,-9.075,-16.319,-15.953,-7.857,-999,-9.377,2.516,-8.729,-999,-999,-999,-999,0.843,-999,-1.841,-16.376,-12.710,-2.981,0.769,1.710,-2.389,-13.782,-999
1941,-17.809,-16.617,-14.243,-7.965,-1.181,2.014,3.086,2.192,-4.321,-5.486,-17.379,-20.634,-8.195,-16.793,-7.796,2.431,-9.062,-7.805,-7.717,-8.016,-16.188,0.358,-13.997,-1.666,-16.223,-12.942,-2.377,1.306,0.319,-2.538,-14.500,-16.693
1942,-19.161,-15.416,-18.371,-13.829,1.329,5.937,7.139,4.592,-1.234,-12.732,-14.810,-17.873,-7.869,-18.404,-10.290,5.889,-9.592,-8.099,-8.313,-7.709,-18.192,3.553,-15.754,-1.257,-17.649,-15.872,-2.188,4.802,3.499,-3.125,-15.139,-19.058
1943,-14.453,-25.438,-21.889,-14.661,-5.896,5.859,6.679,4.212,-0.619,-13.749,-16.027,-17.256,-9.437,-19.255,-14.149,5.583,-10.132,-9.488,-9.387,-9.302,-18.893,2.047,-17.408,-2.596,-20.593,-20.663,-4.899,2.214,3.424,-3.385,-15.677,-15.712
1944,-24.404,-16.532,-15.581,-9.101,-3.723,2.442,3.338,1.138,-3.224,-10.872,-17.429,-21.780,-9.644,-19.397,-9.468,2.306,-10.508,-9.267,-9.150,-9.390,-17.960,-0.006,-16.093,-2.857,-18.839,-13.738,-3.460,0.686,0.418,-4.319,-16.694,-19.229
1945,-15.428,-27.398,-16.363,-13.816,-3.679,1.372,2.629,2.202,-3.754,-5.277,-16.125,-14.292,-9.161,-21.535,-11.286,2.068,-8.385,-9.785,-9.893,-10.359,-19.679,-0.246,-17.583,-2.903,-19.729,-19.192,-5.374,0.107,0.359,-2.276,-11.898,-18.212
1946,-21.578,-17.629,-13.672,-13.179,-0.932,2.366,2.737,2.147,-1.462,-6.991,-11.726,-16.591,-8.042,-17.833,-9.261,2.417,-6.726,-7.851,-8.217,-8.075,-16.659,0.971,-14.536,-2.188,-17.626,-14.827,-3.915,1.390,1.141,-2.102,-11.769,-17.332
1947,-16.999,-12.644,-13.808,-11.963,-0.531,2.921,4.697,3.000,-1.751,-10.722,-13.264,-16.799,-7.322,-15.412,-8.767,3.539,-8.579,-7.305,-7.176,-6.866,-14.354,1.667,-12.960,-2.050,-14.484,-12.805,-3.191,2.362,1.982,-3.158,-13.595,-15.105
1948,-20.408,-20.390,-23.713,-13.214,-5.128,6.551,8.626,4.365,-1.473,-9.915,-17.770,-25.855,-9.860,-19.199,-14.018,6.514,-9.720,-9.106,-8.730,-8.798,-18.915,2.588,-16.930,-1.455,-21.504,-19.106,-3.930,3.350,3.839,-2.341,-17.847,-16.824
1949,-22.552,-26.673,-16.343,-15.966,-3.113,3.224,4.193,1.635,-2.409,-9.173,-14.713,-17.937,-9.986,-25.027,-11.807,3.017,-8.765,-10.645,-10.900,-10.962,-21.839,0.706,-19.296,-3.087,-21.856,-19.661,-5.285,1.435,1.139,-3.316,-13.941,-22.059
