=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (66.8415N; 296.173E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-32.555,-30.489,-29.511,-22.158,-10.959,-4.170,-3.664,-2.485,-5.769,-18.557,-26.188,-33.540,-18.337,-999,-20.876,-3.440,-16.838,-999,-999,-999,-999,-5.409,-999,-9.680,-30.852,-27.386,-12.429,-6.264,-3.973,-8.937,-26.095,-999
1941,-32.083,-31.081,-29.725,-26.784,-13.237,-4.351,-0.493,-2.018,-8.699,-14.134,-28.445,-32.923,-18.664,-32.235,-23.249,-2.287,-17.093,-18.716,-18.528,-18.896,-30.524,-5.760,-28.280,-9.959,-30.963,-29.197,-14.791,-6.027,-3.736,-8.284,-25.167,-30.604
1942,-34.698,-34.593,-29.970,-23.570,-11.035,-3.722,-0.540,-3.222,-9.077,-18.691,-28.747,-31.292,-19.096,-34.071,-21.525,-2.495,-18.838,-19.232,-19.207,-18.827,-32.126,-5.519,-28.333,-9.980,-33.087,-29.378,-12.775,-5.099,-4.280,-10.330,-26.243,-32.022
1943,-32.137,-38.811,-36.347,-27.744,-14.012,-5.022,-1.376,-1.629,-7.762,-18.090,-25.937,-31.730,-20.050,-34.080,-26.034,-2.675,-17.263,-20.013,-20.247,-20.297,-33.467,-5.960,-30.538,-10.805,-35.765,-34.301,-15.593,-6.803,-3.589,-9.160,-25.252,-30.725
1944,-35.016,-33.111,-32.639,-21.648,-13.926,-3.987,-0.847,-2.635,-6.701,-17.276,-28.688,-33.238,-19.143,-33.286,-22.738,-2.490,-17.555,-19.017,-18.788,-18.856,-31.687,-5.619,-28.310,-9.574,-33.589,-29.133,-13.187,-6.253,-3.394,-8.871,-26.401,-30.894
1945,-29.654,-36.679,-28.375,-25.790,-14.166,-4.004,-1.129,-2.104,-9.298,-16.236,-28.900,-31.644,-18.998,-33.190,-22.777,-2.413,-18.145,-19.131,-19.114,-19.200,-31.327,-6.140,-28.529,-10.390,-31.569,-30.281,-14.654,-6.433,-4.177,-9.213,-25.593,-30.527
1946,-35.213,-33.610,-26.266,-25.329,-10.500,-4.095,-0.959,-1.128,-8.284,-17.029,-25.263,-32.694,-18.364,-33.489,-20.698,-2.061,-16.859,-18.277,-18.580,-18.514,-31.126,-4.993,-28.171,-9.618,-31.696,-28.402,-13.308,-5.185,-3.457,-8.814,-24.996,-31.919
1947,-32.609,-27.743,-26.854,-23.722,-12.430,-3.944,-1.197,-4.259,-7.980,-19.329,-23.672,-29.507,-17.770,-31.015,-21.002,-3.133,-16.994,-18.036,-18.169,-17.977,-29.033,-5.962,-26.559,-10.409,-29.069,-26.106,-13.365,-5.857,-4.479,-10.523,-24.170,-30.189
1948,-32.539,-35.790,-37.735,-25.909,-12.627,-2.765,0.786,0.753,-6.625,-14.272,-21.442,-36.859,-18.752,-32.612,-25.424,-0.409,-14.113,-18.139,-18.325,-18.747,-31.849,-4.096,-29.212,-8.666,-35.355,-33.144,-13.767,-4.869,-1.695,-6.715,-24.191,-28.573
1949,-39.802,-42.049,-35.134,-27.370,-14.695,-3.298,0.572,-1.260,-7.967,-20.203,-25.911,-27.650,-20.397,-39.570,-25.733,-1.329,-18.027,-21.165,-20.792,-20.298,-35.057,-5.329,-30.990,-10.603,-38.995,-34.851,-15.121,-5.807,-2.885,-9.810,-24.588,-32.701
