=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (66.8415N; 297E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-27.324,-24.521,-23.512,-15.789,-5.947,-0.692,0.420,0.252,-1.675,-10.055,-18.260,-27.509,-12.884,-999,-15.083,-0.007,-9.997,-999,-999,-999,-999,-1.528,-999,-4.784,-25.119,-21.274,-7.476,-2.073,-0.334,-3.826,-18.608,-999
1941,-26.485,-25.358,-23.937,-20.047,-8.429,-0.576,1.717,0.932,-3.022,-6.740,-19.045,-26.575,-13.130,-26.451,-17.471,0.691,-9.602,-13.208,-13.143,-13.419,-24.310,-1.876,-21.664,-5.166,-25.260,-23.114,-9.684,-2.429,-0.125,-2.943,-17.453,-24.085
1942,-29.013,-29.139,-23.668,-17.272,-6.599,-0.225,1.143,0.078,-3.009,-9.828,-19.430,-25.416,-13.531,-28.242,-15.846,0.332,-10.756,-13.628,-13.596,-13.339,-25.488,-1.722,-21.636,-5.102,-27.273,-23.360,-8.032,-1.894,-0.596,-4.253,-18.224,-24.878
1943,-25.800,-32.528,-29.436,-19.923,-8.027,-1.080,1.724,0.798,-2.886,-9.038,-17.500,-25.565,-14.105,-27.915,-19.129,0.480,-9.808,-14.093,-14.254,-14.319,-26.522,-1.895,-23.194,-5.490,-29.255,-27.295,-9.677,-2.461,-0.122,-3.709,-17.368,-23.549
1944,-29.245,-27.254,-24.893,-14.118,-8.016,-0.405,1.865,0.900,-1.237,-8.891,-18.662,-27.323,-13.107,-27.355,-15.676,0.787,-9.597,-12.960,-12.863,-12.876,-24.892,-1.379,-21.088,-4.272,-27.131,-22.089,-7.513,-2.185,0.509,-3.076,-18.292,-24.103
1945,-24.318,-30.019,-21.802,-18.653,-7.732,0.115,1.485,0.801,-2.736,-7.722,-19.490,-25.265,-12.945,-27.220,-16.062,0.800,-9.983,-13.116,-13.047,-13.145,-24.425,-1.613,-21.381,-4.920,-25.380,-23.491,-8.757,-2.044,-0.150,-3.219,-17.492,-23.434
1946,-29.096,-28.123,-20.492,-18.633,-5.318,0.214,1.688,0.972,-2.563,-8.337,-15.905,-26.279,-12.656,-27.495,-14.814,0.958,-8.935,-12.572,-12.870,-12.819,-24.493,-1.002,-21.260,-4.568,-25.904,-22.416,-7.912,-1.139,0.032,-3.310,-16.840,-24.617
1947,-26.988,-21.365,-20.509,-16.868,-7.068,0.189,1.761,-0.342,-1.950,-9.222,-14.498,-22.319,-11.598,-24.877,-14.815,0.536,-8.557,-11.928,-12.045,-11.972,-22.209,-1.482,-19.464,-4.786,-22.954,-19.581,-7.916,-1.706,-0.177,-3.838,-15.347,-23.057
1948,-26.569,-29.956,-30.366,-18.087,-6.628,0.831,3.206,2.261,-0.995,-6.360,-15.423,-29.984,-13.172,-26.281,-18.360,2.099,-7.593,-12.534,-12.457,-12.695,-24.742,-0.265,-21.574,-3.682,-28.964,-26.136,-7.961,-0.864,1.491,-1.698,-17.256,-21.129
1949,-33.645,-35.958,-27.564,-19.132,-8.213,1.287,2.513,1.598,-1.806,-10.044,-17.689,-22.752,-14.284,-33.196,-18.303,1.799,-9.846,-14.886,-14.698,-14.391,-28.515,-0.924,-24.009,-4.828,-32.389,-27.551,-8.686,-1.471,0.768,-3.417,-16.828,-26.351
1950,-33.687,-28.792,-23.303,-17.478,-6.592,0.930,2.863,1.052,-2.865,-10.105,-16.781,-20.878,-12.970,-28.410,-15.791,1.615,-9.917,-13.126,-13.202,-13.196,-25.245,-0.922,-21.964,-4.599,-28.594,-23.191,-7.714,-0.933,0.350,-3.973,-15.921,-24.709
1951,-28.231,-33.129,-21.581,-15.569,-6.982,1.070,1.902,0.579,-0.274,-8.686,-17.662,-27.869,-13.036,-27.413,-14.711,1.184,-8.874,-12.453,-12.380,-12.498,-24.120,-0.741,-20.896,-3.994,-27.647,-23.426,-7.160,-1.337,0.736,-2.794,-18.072,-21.964
1952,-29.978,-29.336,-22.692,-15.421,-2.854,0.633,2.600,1.249,-1.062,-8.457,-15.638,-21.632,-11.882,-29.061,-13.656,1.494,-8.386,-12.402,-12.571,-12.590,-25.507,0.113,-21.663,-3.330,-27.335,-22.483,-5.881,0.127,0.929,-2.756,-15.242,-25.169
1953,-27.035,-28.943,-26.225,-11.142,-3.891,-0.579,1.963,2.589,-2.554,-8.017,-17.120,-31.011,-12.664,-25.870,-13.753,1.324,-9.230,-11.882,-11.759,-11.795,-23.895,-0.494,-19.867,-3.090,-27.401,-22.103,-5.204,-0.836,0.666,-2.661,-18.716,-21.435
1954,-27.498,-29.781,-22.887,-15.930,-4.345,0.123,2.214,1.840,-0.977,-7.396,-19.005,-25.302,-12.412,-29.430,-14.387,1.393,-9.126,-12.888,-12.731,-12.782,-25.659,-0.229,-21.749,-3.496,-26.722,-22.866,-6.717,-0.669,1.026,-2.178,-17.235,-25.210
1955,-28.323,-26.189,-25.100,-17.978,-4.323,0.819,1.837,1.605,-2.437,-2.931,-15.243,-21.281,-11.629,-26.605,-15.800,1.420,-6.870,-11.964,-12.277,-12.649,-24.784,-0.500,-21.328,-3.344,-26.537,-23.089,-7.161,-0.556,0.335,-1.254,-13.152,-24.210
1956,-25.094,-26.996,-26.383,-12.368,-8.638,-0.709,2.522,2.556,-0.925,-8.853,-21.137,-28.912,-12.911,-24.457,-15.796,1.456,-10.305,-12.275,-11.784,-11.291,-23.000,-1.039,-18.614,-3.773,-26.158,-21.916,-7.238,-2.275,1.384,-2.407,-19.634,-20.540
1957,-32.553,-26.085,-19.001,-16.480,-7.450,1.688,5.053,2.465,0.888,-7.425,-19.314,-25.423,-11.970,-29.183,-14.310,3.069,-8.617,-12.260,-12.412,-12.531,-25.537,0.529,-21.860,-3.037,-25.879,-20.522,-7.414,-0.236,2.802,-1.357,-17.388,-27.534
1958,-26.784,-24.185,-21.219,-18.278,-3.736,1.386,3.984,1.729,-1.415,-8.295,-23.908,-21.461,-11.849,-25.464,-14.411,2.366,-11.206,-12.179,-11.796,-11.723,-23.385,0.390,-20.375,-3.518,-24.063,-21.227,-6.876,0.545,1.433,-2.660,-17.888,-23.841
1959,-20.215,-29.522,-29.825,-17.079,-7.947,-0.968,1.009,0.344,-2.357,-10.431,-15.663,-22.838,-12.958,-23.733,-18.284,0.128,-9.484,-12.843,-13.530,-13.352,-24.986,-1.984,-21.472,-5.347,-26.521,-25.475,-8.665,-2.635,-0.335,-4.148,-16.311,-21.862
1960,-25.691,-22.083,-26.753,-21.749,-6.813,-0.893,2.225,1.150,-3.638,-4.947,-14.593,-24.046,-12.319,-23.538,-18.438,0.827,-7.726,-12.219,-12.308,-12.765,-22.606,-1.594,-20.744,-4.952,-24.842,-23.528,-9.818,-1.827,-0.088,-2.478,-14.529,-21.397
1961,-32.681,-33.139,-33.542,-16.291,-9.097,-0.317,2.416,0.721,-3.101,-9.355,-22.933,-23.668,-15.082,-29.956,-19.643,0.940,-11.796,-15.114,-14.419,-14.051,-27.600,-1.875,-22.748,-5.003,-33.121,-27.657,-8.568,-2.332,0.012,-3.912,-18.652,-23.773
1962,-27.783,-32.833,-18.820,-16.393,-7.871,-1.259,2.426,0.841,-3.958,-10.071,-15.422,-24.030,-12.931,-28.095,-14.361,0.669,-9.817,-12.901,-13.527,-13.467,-25.207,-1.964,-21.683,-5.183,-26.478,-22.682,-8.507,-2.235,-0.230,-4.396,-16.508,-24.795
1963,-21.511,-20.736,-27.561,-16.464,-8.988,-1.545,0.877,1.140,-6.556,-10.197,-18.621,-24.531,-12.891,-22.092,-17.671,0.157,-11.791,-12.849,-12.583,-12.572,-21.852,-3.014,-19.399,-5.962,-23.269,-21.587,-8.999,-3.219,-1.513,-5.204,-17.783,-20.321
1964,-27.443,-24.906,-31.585,-18.786,-9.342,-1.420,1.202,0.002,-1.619,-10.225,-18.256,-20.615,-13.583,-25.627,-19.904,-0.072,-10.033,-13.909,-13.940,-13.937,-25.417,-2.235,-22.296,-5.741,-27.978,-25.093,-9.849,-3.187,-0.138,-3.947,-16.365,-23.532
1965,-27.182,-23.633,-22.541,-19.346,-3.896,-0.858,1.337,-0.638,-4.811,-12.728,-20.643,-25.525,-13.372,-23.810,-15.261,-0.053,-12.728,-12.963,-12.764,-12.555,-22.445,-1.773,-20.257,-5.849,-24.452,-21.840,-8.033,-1.139,-1.371,-6.059,-19.632,-22.018
1966,-27.202,-25.347,-26.526,-16.927,-10.053,-1.768,0.828,0.908,-2.988,-5.789,-17.676,-25.943,-13.207,-26.025,-17.835,-0.011,-8.818,-13.172,-13.419,-13.998,-25.049,-2.615,-22.128,-5.113,-26.359,-22.934,-9.582,-3.664,-0.417,-2.623,-16.469,-24.457
1967,-23.084,-28.617,-24.731,-19.408,-3.858,-1.180,2.555,1.568,-1.857,-8.558,-18.433,-21.073,-12.223,-25.881,-15.999,0.981,-9.616,-12.629,-12.566,-12.335,-24.010,-0.554,-20.750,-4.391,-25.477,-24.252,-8.149,-0.828,0.755,-2.949,-16.021,-22.234
1968,-27.146,-25.624,-26.576,-11.799,-6.103,-0.370,2.021,1.136,-0.427,-3.998,-14.682,-20.828,-11.200,-24.614,-14.826,0.929,-6.369,-11.220,-11.533,-11.913,-23.770,-0.749,-19.887,-2.791,-26.449,-21.333,-6.091,-1.484,0.910,-1.096,-13.169,-22.217
1969,-19.917,-17.452,-24.803,-19.868,-6.231,-0.943,2.594,1.597,-3.651,-7.276,-14.695,-22.208,-11.071,-19.399,-16.967,1.083,-8.541,-10.956,-10.955,-10.682,-19.536,-1.327,-17.364,-4.825,-20.724,-20.708,-9.014,-1.527,0.180,-3.110,-14.726,-18.475
1970,-27.393,-23.983,-22.710,-16.668,-9.813,-1.410,1.253,0.441,-2.537,-5.931,-13.998,-23.864,-12.218,-24.528,-16.397,0.094,-7.489,-12.080,-12.138,-12.250,-22.198,-2.413,-19.276,-4.952,-24.695,-21.120,-9.297,-3.323,-0.281,-2.676,-14.598,-21.432
1971,-25.675,-27.539,-21.717,-17.454,-7.636,-0.690,2.247,0.780,-2.055,-6.725,-16.919,-29.853,-12.770,-25.693,-15.602,0.779,-8.566,-12.271,-12.027,-11.961,-22.559,-1.471,-19.454,-4.505,-24.977,-22.237,-8.593,-2.026,0.324,-2.667,-17.832,-21.179
1972,-30.059,-28.732,-26.629,-17.659,-8.722,-3.077,0.884,-0.178,-3.062,-10.109,-21.151,-25.827,-14.527,-29.548,-17.670,-0.790,-11.441,-14.862,-14.510,-14.228,-26.439,-2.831,-22.368,-5.989,-28.474,-24.340,-9.819,-3.638,-0.785,-4.450,-19.029,-25.610
1973,-24.369,-28.747,-25.119,-18.245,-7.414,-0.865,1.397,2.140,-1.350,-5.589,-12.352,-20.882,-11.783,-26.314,-16.926,0.891,-6.430,-12.195,-12.928,-13.305,-25.043,-1.219,-21.938,-4.275,-26.078,-24.037,-8.841,-2.294,0.729,-1.600,-12.941,-23.782
1974,-25.978,-25.794,-25.247,-17.944,-6.579,0.890,2.472,2.012,-2.310,-6.450,-15.986,-28.422,-12.445,-24.218,-16.590,1.791,-8.249,-11.816,-11.514,-11.442,-22.051,-0.703,-19.112,-3.987,-25.673,-22.995,-7.878,-1.072,0.725,-2.249,-16.953,-19.737
1975,-28.289,-27.233,-27.319,-18.740,-5.960,1.527,2.521,2.280,-1.954,-6.796,-17.367,-23.757,-12.590,-27.981,-17.339,2.109,-8.706,-12.979,-12.864,-12.835,-25.450,-0.317,-21.777,-3.875,-27.613,-24.430,-7.724,-0.637,0.949,-2.157,-15.973,-24.232
1976,-25.619,-27.250,-24.276,-16.648,-6.847,-0.568,2.061,0.724,-1.484,-10.191,-17.413,-20.860,-12.364,-25.542,-15.924,0.739,-9.696,-12.606,-12.602,-12.319,-23.654,-1.223,-20.245,-4.708,-25.715,-22.725,-8.021,-1.785,0.434,-3.651,-16.155,-22.247
1977,-18.250,-23.858,-19.761,-13.733,-5.753,0.163,3.479,2.799,-2.554,-7.810,-14.230,-25.391,-10.408,-20.989,-13.082,2.147,-8.198,-10.031,-10.296,-10.494,-20.028,-0.373,-17.724,-3.344,-20.623,-19.117,-6.441,-0.704,1.242,-2.521,-15.810,-18.841
1978,-28.496,-24.275,-26.447,-17.112,-6.700,-2.046,2.780,2.974,-2.202,-9.504,-22.908,-17.555,-12.624,-26.054,-16.753,1.236,-11.538,-13.277,-12.554,-12.413,-23.768,-1.039,-20.537,-4.544,-26.406,-22.611,-8.619,-1.988,1.184,-2.911,-16.656,-22.706
1979,-21.812,-29.850,-22.336,-12.953,-7.395,-0.597,3.764,3.774,-1.952,-7.942,-19.952,-25.614,-11.905,-23.072,-14.228,2.314,-9.949,-11.234,-11.480,-11.610,-22.892,-0.481,-19.560,-3.329,-24.666,-21.713,-6.981,-1.409,1.862,-2.040,-17.836,-20.758
1980,-19.782,-23.570,-20.218,-16.642,-4.237,-0.021,5.149,5.307,-0.964,-7.573,-14.349,-23.723,-10.052,-22.989,-13.699,3.478,-7.629,-10.209,-10.676,-10.707,-21.827,1.047,-19.103,-2.711,-21.190,-20.143,-6.966,0.297,3.164,-1.077,-15.215,-21.782
1981,-25.502,-27.789,-19.122,-16.572,-6.840,-0.332,4.572,3.925,0.533,-6.853,-15.816,-21.253,-10.921,-25.671,-14.178,2.721,-7.379,-11.127,-11.004,-11.064,-22.097,0.371,-19.233,-3.081,-24.138,-21.161,-7.915,-0.867,3.010,-0.799,-14.641,-21.191
1982,-22.483,-29.061,-24.363,-17.314,-7.394,1.770,4.473,2.637,-2.262,-8.165,-17.488,-25.350,-12.083,-24.266,-16.357,2.960,-9.305,-11.742,-11.603,-11.493,-22.595,-0.155,-19.592,-3.751,-25.303,-23.580,-7.646,-0.384,1.616,-2.597,-17.001,-19.851
1983,-35.406,-30.501,-26.411,-17.385,-8.929,0.634,2.807,0.450,-0.978,-9.710,-20.016,-25.028,-14.206,-30.419,-17.575,1.297,-10.235,-14.233,-14.022,-13.893,-27.031,-1.203,-22.958,-4.730,-30.772,-24.765,-8.560,-1.829,0.760,-3.413,-18.251,-26.081
1984,-32.975,-34.522,-25.954,-18.328,-8.311,1.115,6.321,2.545,-1.841,-6.842,-13.675,-25.003,-13.123,-30.842,-17.531,3.327,-7.453,-13.125,-13.653,-13.892,-27.699,-0.034,-23.790,-3.620,-31.150,-26.268,-8.508,-0.292,2.342,-2.046,-15.173,-26.006
1985,-22.789,-26.134,-25.337,-15.973,-5.497,3.048,4.435,5.447,1.378,-7.409,-13.547,-17.170,-9.963,-24.642,-15.602,4.310,-6.526,-10.615,-10.626,-10.579,-22.588,1.762,-19.393,-2.082,-24.754,-22.481,-6.141,0.662,3.753,-0.195,-12.709,-20.489
1986,-25.019,-19.449,-26.063,-16.563,-5.869,-1.693,3.989,3.726,-1.644,-12.812,-23.786,-27.178,-12.697,-20.546,-16.165,2.007,-12.748,-11.863,-11.010,-10.559,-20.250,-0.298,-17.889,-4.409,-23.510,-20.691,-8.041,-1.191,2.024,-3.577,-21.259,-18.579
1987,-27.904,-30.966,-23.927,-19.126,-9.335,-0.229,3.824,4.853,1.674,-7.964,-16.824,-24.193,-12.510,-28.683,-17.462,2.816,-7.705,-12.758,-13.339,-13.743,-26.752,0.158,-23.671,-3.758,-27.599,-24.673,-9.563,-1.913,3.450,-0.479,-16.327,-26.289
1988,-28.490,-21.193,-21.991,-13.828,-5.636,0.547,3.780,3.895,-1.287,-5.392,-15.605,-25.897,-10.925,-24.625,-13.819,2.741,-7.428,-10.783,-10.884,-11.099,-22.538,0.260,-19.212,-2.560,-23.891,-19.004,-6.306,-0.436,2.130,-0.928,-15.631,-23.169
