=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (60.812N; 224.789E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-23.966,-20.991,-13.669,-5.154,-1.570,1.246,7.119,4.091,3.530,-1.346,-14.389,-14.669,-6.647,-999,-6.798,4.152,-4.068,-999,-999,-999,-999,2.883,-999,1.131,-19.542,-13.271,-1.826,2.265,4.913,2.092,-10.135,-999
1941,-20.923,-17.324,-9.008,-3.442,-1.556,3.512,4.408,5.978,0.946,-2.931,-13.355,-20.970,-6.222,-17.639,-4.669,4.633,-5.113,-5.697,-5.783,-5.651,-15.263,2.658,-11.586,0.988,-15.751,-9.925,-0.495,2.122,3.777,1.331,-12.419,-16.661
1942,-14.004,-11.935,-10.306,-5.066,0.856,2.153,5.403,6.053,3.721,-0.759,-17.762,-28.818,-5.872,-15.636,-4.839,4.537,-4.933,-5.218,-4.851,-5.032,-14.114,3.637,-11.224,1.766,-12.082,-9.102,-0.686,2.804,5.059,3.005,-15.780,-16.110
1943,-28.559,-18.067,-14.671,-4.713,-0.991,3.492,4.392,4.373,2.369,-2.295,-5.411,-9.111,-5.766,-25.148,-6.791,4.086,-1.779,-7.408,-8.437,-8.310,-21.575,2.727,-16.193,0.947,-20.432,-12.483,-0.737,2.298,3.711,1.482,-5.606,-25.046
1944,-12.967,-14.200,-12.180,-6.589,-0.449,4.177,5.462,5.158,3.531,0.226,-10.146,-15.341,-4.443,-12.093,-6.406,4.932,-2.129,-3.924,-3.530,-3.740,-10.774,3.576,-8.965,1.645,-13.116,-10.990,-0.954,3.063,4.717,2.972,-8.420,-9.163
1945,-15.337,-15.855,-9.389,-8.699,-0.896,1.357,4.428,4.136,1.459,-2.012,-17.923,-18.763,-6.458,-15.511,-6.328,3.307,-6.159,-6.173,-5.524,-5.338,-13.213,2.097,-10.648,-0.032,-13.527,-11.314,-2.746,1.629,3.341,1.195,-12.899,-13.608
1946,-19.033,-16.415,-11.737,-6.167,-0.022,4.583,5.070,3.815,1.581,-2.660,-17.549,-28.300,-7.236,-18.070,-5.975,4.489,-6.209,-6.441,-6.472,-6.418,-16.774,3.006,-13.150,0.886,-15.728,-11.440,-0.535,3.211,3.489,0.912,-16.169,-18.573
1947,-26.870,-22.581,-7.180,-5.025,-0.348,2.355,5.670,4.278,2.557,-1.542,-5.856,-13.443,-5.665,-25.917,-4.184,4.101,-1.614,-6.903,-7.878,-7.971,-20.496,2.903,-15.738,1.135,-18.877,-11.595,-1.006,2.559,4.169,1.764,-6.947,-24.240
1948,-17.697,-26.888,-18.895,-11.618,-0.998,2.302,4.954,4.140,0.537,-4.021,-18.112,-30.204,-9.708,-19.343,-10.504,3.798,-7.199,-8.312,-7.290,-7.084,-16.556,2.187,-13.705,-0.672,-21.160,-19.133,-3.438,2.086,3.210,0.219,-17.446,-12.332
1949,-21.515,-27.937,-10.851,-5.857,-3.099,0.136,5.139,5.351,3.444,-4.385,-6.798,-27.165,-7.795,-26.552,-6.602,3.542,-2.580,-8.048,-8.991,-8.961,-21.724,2.194,-16.928,0.104,-20.101,-14.882,-2.940,0.725,4.644,1.470,-12.783,-23.277
1950,-28.490,-26.362,-12.457,-8.831,-1.672,4.357,4.448,5.465,2.947,-4.499,-22.855,-17.530,-8.790,-27.339,-7.653,4.757,-8.136,-9.593,-8.255,-8.245,-20.254,3.109,-16.355,0.316,-22.436,-15.883,-2.049,2.378,4.287,1.304,-14.961,-20.818
1951,-28.306,-23.050,-18.722,-4.954,-0.511,3.062,7.288,5.152,2.350,-6.683,-13.820,-25.091,-8.607,-22.962,-8.062,5.167,-6.051,-7.977,-8.730,-8.548,-22.093,3.468,-17.131,0.815,-23.359,-15.575,-0.801,3.280,4.930,0.273,-15.198,-22.897
1952,-32.172,-16.121,-12.624,-6.654,-2.162,2.337,5.427,4.858,2.455,-0.384,-4.468,-15.455,-6.247,-24.462,-7.147,4.207,-0.799,-7.050,-7.829,-8.354,-19.966,2.583,-16.167,0.839,-20.306,-11.800,-2.160,1.867,4.247,2.309,-6.769,-23.695
1953,-32.416,-12.286,-14.731,-4.870,0.665,4.909,7.839,6.738,1.774,-2.197,-13.411,-15.576,-6.130,-20.052,-6.312,6.495,-4.611,-6.120,-5.375,-5.224,-15.871,4.385,-12.087,2.123,-19.811,-10.629,0.235,4.471,5.450,2.105,-10.395,-17.446
1954,-27.516,-22.168,-12.415,-11.709,-0.175,2.970,5.066,6.269,2.406,-2.307,-6.244,-21.446,-7.272,-21.753,-8.100,4.768,-2.048,-6.783,-7.381,-7.371,-18.217,3.307,-14.999,0.360,-20.700,-15.431,-2.971,2.620,4.580,2.123,-9.999,-18.834
1955,-16.332,-18.380,-16.107,-7.556,-3.037,0.736,5.548,4.101,1.333,-4.573,-23.249,-27.497,-8.751,-18.719,-8.900,3.462,-8.830,-8.247,-6.830,-6.641,-15.702,1.736,-12.625,-0.493,-16.939,-14.014,-3.286,1.082,3.661,0.287,-18.440,-14.674
1956,-27.708,-22.636,-15.978,-6.523,-1.588,1.806,6.358,5.698,1.512,-5.665,-7.446,-26.547,-8.227,-25.947,-8.030,4.620,-3.867,-8.306,-9.623,-9.532,-23.414,2.757,-18.309,0.228,-22.107,-15.046,-2.102,2.192,4.522,0.515,-13.220,-26.152
1957,-26.083,-19.048,-10.592,-5.652,0.533,5.075,5.482,7.341,4.225,-2.895,-5.686,-19.275,-5.548,-23.893,-5.237,5.966,-1.452,-6.154,-6.301,-6.532,-17.943,4.531,-14.433,2.015,-18.574,-11.764,-0.015,3.696,5.683,2.890,-9.285,-20.026
1958,-15.499,-21.837,-12.642,-3.950,-0.232,4.444,5.351,4.491,0.305,-5.266,-12.524,-19.933,-6.441,-18.870,-5.608,4.762,-5.828,-6.386,-5.816,-5.619,-14.988,2.872,-11.683,0.735,-16.659,-12.810,0.087,3.188,3.382,-0.157,-12.574,-13.486
1959,-32.581,-15.571,-14.822,-7.349,-1.013,5.081,3.818,4.269,2.086,-5.899,-11.280,-14.199,-7.289,-22.695,-7.728,4.389,-5.031,-7.766,-7.870,-7.817,-19.086,2.848,-15.435,0.142,-20.992,-12.581,-1.094,2.629,3.391,0.152,-10.460,-21.679
1960,-20.230,-14.926,-15.533,-6.289,-1.903,2.203,4.676,5.053,1.508,-3.090,-12.493,-13.645,-6.222,-16.452,-7.908,3.977,-4.692,-6.269,-6.168,-6.402,-15.234,2.307,-12.622,0.308,-16.896,-12.249,-1.997,1.658,3.746,1.157,-9.743,-15.236
1961,-18.030,-19.166,-13.320,-7.245,-2.995,2.006,5.490,4.984,1.008,-5.356,-17.375,-29.294,-8.274,-16.947,-7.853,4.160,-7.241,-6.970,-6.563,-6.375,-15.331,2.099,-12.427,-0.301,-16.839,-13.244,-2.745,1.500,3.827,0.212,-17.342,-14.723
1962,-22.320,-19.328,-15.335,-6.534,-3.318,1.854,5.659,5.726,0.500,-2.386,-10.848,-18.714,-7.087,-23.647,-8.396,4.413,-4.245,-7.969,-8.513,-8.760,-20.730,2.084,-16.506,0.214,-18.994,-13.732,-2.666,1.398,3.961,1.280,-10.650,-22.996
1963,-19.255,-13.732,-14.893,-9.043,-2.960,0.479,5.315,6.156,4.028,-2.123,-20.712,-15.575,-6.860,-17.234,-8.965,3.983,-6.269,-7.121,-6.299,-6.321,-15.489,2.603,-12.696,0.264,-15.960,-12.556,-3.841,0.945,5.166,2.687,-12.803,-16.273
1964,-22.106,-12.932,-19.324,-9.002,-4.739,3.140,4.541,4.227,1.143,-2.388,-14.726,-31.864,-8.669,-16.871,-11.022,3.969,-5.324,-7.312,-7.811,-7.788,-18.130,1.662,-14.539,-0.440,-18.121,-13.753,-3.534,0.981,3.303,0.994,-16.326,-19.464
1965,-26.069,-24.048,-9.682,-7.548,-4.091,-0.009,4.296,3.859,3.045,-3.359,-17.799,-21.101,-8.542,-27.327,-7.107,2.715,-6.038,-9.439,-9.183,-9.102,-21.278,1.420,-16.618,-0.544,-19.933,-13.759,-3.883,0.065,3.734,1.182,-14.086,-24.220
1966,-37.783,-16.356,-14.498,-8.374,-3.734,2.197,5.230,3.362,1.802,-5.277,-20.700,-23.038,-9.764,-25.080,-8.869,3.596,-8.058,-9.603,-9.361,-9.201,-21.507,1.771,-17.038,-0.685,-22.879,-13.076,-3.304,1.231,3.465,-0.037,-16.338,-25.561
