=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (60.812N; 224.789E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-20.900,-17.681,-9.809,-0.275,3.680,8.153,12.986,9.643,7.641,1.242,-12.088,-12.619,-2.502,-999,-2.135,10.261,-1.068,-999,-999,-999,-999,8.421,-999,6.153,-16.130,-9.255,3.853,8.273,10.090,6.175,-7.822,-999
1941,-18.190,-14.135,-5.351,1.088,4.538,10.375,12.266,13.155,5.224,-0.749,-11.305,-18.585,-1.806,-14.981,0.092,11.932,-2.277,-1.309,-1.374,-1.208,-12.476,9.111,-8.579,6.556,-12.559,-6.132,5.334,9.060,10.215,5.876,-10.213,-14.299
1942,-11.829,-9.508,-6.631,-0.465,6.874,10.757,12.292,11.527,8.043,1.676,-15.453,-25.889,-1.550,-13.307,-0.074,11.525,-1.911,-0.942,-0.596,-0.798,-11.572,9.899,-8.439,7.243,-9.323,-5.535,5.722,9.974,10.621,7.082,-13.222,-13.906
1943,-25.134,-15.159,-10.698,-0.098,4.047,10.164,11.380,10.530,6.754,0.945,-3.846,-7.084,-1.517,-22.061,-2.250,10.691,1.284,-3.084,-4.051,-3.990,-18.466,8.575,-12.965,6.246,-16.997,-8.652,4.704,8.530,9.555,6.076,-3.328,-22.159
1944,-10.494,-11.477,-8.206,-1.747,5.005,11.442,13.330,11.179,7.638,2.566,-8.419,-13.145,-0.194,-9.685,-1.649,11.984,0.595,0.311,0.692,0.557,-8.221,9.719,-5.987,7.059,-10.059,-7.143,4.900,9.926,10.716,7.128,-6.333,-7.141
1945,-12.978,-12.706,-5.689,-3.683,4.944,9.036,10.772,11.760,5.666,0.768,-15.515,-16.419,-2.004,-12.943,-1.476,10.523,-3.027,-1.731,-1.140,-0.990,-10.588,8.436,-7.722,5.609,-10.458,-7.359,3.433,8.251,9.399,6.065,-10.389,-11.514
1946,-16.578,-13.504,-7.600,-1.285,6.496,13.249,12.590,10.741,7.013,-0.323,-14.704,-25.247,-2.429,-15.500,-0.796,12.194,-2.672,-1.694,-1.761,-1.670,-13.923,10.018,-10.019,6.926,-12.561,-7.463,6.153,10.778,10.115,5.810,-13.425,-16.171
1947,-23.882,-19.332,-3.753,-0.821,5.749,9.677,13.615,9.953,6.194,1.356,-4.332,-11.485,-1.422,-22.820,0.392,11.082,1.073,-2.569,-3.433,-3.573,-17.384,9.038,-12.580,6.532,-15.656,-7.969,4.868,9.680,9.921,5.834,-4.820,-21.278
1948,-15.149,-22.763,-14.321,-6.272,3.900,10.194,12.120,9.621,4.443,-1.356,-15.610,-26.873,-5.172,-16.466,-5.564,10.645,-4.175,-3.890,-2.950,-2.724,-13.610,8.055,-10.424,4.664,-17.411,-14.452,2.607,8.738,8.728,4.236,-14.613,-10.322
1949,-18.581,-23.942,-6.673,-1.359,2.407,6.289,10.375,10.162,7.423,-2.173,-5.550,-24.244,-3.822,-23.132,-1.875,8.942,-0.100,-4.041,-4.880,-4.812,-18.336,7.331,-13.485,4.732,-16.399,-10.658,2.446,6.357,9.320,5.137,-10.656,-20.355
