=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (65.92N; 210.17E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-24.221,-23.940,-20.228,-4.969,0.541,8.322,9.725,6.114,1.659,-7.027,-21.173,-25.492,-8.391,-999,-8.218,8.054,-8.847,-999,-999,-999,-999,5.272,-999,2.052,-22.796,-16.379,1.298,6.196,5.833,0.249,-17.897,-999
1941,-29.741,-19.480,-21.334,-7.392,-1.071,4.825,7.925,5.683,-3.816,-12.017,-26.726,-28.302,-10.954,-24.904,-9.932,6.144,-14.186,-10.720,-10.257,-9.841,-23.444,2.709,-18.805,-0.837,-23.518,-16.068,-1.213,3.893,3.264,-3.383,-22.348,-25.468
1942,-23.821,-19.988,-20.773,-8.007,-0.543,7.605,6.644,6.372,1.571,-9.201,-26.552,-36.825,-10.293,-24.037,-9.774,6.873,-11.394,-9.583,-9.597,-9.832,-23.922,4.330,-19.948,0.634,-21.527,-16.256,-0.315,4.568,4.862,-0.419,-24.193,-26.283
1943,-38.042,-22.672,-19.032,-8.213,0.263,7.697,9.206,5.922,0.142,-7.148,-17.292,-25.211,-9.532,-32.513,-8.994,7.608,-8.099,-10.500,-11.271,-11.442,-28.625,4.646,-22.934,1.124,-26.582,-16.639,-0.084,5.722,5.090,-0.361,-16.550,-33.806
1944,-25.313,-20.445,-17.592,-9.675,1.272,7.993,10.307,6.398,-0.053,-6.576,-21.017,-22.765,-8.122,-23.656,-8.665,8.233,-9.215,-8.326,-8.016,-8.063,-21.171,5.184,-17.525,1.381,-21.117,-15.904,-0.137,6.524,5.551,-0.077,-16.786,-22.605
1945,-22.269,-21.732,-19.234,-10.763,-2.760,6.148,9.613,6.583,1.399,-8.256,-25.296,-24.499,-9.255,-22.255,-10.919,7.448,-10.718,-9.111,-8.754,-8.614,-21.403,4.197,-17.765,0.281,-21.078,-17.243,-2.458,4.334,5.865,-0.091,-19.350,-22.017
1946,-26.045,-25.226,-21.971,-10.991,1.707,9.054,9.730,5.339,-0.392,-6.320,-24.365,-35.772,-10.438,-25.257,-10.418,8.041,-10.359,-9.498,-9.576,-9.737,-24.607,5.088,-20.326,1.161,-24.414,-19.396,-0.077,6.830,4.892,-0.458,-22.152,-25.280
1947,-34.532,-25.110,-14.038,-10.982,0.220,6.947,9.528,3.790,-0.601,-9.981,-17.770,-20.187,-9.393,-31.805,-8.266,6.755,-9.451,-10.692,-11.241,-10.936,-26.764,3.977,-21.589,-0.154,-24.560,-16.710,-1.271,5.565,4.239,-2.264,-15.979,-31.557
1948,-24.574,-25.476,-21.072,-10.088,-0.713,7.481,8.636,4.572,-2.110,-10.487,-24.794,-34.200,-11.069,-23.412,-10.625,6.896,-12.464,-9.901,-9.316,-9.274,-21.816,3.573,-18.450,-0.387,-23.707,-18.879,-1.107,5.135,3.699,-2.675,-23.160,-20.844
1949,-28.412,-28.857,-12.919,-13.003,-1.845,4.148,10.441,7.277,3.776,-7.246,-13.923,-29.755,-9.193,-30.490,-9.256,7.289,-5.798,-9.564,-10.470,-10.740,-25.836,4.759,-21.810,0.507,-23.396,-18.260,-3.567,4.248,7.165,1.269,-16.975,-29.135
