=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
Total Precipitation (m)
Values averaged across Specify Point (65.92N; 210.17E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,0.0115,0.0074,0.0043,0.0075,0.0269,0.0525,0.0443,0.0200,0.0318,0.0351,0.0168,0.0187,0.2767,-999,0.0387,0.1167,0.0837,-999,-999,-999,-999,0.1755,-999,0.2180,0.0231,0.0192,0.0869,0.1237,0.0961,0.0869,0.0706,-999
1941,0.0115,0.0238,0.0125,0.0184,0.0261,0.0174,0.0628,0.0237,0.0089,0.0276,0.0283,0.0188,0.2799,0.0540,0.0571,0.1039,0.0648,0.2798,0.2683,0.2758,0.0834,0.1390,0.1369,0.1849,0.0479,0.0548,0.0620,0.1063,0.0954,0.0602,0.0747,0.0470
1942,0.0212,0.0181,0.0170,0.0136,0.0320,0.0743,0.0450,0.0872,0.0670,0.0356,0.0181,0.0032,0.4322,0.0581,0.0625,0.2065,0.1207,0.4478,0.4581,0.4500,0.1034,0.3055,0.1445,0.3547,0.0562,0.0486,0.1199,0.1513,0.1992,0.1898,0.0569,0.0683
1943,0.0063,0.0266,0.0267,0.0109,0.0207,0.0526,0.0511,0.0883,0.0365,0.0606,0.0228,0.0270,0.4302,0.0362,0.0583,0.1920,0.1199,0.4064,0.4017,0.3767,0.0809,0.2492,0.1274,0.3207,0.0596,0.0642,0.0842,0.1244,0.1759,0.1854,0.1104,0.0276
1944,0.0239,0.0440,0.0258,0.0015,0.0636,0.0459,0.0517,0.0798,0.0532,0.0206,0.0193,0.0286,0.4578,0.0948,0.0909,0.1774,0.0931,0.4562,0.4597,0.4997,0.1434,0.2942,0.2055,0.3163,0.0936,0.0712,0.1110,0.1612,0.1847,0.1536,0.0685,0.0737
1945,0.0170,0.0330,0.0247,0.0145,0.0290,0.0992,0.0475,0.1024,0.0593,0.0542,0.0203,0.0112,0.5123,0.0786,0.0682,0.2491,0.1338,0.5298,0.5287,0.4951,0.1226,0.3374,0.1578,0.4061,0.0747,0.0722,0.1427,0.1757,0.2092,0.2159,0.0857,0.0649
1946,0.0188,0.0151,0.0245,0.0104,0.0721,0.0491,0.0414,0.0385,0.0418,0.0561,0.0254,0.0235,0.4168,0.0451,0.1070,0.1290,0.1233,0.4044,0.3993,0.3975,0.0899,0.2429,0.1546,0.3094,0.0584,0.0500,0.1316,0.1626,0.1217,0.1364,0.1051,0.0503
1947,0.0149,0.0135,0.0261,0.0078,0.0174,0.0906,0.0460,0.0359,0.0343,0.0199,0.0331,0.0288,0.3684,0.0520,0.0514,0.1725,0.0873,0.3631,0.3554,0.3916,0.1035,0.2241,0.1675,0.2519,0.0546,0.0475,0.1158,0.1540,0.1162,0.0901,0.0819,0.0639
1948,0.0238,0.0136,0.0288,0.0318,0.0361,0.0360,0.0664,0.0532,0.0439,0.0585,0.0193,0.0244,0.4358,0.0662,0.0968,0.1556,0.1217,0.4403,0.4540,0.4155,0.1281,0.2356,0.1799,0.3259,0.0662,0.0742,0.1040,0.1385,0.1635,0.1556,0.1022,0.0857
1949,0.0240,0.0142,0.0203,0.0104,0.0254,0.0544,0.0614,0.0247,0.0393,0.0318,0.0200,0.0142,0.3399,0.0626,0.0561,0.1404,0.0910,0.3501,0.3495,0.3762,0.1022,0.2051,0.1711,0.2473,0.0585,0.0449,0.0902,0.1412,0.1253,0.0957,0.0659,0.0677
