=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (65.92N; 210.17E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-20.786,-20.734,-15.805,1.607,8.729,14.650,16.857,13.237,5.821,-3.975,-18.073,-22.566,-3.420,-999,-1.823,14.915,-5.409,-999,-999,-999,-999,11.859,-999,8.132,-19.108,-11.644,8.329,13.412,11.972,5.027,-14.871,-999
1941,-26.383,-16.182,-16.720,-3.127,6.024,13.672,13.566,11.393,3.651,-7.349,-23.795,-24.861,-5.842,-21.710,-4.608,12.877,-9.164,-5.651,-5.174,-4.893,-19.985,9.661,-15.289,5.404,-19.762,-12.009,5.523,11.088,9.537,2.565,-18.668,-22.341
1942,-21.022,-16.807,-16.639,-3.565,5.811,12.575,12.606,10.213,4.473,-6.420,-23.279,-33.461,-6.293,-20.897,-4.798,11.798,-8.409,-5.576,-5.619,-5.697,-20.625,9.136,-16.291,5.099,-18.156,-12.337,4.941,10.331,9.097,2.755,-21.053,-23.226
1943,-34.209,-19.491,-14.411,-3.294,7.564,14.345,15.069,10.104,3.789,-5.280,-14.584,-21.873,-5.189,-29.053,-3.380,13.173,-5.358,-6.155,-6.879,-6.974,-24.970,10.175,-19.223,6.043,-22.703,-12.398,6.205,12.326,9.654,2.871,-13.912,-30.316
1944,-22.306,-17.012,-13.620,-4.577,6.888,13.927,15.512,10.640,3.559,-3.600,-17.908,-19.862,-4.030,-20.397,-3.770,13.360,-5.983,-4.198,-3.921,-4.061,-17.879,10.105,-14.179,6.050,-17.646,-11.736,5.413,12.109,9.904,3.533,-13.790,-19.588
1945,-18.871,-18.064,-14.925,-5.827,3.077,11.271,14.686,10.235,4.516,-4.763,-21.951,-20.903,-5.127,-18.932,-5.892,12.064,-7.399,-5.040,-4.703,-4.606,-17.926,8.757,-14.151,4.742,-17.287,-12.939,2.840,9.678,9.812,3.329,-15.873,-18.880
1946,-22.578,-20.744,-17.865,-6.144,6.523,15.413,16.748,10.946,4.083,-3.120,-21.226,-32.532,-5.875,-21.409,-5.829,14.369,-6.754,-4.906,-4.966,-5.103,-20.808,10.743,-16.421,6.350,-20.396,-14.918,5.264,12.895,10.593,3.970,-18.959,-21.811
1947,-31.163,-20.836,-10.665,-5.741,6.844,12.905,15.706,9.875,4.173,-6.388,-15.125,-17.504,-4.827,-28.177,-3.187,12.829,-5.780,-6.079,-6.587,-6.315,-23.284,9.901,-17.898,5.339,-20.888,-12.414,4.670,11.819,9.918,2.553,-13.006,-28.307
1948,-21.383,-21.599,-16.604,-5.237,4.527,14.167,14.085,9.796,2.505,-8.093,-22.216,-30.963,-6.751,-20.162,-5.771,12.683,-9.268,-5.630,-5.039,-4.897,-18.443,9.016,-14.834,4.536,-19.862,-14.480,4.485,10.926,8.795,1.403,-20.424,-18.004
1949,-25.235,-24.948,-9.292,-7.966,3.764,10.732,15.812,13.068,7.858,-3.249,-11.898,-26.703,-4.838,-27.049,-4.498,13.204,-2.430,-5.193,-6.053,-6.456,-22.531,10.247,-18.388,5.717,-19.825,-14.069,2.177,10.103,12.246,5.893,-13.950,-26.138
1950,-19.336,-30.359,-10.965,-4.822,7.301,13.971,17.908,14.197,6.227,-4.236,-21.172,-20.056,-4.279,-25.466,-2.829,15.358,-6.394,-4.832,-4.060,-3.977,-19.852,11.921,-15.333,7.221,-20.220,-15.382,5.483,13.060,12.777,5.396,-15.155,-19.312
1951,-31.761,-25.531,-20.534,-3.803,7.604,12.934,15.464,13.718,5.382,-7.448,-12.558,-24.216,-5.896,-25.782,-5.578,14.039,-4.875,-5.549,-6.267,-5.999,-23.811,11.020,-18.156,6.264,-25.942,-16.623,5.578,12.001,11.522,3.884,-14.741,-24.329
1952,-28.324,-22.728,-16.714,-5.687,2.461,13.871,15.805,11.261,3.337,-4.185,-11.386,-20.288,-5.215,-25.089,-6.647,13.646,-4.078,-5.542,-5.640,-5.912,-20.908,9.347,-16.811,5.266,-22.589,-15.043,3.548,10.712,10.134,3.471,-11.953,-21.699
1953,-31.869,-20.580,-16.350,-1.950,8.216,15.886,16.217,12.520,5.509,-6.322,-19.151,-21.804,-4.973,-24.246,-3.361,14.874,-6.655,-4.847,-4.200,-4.022,-20.095,11.670,-15.230,7.154,-22.933,-12.960,7.384,13.440,11.415,3.903,-15.759,-21.181
1954,-26.508,-28.644,-13.278,-5.813,7.808,13.256,14.515,13.346,4.520,-4.355,-13.450,-31.771,-5.865,-25.652,-3.761,13.706,-4.429,-5.034,-5.509,-5.673,-21.877,10.689,-17.360,6.182,-22.810,-15.912,5.084,11.860,10.794,4.503,-16.526,-22.488
1955,-22.303,-28.362,-16.427,-8.573,5.481,12.610,16.415,11.086,5.026,-6.730,-26.128,-24.809,-6.893,-27.479,-6.506,13.370,-9.277,-7.473,-6.417,-6.219,-22.463,10.124,-17.892,5.045,-22.364,-17.787,3.173,11.502,10.842,3.127,-19.222,-22.508
1956,-30.418,-27.041,-16.006,-4.149,6.698,13.529,15.844,11.158,4.327,-8.757,-22.826,-33.527,-7.597,-27.423,-4.486,13.510,-9.085,-6.871,-7.146,-6.977,-24.880,10.311,-19.326,5.521,-24.489,-15.732,5.359,12.024,10.443,2.243,-21.703,-27.118
1957,-18.789,-22.101,-12.542,-2.591,6.677,16.462,15.594,14.481,6.365,-2.755,-14.279,-26.941,-3.368,-24.806,-2.819,15.512,-3.556,-3.917,-4.629,-5.129,-21.957,11.916,-17.305,7.747,-17.810,-12.411,6.849,12.911,12.147,6.030,-14.658,-25.047
1958,-20.812,-21.327,-12.611,-4.127,7.362,16.327,15.896,13.184,4.862,-12.570,-19.561,-21.512,-4.574,-23.027,-3.126,15.136,-9.090,-5.027,-4.586,-3.768,-19.194,11.526,-14.693,5.848,-18.250,-12.689,6.521,13.195,11.314,1.825,-17.881,-20.677
1959,-28.221,-15.887,-22.933,-6.177,5.910,15.786,12.507,12.061,3.825,-7.035,-16.688,-23.528,-5.865,-21.873,-7.733,13.451,-6.633,-5.697,-5.936,-6.398,-21.623,10.018,-18.123,5.268,-22.347,-14.999,5.173,11.401,9.464,2.950,-15.750,-23.098
1960,-23.918,-17.349,-17.155,-7.960,9.132,13.386,16.440,11.847,3.009,-5.904,-21.847,-16.646,-4.747,-21.598,-5.328,13.891,-8.247,-5.321,-4.891,-4.985,-19.727,10.763,-16.233,5.707,-19.474,-14.155,4.853,12.986,10.432,2.984,-14.799,-21.378
1961,-19.273,-23.264,-20.460,-8.344,8.024,14.343,15.322,11.492,5.938,-8.759,-23.872,-31.596,-6.704,-19.728,-6.926,13.719,-8.898,-5.458,-5.289,-5.051,-20.298,11.024,-16.534,5.431,-20.999,-17.356,4.675,12.563,10.918,2.891,-21.409,-19.255
1962,-21.630,-17.020,-16.419,-4.873,4.488,14.736,17.311,14.474,4.005,-4.989,-18.100,-22.260,-4.190,-23.415,-5.601,15.507,-6.361,-4.968,-5.449,-5.763,-22.108,11.003,-17.739,6.450,-18.357,-12.771,4.784,12.178,11.930,4.497,-15.116,-25.699
1963,-21.425,-19.953,-17.079,-5.124,7.814,11.689,14.633,11.601,5.166,-6.160,-23.940,-17.357,-5.011,-21.213,-4.796,12.641,-8.311,-5.420,-4.933,-4.835,-19.763,10.181,-15.561,5.660,-19.485,-14.052,4.793,11.379,10.467,3.536,-15.819,-20.595
1964,-28.716,-20.985,-21.563,-8.167,1.584,14.847,15.743,13.058,5.496,-3.592,-17.297,-33.270,-6.905,-22.353,-9.382,14.550,-5.131,-5.579,-6.133,-6.347,-22.512,10.146,-18.127,5.567,-23.755,-16.905,2.755,10.725,11.432,4.987,-18.053,-23.338
1965,-26.579,-28.230,-7.668,-4.191,3.326,11.822,14.912,10.834,6.210,-12.156,-15.339,-25.133,-6.016,-29.360,-2.844,12.522,-7.095,-6.694,-6.857,-6.144,-22.609,9.421,-17.261,4.394,-20.826,-13.363,3.652,10.020,10.652,1.630,-17.542,-25.715
1966,-31.936,-23.791,-20.386,-6.894,4.814,15.869,15.494,12.800,6.959,-6.274,-18.433,-26.604,-6.532,-26.953,-7.488,14.721,-5.916,-6.409,-6.151,-6.641,-23.317,11.187,-19.376,6.110,-25.371,-17.023,4.597,12.059,11.751,4.495,-17.103,-24.136
